Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,82.069741,[105   9] ; [22 54],[76.2 37.8] ; [50.8 25.2],1
s1,1,0.571562,0.320076,[  9 105] ; [ 8 70],[ 10.09375 103.90625] ; [ 6.90625 71.09375],0
a3,1,0.576924,0.311235,[68 47] ; [48 28],[69.84293194 45.15706806] ; [46.15706806 29.84293194],0
d5,1,0.578891,0.308032,[81 34] ; [52 26],[79.24870466 35.75129534] ; [53.75129534 24.24870466],0
d3,1,0.580975,0.304661,[68 47] ; [43 35],[66.13989637 48.86010363] ; [44.86010363 33.13989637],0
d1,1,0.604199,0.268709,[53 62] ; [33 45],[51.24352332 63.75647668] ; [34.75647668 43.24352332],0
a6,1,0.650601,0.205143,[73 42] ; [47 31],[71.50259067 43.49740933] ; [48.49740933 29.50259067],0
n4,1,0.712961,0.135337,[81 34] ; [53 25],[79.84455959 35.15544041] ; [54.15544041 23.84455959],0
b2,1,0.727451,0.121465,[20 39] ; [20 34],[20.88495575 38.11504425] ; [19.11504425 34.88495575],0
b3,1,0.727451,0.121465,[20 39] ; [20 34],[20.88495575 38.11504425] ; [19.11504425 34.88495575],0
p1,1,0.842234,0.039616,[ 13 102] ; [ 8 69],[ 12.578125 102.421875] ; [ 8.421875 68.578125],0
s4,1,0.85429,0.033726,[21 93] ; [15 62],[21.48691099 92.51308901] ; [14.51308901 62.48691099],0
n1,1,0.8726,0.025714,[13 19] ; [17 23],[13.33333333 18.66666667] ; [16.66666667 23.33333333],0
r1,1,0.879171,0.02311,[71 44] ; [49 29],[71.50259067 43.49740933] ; [48.49740933 29.50259067],0
p6,1,0.934754,0.006702,[ 13 102] ; [ 9 68],[ 13.17708333 101.82291667] ; [ 8.82291667 68.17708333],0
u1,1,0.970288,0.001387,[16 99] ; [11 67],[16.0880829 98.9119171] ; [10.9119171 67.0880829],0
