Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,48.833979,[11 90] ; [95 84],[38.23571429 62.76428571] ; [ 67.76428571 111.23571429],1
p10,1,0.355958,0.852105,[67 31] ; [131  47],[70.30434783 27.69565217] ; [127.69565217  50.30434783],0
u2,1,0.374816,0.787635,[29 22] ; [18 20],[26.93258427 24.06741573] ; [20.06741573 17.93258427],0
n2,1,0.383839,0.75837,[19 10] ; [41 14],[20.71428571  8.28571429] ; [39.28571429 15.71428571],0
p8,1,0.42447,0.637906,[32 68] ; [ 64 110],[35.03649635 64.96350365] ; [ 60.96350365 113.03649635],0
r2,1,0.425452,0.635206,[92  9] ; [163  11],[93.65454545  7.34545455] ; [161.34545455  12.65454545],0
s3,1,0.503064,0.448466,[53 48] ; [85 91],[50.31768953 50.68231047] ; [87.68231047 88.31768953],0
v3,1,0.507969,0.438249,[31 68] ; [ 61 112],[33.48529412 65.51470588] ; [ 58.51470588 114.48529412],0
s6,1,0.561428,0.337237,[54 47] ; [101  76],[56.31294964 44.68705036] ; [98.68705036 78.31294964],0
p3,1,0.586349,0.296082,[19 83] ; [ 38 140],[20.76428571 81.23571429] ; [ 36.23571429 141.76428571],0
b4,1,0.609685,0.260634,[63 39] ; [105  74],[60.98220641 41.01779359] ; [107.01779359  71.98220641],0
r3,1,0.641741,0.216473,[92  9] ; [164  13],[93.00719424  7.99280576] ; [162.99280576  14.00719424],0
v4,1,0.689275,0.159871,[91 10] ; [162  15],[91.91726619  9.08273381] ; [161.08273381  15.91726619],0
p7,1,0.750801,0.10086,[45 52] ; [75 94],[43.7593985 53.2406015] ; [76.2406015 92.7593985],0
n1,1,0.769981,0.085498,[10 19] ; [20 33],[10.6097561 18.3902439] ; [19.3902439 33.6097561],0
u3,1,0.792567,0.069158,[30 23] ; [21 18],[29.38043478 23.61956522] ; [21.61956522 17.38043478],0
s2,1,0.821683,0.050797,[41 61] ; [ 74 104],[41.89285714 60.10714286] ; [ 73.10714286 104.89285714],0
b1,1,0.836673,0.042498,[36 66] ; [ 61 118],[35.20996441 66.79003559] ; [ 61.79003559 117.20996441],0
p11,1,0.87293,0.02558,[68 34] ; [121  58],[68.60498221 33.39501779] ; [120.39501779  58.60498221],0
p1,1,0.895575,0.017227,[ 6 94] ; [ 10 168],[ 5.75539568 94.24460432] ; [ 10.24460432 167.75539568],0
p2,1,0.926832,0.008433,[70 31] ; [125  54],[70.33928571 30.66071429] ; [124.66071429  54.33928571],0
b3,1,0.946577,0.00449,[16 35] ; [30 64],[16.17931034 34.82068966] ; [29.82068966 64.17931034],0
b2,1,0.946577,0.00449,[16 35] ; [30 64],[16.17931034 34.82068966] ; [29.82068966 64.17931034],0
