Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.5e-05,17.778739,[26 22] ; [132  26],[36.81553398 11.18446602] ; [121.18446602  36.81553398],1
n2,1,0.622874,0.241848,[14  4] ; [33 13],[13.21875  4.78125] ; [33.78125 12.21875],0
v4,1,0.647172,0.209484,[43  5] ; [144  13],[43.78536585  4.21463415] ; [143.21463415  13.78536585],0
s2,1,0.655765,0.198709,[23 25] ; [81 76],[24.35121951 23.64878049] ; [79.64878049 77.35121951],0
d3,1,0.667917,0.184049,[26 22] ; [80 78],[24.69902913 23.30097087] ; [81.30097087 76.69902913],0
p5,1,0.67958,0.170599,[ 5 42] ; [ 20 135],[ 5.81683168 41.18316832] ; [ 19.18316832 135.81683168],0
p12,1,0.689638,0.159478,[ 2 44] ; [  9 144],[ 2.54271357 43.45728643] ; [  8.45728643 144.54271357],0
u4,1,0.696442,0.1522,[ 1 47] ; [  5 153],[ 1.39805825 46.60194175] ; [  4.60194175 153.39805825],0
p4,1,0.699812,0.148668,[27 19] ; [86 69],[25.86069652 20.13930348] ; [87.13930348 67.86069652],0
a8,1,0.718093,0.130327,[ 4 42] ; [ 16 136],[ 4.64646465 41.35353535] ; [ 15.35353535 136.64646465],0
b4,1,0.765122,0.089258,[27 21] ; [85 73],[26.09708738 21.90291262] ; [85.90291262 72.09708738],0
n1,1,0.81086,0.057273,[9 9] ; [21 24],[8.57142857 9.42857143] ; [21.42857143 23.57142857],0
b1,1,0.817694,0.053136,[24 24] ; [76 82],[23.30097087 24.69902913] ; [76.69902913 81.30097087],0
s1,1,0.893112,0.018055,[ 2 45] ; [  6 151],[ 1.84313725 45.15686275] ; [  6.15686275 150.84313725],0
v2,1,0.903902,0.014577,[25 22] ; [84 71],[25.36138614 21.63861386] ; [83.63861386 71.36138614],0
