Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,87.214645,[124   8] ; [19 43],[97.29896907 34.70103093] ; [45.70103093 16.29896907],1
a7,1,0.099056,2.720683,[107  26] ; [44 19],[102.46428571  30.53571429] ; [48.53571429 14.46428571],0
r1,1,0.125403,2.348502,[104  28] ; [44 20],[99.67346939 32.32653061] ; [48.32653061 15.67346939],0
p5,1,0.162206,1.95354,[ 11 119] ; [ 2 62],[  8.71134021 121.28865979] ; [ 4.28865979 59.71134021],0
p4,1,0.166909,1.910489,[68 65] ; [26 38],[63.46192893 69.53807107] ; [30.53807107 33.46192893],0
v2,1,0.179357,1.802946,[73 53] ; [30 33],[68.66666667 57.33333333] ; [34.33333333 28.66666667],0
p8,1,0.193202,1.693028,[36 96] ; [12 52],[32.32653061 99.67346939] ; [15.67346939 48.32653061],0
s7,1,0.21646,1.527686,[61 67] ; [22 36],[57.11827957 70.88172043] ; [25.88172043 32.11827957],0
b5,1,0.25422,1.299964,[88 45] ; [37 27],[84.39086294 48.60913706] ; [40.60913706 23.39086294],0
b1,1,0.254913,1.296175,[49 84] ; [29 35],[52.65989848 80.34010152] ; [25.34010152 38.65989848],0
u4,1,0.280223,1.166007,[  4 129] ; [ 4 60],[  5.40101523 127.59898477] ; [ 2.59898477 61.40101523],0
a4,1,0.290098,1.119165,[76 57] ; [41 22],[79.39285714 53.60714286] ; [37.60714286 25.39285714],0
n3,1,0.291324,1.113494,[25 12] ; [20 16],[22.80821918 14.19178082] ; [22.19178082 13.80821918],0
a8,1,0.428294,0.627445,[  8 115] ; [ 2 54],[  6.87150838 116.12849162] ; [ 3.12849162 52.87150838],0
d2,1,0.467777,0.527221,[98 34] ; [49 13],[100.02061856  31.97938144] ; [46.97938144 15.02061856],0
v1,1,0.51557,0.422747,[58 70] ; [25 37],[55.91578947 72.08421053] ; [27.08421053 34.91578947],0
b4,1,0.536041,0.382927,[83 50] ; [37 27],[81.01522843 51.98477157] ; [38.98477157 25.01522843],0
a2,1,0.542786,0.3704,[40 93] ; [22 42],[41.85786802 91.14213198] ; [20.14213198 43.85786802],0
s4,1,0.570202,0.322344,[ 21 110] ; [ 8 54],[ 19.68393782 111.31606218] ; [ 9.31606218 52.68393782],0
a6,1,0.618235,0.248357,[94 39] ; [43 21],[92.49238579 40.50761421] ; [44.50761421 19.49238579],0
n1,1,0.621875,0.243241,[18 20] ; [15 21],[16.94594595 21.05405405] ; [16.05405405 19.94594595],0
b3,1,0.627183,0.235901,[31 47] ; [17 31],[29.71428571 48.28571429] ; [18.28571429 29.71428571],0
b2,1,0.627183,0.235901,[31 47] ; [17 31],[29.71428571 48.28571429] ; [18.28571429 29.71428571],0
u2,1,0.696161,0.152496,[19 13] ; [8 7],[18.38297872 13.61702128] ; [8.61702128 6.38297872],0
d5,1,0.746662,0.104357,[130   3] ; [63  1],[130.29949239   2.70050761] ; [62.70050761  1.29949239],0
a5,1,0.798801,0.064973,[106  27] ; [50 14],[105.31979695  27.68020305] ; [50.68020305 13.31979695],0
d3,1,0.856445,0.032725,[113  20] ; [55  9],[113.4213198  19.5786802] ; [54.5786802  9.4213198],0
u1,1,0.880878,0.022457,[34 99] ; [17 47],[34.43147208 98.56852792] ; [16.56852792 47.43147208],0
a3,1,0.923498,0.009221,[101  32] ; [49 15],[101.26903553  31.73096447] ; [48.73096447 15.26903553],0
p1,1,0.929128,0.007911,[ 13 120] ; [ 6 58],[ 12.82741117 120.17258883] ; [ 6.17258883 57.82741117],0
u3,1,0.943993,0.004935,[21 11] ; [10  5],[21.10638298 10.89361702] ; [9.89361702 5.10638298],0
p6,1,0.945242,0.004717,[ 25 107] ; [12 50],[ 25.17525773 106.82474227] ; [11.82474227 50.17525773],0
d4,1,0.964512,0.00198,[131   2] ; [62  1],[130.96428571   2.03571429] ; [62.03571429  0.96428571],0
