Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,28.585682,[137   6] ; [28 14],[127.54054054  15.45945946] ; [37.45945946  4.54054054],1
u3,1,0.538932,0.377523,[38 36] ; [12 15],[36.63366337 37.36633663] ; [13.36633663 13.63366337],0
b5,1,0.543598,0.368912,[87 58] ; [23 19],[85.29411765 59.70588235] ; [24.70588235 17.29411765],0
s4,1,0.603059,0.270406,[ 29 114] ; [ 7 35],[ 27.82702703 115.17297297] ; [ 8.17297297 33.82702703],0
b4,1,0.702781,0.145595,[85 60] ; [26 16],[86.06951872 58.93048128] ; [24.93048128 17.06951872],0
b2,1,0.759119,0.094027,[21 58] ; [ 8 19],[21.61320755 57.38679245] ; [ 7.38679245 19.61320755],0
b3,1,0.759119,0.094027,[21 58] ; [ 8 19],[21.61320755 57.38679245] ; [ 7.38679245 19.61320755],0
n3,1,0.765992,0.088578,[21 13] ; [8 6],[20.54166667 13.45833333] ; [8.45833333 5.54166667],0
p1,1,0.770148,0.08537,[ 16 128] ; [ 4 38],[ 15.48387097 128.51612903] ; [ 4.51612903 37.48387097],0
n4,1,0.815857,0.054232,[115  30] ; [34  8],[115.53475936  29.46524064] ; [33.46524064  8.53475936],0
p12,1,0.82746,0.047507,[  9 136] ; [ 3 39],[  9.30481283 135.69518717] ; [ 2.69518717 39.30481283],0
v3,1,0.914998,0.011393,[51 91] ; [14 26],[50.71428571 91.28571429] ; [14.28571429 25.71428571],0
n2,1,0.953573,0.00339,[24 10] ; [10  4],[24.08333333  9.91666667] ; [9.91666667 4.08333333],0
