Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218711,[52  8] ; [11 15],[43.95348837 16.04651163] ; [19.04651163  6.95348837],1
p9,1,0.483178,0.491681,[52  8] ; [21  5],[50.93023256  9.06976744] ; [22.06976744  3.93023256],0
s8,1,0.502236,0.450208,[23 37] ; [ 8 18],[21.62790698 38.37209302] ; [ 9.37209302 16.62790698],0
a3,1,0.519639,0.41461,[39 21] ; [15 11],[37.6744186 22.3255814] ; [16.3255814  9.6744186],0
b5,1,0.519639,0.41461,[39 21] ; [15 11],[37.6744186 22.3255814] ; [16.3255814  9.6744186],0
p3,1,0.535254,0.384407,[35 24] ; [13 12],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
n2,1,0.545991,0.364548,[9 2] ; [10  4],[8.36 2.64] ; [10.64  3.36],0
a5,1,0.573806,0.316356,[33 27] ; [16 10],[34.18604651 25.81395349] ; [14.81395349 11.18604651],0
a2,1,0.580275,0.305791,[ 7 53] ; [ 2 24],[ 6.27906977 53.72093023] ; [ 2.72093023 23.27906977],0
a1,1,0.607708,0.263526,[ 4 56] ; [ 1 25],[ 3.48837209 56.51162791] ; [ 1.51162791 24.48837209],0
u1,1,0.607708,0.263526,[ 4 56] ; [ 1 25],[ 3.48837209 56.51162791] ; [ 1.51162791 24.48837209],0
u2,1,0.610863,0.25892,[11  9] ; [5 6],[10.32258065  9.67741935] ; [5.67741935 5.32258065],0
s1,1,0.624124,0.240114,[ 3 57] ; [ 2 24],[ 3.48837209 56.51162791] ; [ 1.51162791 24.48837209],0
p1,1,0.638381,0.220866,[ 5 55] ; [ 3 23],[ 5.58139535 54.41860465] ; [ 2.41860465 23.58139535],0
s5,1,0.652265,0.203056,[16 38] ; [ 9 17],[16.875 37.125] ; [ 8.125 17.875],0
v4,1,0.655936,0.198498,[52  7] ; [22  4],[51.36470588  7.63529412] ; [22.63529412  3.36470588],0
s7,1,0.659522,0.194105,[24 31] ; [10 16],[23.08641975 31.91358025] ; [10.91358025 15.08641975],0
b4,1,0.699497,0.148995,[35 25] ; [14 12],[34.18604651 25.81395349] ; [14.81395349 11.18604651],0
a4,1,0.703093,0.145274,[21 39] ; [ 8 18],[20.23255814 39.76744186] ; [ 8.76744186 17.23255814],0
d1,1,0.709209,0.139069,[28 32] ; [11 15],[27.20930233 32.79069767] ; [11.79069767 14.20930233],0
s2,1,0.743132,0.107393,[30 30] ; [14 12],[30.69767442 29.30232558] ; [13.30232558 12.69767442],0
a6,1,0.743132,0.107393,[30 30] ; [14 12],[30.69767442 29.30232558] ; [13.30232558 12.69767442],0
a7,1,0.743215,0.107321,[37 23] ; [17  9],[37.6744186 22.3255814] ; [16.3255814  9.6744186],0
b1,1,0.776223,0.080795,[28 32] ; [13 13],[28.60465116 31.39534884] ; [12.39534884 13.60465116],0
d3,1,0.781114,0.07721,[35 25] ; [16 10],[35.58139535 24.41860465] ; [15.41860465 10.58139535],0
d2,1,0.855615,0.033109,[22 38] ; [ 9 17],[21.62790698 38.37209302] ; [ 9.37209302 16.62790698],0
d4,1,0.979377,0.000668,[46 14] ; [20  6],[46.04651163 13.95348837] ; [19.95348837  6.04651163],0
