Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,96.706299,[392  97] ; [ 69 103],[341.04236006 147.95763994] ; [119.95763994  52.04236006],1
s1,1,0.103724,2.647325,[ 13 469] ; [  9 160],[ 16.28878648 465.71121352] ; [  5.71121352 163.28878648],0
n6,1,0.106585,2.60414,[406  82] ; [132  38],[399.00303951  88.99696049] ; [138.99696049  31.00303951],0
s8,1,0.146285,2.11057,[200 288] ; [81 90],[208.08497724 279.91502276] ; [72.91502276 98.08497724],0
a5,1,0.15049,2.067277,[378 113] ; [123  49],[371.02714932 119.97285068] ; [129.97285068  42.02714932],0
p8,1,0.174713,1.842035,[248 235] ; [77 93],[240.39050536 242.60949464] ; [84.60949464 85.39050536],0
s7,1,0.234631,1.412563,[214 253] ; [83 79],[220.50715421 246.49284579] ; [76.49284579 85.50715421],0
b4,1,0.250128,1.322589,[293 198] ; [94 78],[286.60180995 204.39819005] ; [100.39819005  71.60180995],0
p10,1,0.2568,1.285929,[389  98] ; [128  41],[383.80945122 103.19054878] ; [133.19054878  35.80945122],0
s4,1,0.28261,1.154495,[ 76 407] ; [ 33 138],[ 80.5 402.5] ; [ 28.5 142.5],0
d2,1,0.28342,1.150616,[245 244] ; [78 94],[238.9515885 250.0484115] ; [84.0484115 87.9515885],0
n3,1,0.295673,1.093609,[78 26] ; [30 15],[75.38255034 28.61744966] ; [32.61744966 12.38255034],0
s6,1,0.314425,1.011996,[328 159] ; [106  62],[322.68396947 164.31603053] ; [111.31603053  56.68396947],0
a8,1,0.374184,0.789722,[ 63 370] ; [ 19 143],[ 59.67394958 373.32605042] ; [ 22.32605042 139.67394958],0
s2,1,0.398001,0.714357,[246 238] ; [80 90],[241.25993884 242.74006116] ; [84.74006116 85.25993884],0
a4,1,0.554738,0.348897,[233 256] ; [77 94],[229.68181818 259.31818182] ; [80.31818182 90.68181818],0
a1,1,0.616898,0.250252,[ 16 475] ; [  7 165],[ 17.0331825 473.9668175] ; [  5.9668175 166.0331825],0
p1,1,0.664275,0.188372,[ 27 460] ; [  8 163],[ 25.90425532 461.09574468] ; [  9.09574468 161.90425532],0
p11,1,0.682164,0.1677,[375 116] ; [134  38],[376.95173454 114.04826546] ; [132.04826546  39.95173454],0
n2,1,0.730652,0.118514,[73 31] ; [35 13],[73.89473684 30.10526316] ; [34.10526316 13.89473684],0
u2,1,0.794765,0.067667,[81 58] ; [29 19],[81.76470588 57.23529412] ; [28.23529412 19.76470588],0
v1,1,0.798818,0.064962,[253 227] ; [91 78],[254.42218798 225.57781202] ; [89.57781202 79.42218798],0
v3,1,0.806357,0.060088,[178 294] ; [ 64 101],[179.3155416 292.6844584] ; [ 62.6844584 102.3155416],0
n1,1,0.818601,0.052599,[37 67] ; [18 30],[37.63157895 66.36842105] ; [17.36842105 30.63157895],0
p7,1,0.849872,0.035827,[297 181] ; [103  65],[295.9752322 182.0247678] ; [104.0247678  63.9752322],0
n4,1,0.855501,0.033162,[372 118] ; [131  40],[372.87443268 117.12556732] ; [130.12556732  40.87443268],0
p6,1,0.891297,0.018677,[159 327] ; [ 54 114],[158.28440367 327.71559633] ; [ 54.71559633 113.28440367],0
s3,1,0.907248,0.013575,[267 213] ; [96 75],[267.64976959 212.35023041] ; [95.35023041 75.64976959],0
p12,1,0.913635,0.011762,[ 28 461] ; [ 10 158],[ 28.28310502 460.71689498] ; [  9.71689498 158.28310502],0
u4,1,0.919165,0.010299,[  8 483] ; [  3 169],[  8.14630468 482.85369532] ; [  2.85369532 169.14630468],0
a3,1,0.969754,0.001438,[349 138] ; [123  49],[348.80728376 138.19271624] ; [123.19271624  48.80728376],0
p3,1,0.970832,0.001337,[223 267] ; [78 94],[222.79456193 267.20543807] ; [78.20543807 93.79456193],0
n5,1,0.985255,0.000342,[352 135] ; [123  47],[352.09284627 134.90715373] ; [122.90715373  47.09284627],0
