Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.472332,[52 64] ; [158  64],[72.07100592 43.92899408] ; [137.92899408  84.07100592],1
p8,1,0.066372,3.370533,[50 66] ; [118 102],[58. 58.] ; [110. 110.],0
p9,1,0.069538,3.293895,[85 29] ; [180  37],[91.26888218 22.73111782] ; [173.73111782  43.26888218],0
v1,1,0.071271,3.253499,[35 78] ; [ 90 129],[42.54518072 70.45481928] ; [ 82.45481928 136.54518072],0
n5,1,0.088105,2.90866,[97 19] ; [167  54],[90.87240356 25.12759644] ; [173.12759644  47.87240356],0
n2,1,0.17822,1.812403,[27 15] ; [40 12],[29.93617021 12.06382979] ; [37.06382979 14.93617021],0
s8,1,0.193655,1.689593,[50 65] ; [ 80 141],[44.49404762 70.50595238] ; [ 85.50595238 135.49404762],0
s7,1,0.197862,1.658085,[57 55] ; [ 92 120],[51.50617284 60.49382716] ; [ 97.49382716 114.50617284],0
p7,1,0.228595,1.449582,[61 54] ; [130  87],[66.15963855 48.84036145] ; [124.84036145  92.15963855],0
p1,1,0.314798,1.010439,[ 14 102] ; [ 19 201],[ 11.39285714 104.60714286] ; [ 21.60714286 198.39285714],0
v3,1,0.320086,0.988595,[26 90] ; [ 39 179],[22.5748503 93.4251497] ; [ 42.4251497 175.5748503],0
s6,1,0.341302,0.905534,[69 42] ; [147  71],[72.87537994 38.12462006] ; [143.12462006  74.87537994],0
a4,1,0.344029,0.895361,[51 63] ; [ 87 134],[46.96119403 67.03880597] ; [ 91.03880597 129.96119403],0
b2,1,0.402394,0.70116,[30 43] ; [45 83],[27.23880597 45.76119403] ; [47.76119403 80.23880597],0
b3,1,0.402394,0.70116,[30 43] ; [45 83],[27.23880597 45.76119403] ; [47.76119403 80.23880597],0
a1,1,0.429043,0.625412,[  5 111] ; [  6 216],[  3.77514793 112.22485207] ; [  7.22485207 214.77514793],0
p3,1,0.439906,0.596528,[48 67] ; [102 119],[51.33928571 63.66071429] ; [ 98.66071429 122.33928571],0
n1,1,0.444732,0.584042,[16 26] ; [23 27],[17.80434783 24.19565217] ; [21.19565217 28.80434783],0
n4,1,0.447418,0.577185,[86 30] ; [172  49],[88.80712166 27.19287834] ; [169.19287834  51.80712166],0
u4,1,0.496849,0.46166,[  1 115] ; [  4 218],[  1.71597633 114.28402367] ; [  3.28402367 218.71597633],0
p5,1,0.572674,0.31823,[16 98] ; [ 26 193],[14.37837838 99.62162162] ; [ 27.62162162 191.37837838],0
p12,1,0.574679,0.314917,[  8 107] ; [ 12 209],[  6.8452381 108.1547619] ; [ 13.1547619 207.8452381],0
a5,1,0.582458,0.302277,[76 40] ; [152  70],[78.24852071 37.75147929] ; [149.75147929  72.24852071],0
s5,1,0.596338,0.280554,[39 74] ; [ 68 147],[36.86280488 76.13719512] ; [ 70.13719512 144.86280488],0
a3,1,0.598174,0.277759,[73 42] ; [146  74],[75.17910448 39.82089552] ; [143.82089552  76.17910448],0
a8,1,0.643249,0.214518,[12 97] ; [ 26 177],[13.27564103 95.72435897] ; [ 24.72435897 178.27564103],0
p6,1,0.68056,0.169496,[38 77] ; [ 78 143],[39.70238095 75.29761905] ; [ 76.29761905 144.70238095],0
b4,1,0.72584,0.122965,[63 53] ; [125  97],[64.52071006 51.47928994] ; [123.47928994  98.52071006],0
d2,1,0.79386,0.068279,[51 63] ; [ 96 126],[49.875 64.125] ; [ 97.125 124.875],0
p11,1,0.897241,0.016679,[88 28] ; [167  55],[87.5147929 28.4852071] ; [167.4852071  54.5147929],0
s4,1,0.898618,0.016233,[24 91] ; [ 44 173],[23.55421687 91.44578313] ; [ 44.44578313 172.55421687],0
s3,1,0.923281,0.009274,[60 55] ; [116 104],[60.41791045 54.58208955] ; [115.58208955 104.41791045],0
s1,1,0.927045,0.008384,[  5 110] ; [ 10 209],[  5.16467066 109.83532934] ; [  9.83532934 209.16467066],0
