Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3.5e-05,17.139706,[ 14 169] ; [14 33],[ 22.27826087 160.72173913] ; [ 5.72173913 41.27826087],1
d5,1,0.290882,1.115536,[143  40] ; [40  7],[145.60434783  37.39565217] ; [37.39565217  9.60434783],0
a3,1,0.32193,0.981087,[113  68] ; [33 14],[115.90350877  65.09649123] ; [30.09649123 16.90350877],0
b1,1,0.335665,0.926919,[ 64 119] ; [20 27],[ 66.83478261 116.16521739] ; [17.16521739 29.83478261],0
v1,1,0.378964,0.774059,[101  79] ; [23 24],[98.32599119 81.67400881] ; [25.67400881 21.32599119],0
p1,1,0.409737,0.679565,[ 16 166] ; [ 6 41],[ 17.48471616 164.51528384] ; [ 4.51528384 42.48471616],0
s7,1,0.420638,0.648533,[ 48 124] ; [15 29],[ 50.16666667 121.83333333] ; [12.83333333 31.16666667],0
n2,1,0.45167,0.566457,[23 11] ; [8 2],[23.95454545 10.04545455] ; [7.04545455 2.95454545],0
u3,1,0.462306,0.540305,[32 37] ; [8 6],[33.25301205 35.74698795] ; [6.74698795 7.25301205],0
d3,1,0.476547,0.506754,[123  60] ; [29 18],[120.93913043  62.06086957] ; [31.06086957 15.93913043],0
a4,1,0.486307,0.484688,[ 67 114] ; [20 27],[ 69.06578947 111.93421053] ; [17.93421053 29.06578947],0
p11,1,0.487236,0.482624,[152  31] ; [41  6],[153.56086957  29.43913043] ; [39.43913043  7.56086957],0
n1,1,0.551457,0.354714,[13 20] ; [5 5],[13.81395349 19.18604651] ; [4.18604651 5.81395349],0
v3,1,0.572098,0.319184,[ 64 114] ; [19 28],[ 65.66222222 112.33777778] ; [17.33777778 29.66222222],0
n6,1,0.602188,0.271709,[149  33] ; [40  7],[150.20960699  31.79039301] ; [38.79039301  8.20960699],0
s3,1,0.636368,0.223524,[ 44 135] ; [10 37],[ 42.7699115 136.2300885] ; [11.2300885 35.7699115],0
r2,1,0.652705,0.202507,[164  15] ; [44  3],[164.74336283  14.25663717] ; [43.25663717  3.74336283],0
u2,1,0.845078,0.038182,[37 33] ; [7 7],[36.66666667 33.33333333] ; [7.33333333 6.66666667],0
v4,1,0.84938,0.036065,[174   9] ; [45  2],[174.24782609   8.75217391] ; [44.75217391  2.24782609],0
p9,1,0.852094,0.034762,[156  25] ; [41  6],[156.39035088  24.60964912] ; [40.60964912  6.39035088],0
v2,1,0.852395,0.03462,[99 78] ; [27 20],[99.5625 77.4375] ; [26.4375 20.5625],0
b4,1,0.885956,0.02057,[103  80] ; [27 20],[103.43478261  79.56521739] ; [26.56521739 20.43478261],0
a2,1,0.989418,0.000176,[ 31 152] ; [ 8 39],[ 31.03043478 151.96956522] ; [ 7.96956522 39.03043478],0
