Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.763829,[213  88] ; [ 98 113],[182.83398438 118.16601562] ; [128.16601562  82.83398438],1
s6,1,0.130061,2.291772,[217  89] ; [137  75],[209.11969112  96.88030888] ; [144.88030888  67.11969112],0
a8,1,0.153796,2.03419,[ 43 235] ; [ 22 179],[ 37.72442589 240.27557411] ; [ 27.27557411 173.72442589],0
s7,1,0.16285,1.94756,[166 134] ; [101 105],[158.30039526 141.69960474] ; [108.69960474  97.30039526],0
a6,1,0.199653,1.644908,[222  88] ; [167  51],[228.39015152  81.60984848] ; [160.60984848  57.39015152],0
p5,1,0.263641,1.249536,[ 46 264] ; [ 25 193],[ 41.68560606 268.31439394] ; [ 29.31439394 188.68560606],0
n1,1,0.266708,1.2336,[20 30] ; [16 38],[17.30769231 32.69230769] ; [18.69230769 35.30769231],0
n4,1,0.284764,1.144214,[263  49] ; [176  42],[258.43018868  53.56981132] ; [180.56981132  37.43018868],0
d5,1,0.291908,1.110802,[269  41] ; [182  36],[264.79166667  45.20833333] ; [186.20833333  31.79166667],0
b4,1,0.331936,0.941331,[192 120] ; [125  93],[186.61132075 125.38867925] ; [130.38867925  87.61132075],0
n3,1,0.338413,0.916433,[34 16] ; [42 13],[36.19047619 13.80952381] ; [39.80952381 15.19047619],0
d3,1,0.339499,0.912323,[230  81] ; [153  65],[225.16635161  85.83364839] ; [157.83364839  60.16635161],0
s1,1,0.347682,0.881899,[  6 301] ; [  7 208],[  7.64559387 299.35440613] ; [  5.35440613 209.64559387],0
a2,1,0.354888,0.855901,[ 99 213] ; [ 61 157],[ 94.18867925 217.81132075] ; [ 65.81132075 152.18867925],0
p12,1,0.385802,0.752131,[ 34 273] ; [ 19 198],[ 31.05152672 275.94847328] ; [ 21.94847328 195.05152672],0
a7,1,0.388116,0.744835,[231  81] ; [154  64],[226.64150943  85.35849057] ; [158.35849057  59.64150943],0
p10,1,0.399431,0.710038,[276  31] ; [190  27],[273.01908397  33.98091603] ; [192.98091603  24.01908397],0
d2,1,0.425391,0.635374,[178 132] ; [117 100],[173.52941176 136.47058824] ; [121.47058824  95.52941176],0
n6,1,0.461078,0.543276,[275  35] ; [187  29],[272.28136882  37.71863118] ; [189.71863118  26.28136882],0
a4,1,0.530891,0.392686,[165 145] ; [110 108],[161.45833333 148.54166667] ; [113.54166667 104.45833333],0
p1,1,0.542709,0.370542,[ 29 281] ; [ 17 200],[ 27.05882353 282.94117647] ; [ 18.94117647 198.05882353],0
d4,1,0.55829,0.342674,[270  40] ; [186  32],[267.72727273  42.27272727] ; [188.27272727  29.72727273],0
s4,1,0.566712,0.328216,[ 44 262] ; [ 35 181],[ 46.31034483 259.68965517] ; [ 32.68965517 183.31034483],0
s3,1,0.608164,0.262857,[171 132] ; [117  99],[168.13872832 134.86127168] ; [119.86127168  96.13872832],0
r3,1,0.709844,0.138433,[300  11] ; [207   9],[299.19734345  11.80265655] ; [207.80265655   8.19734345],0
b1,1,0.909901,0.012806,[116 196] ; [ 80 138],[115.38113208 196.61886792] ; [ 80.61886792 137.38113208],0
u2,1,0.971869,0.001244,[32 22] ; [33 23],[31.90909091 22.09090909] ; [33.09090909 22.90909091],0
a1,1,0.977799,0.000774,[ 17 295] ; [ 12 206],[ 17.07169811 294.92830189] ; [ 11.92830189 206.07169811],0
