Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.320862,[205  72] ; [24 33],[189.91916168  87.08083832] ; [39.08083832 17.91916168],1
v2,1,0.551241,0.355099,[116 152] ; [21 33],[114.02484472 153.97515528] ; [22.97515528 31.02484472],0
a6,1,0.605474,0.266819,[191  88] ; [41 16],[192.64285714  86.35714286] ; [39.35714286 17.64285714],0
a7,1,0.615568,0.252146,[197  81] ; [43 15],[198.57142857  79.42857143] ; [41.42857143 16.57142857],0
s3,1,0.6845,0.165105,[155 120] ; [31 27],[153.6036036 121.3963964] ; [32.3963964 25.6036036],0
n3,1,0.762697,0.091168,[59 19] ; [13  5],[58.5 19.5] ; [13.5  4.5],0
d3,1,0.806359,0.060087,[194  84] ; [40 16],[194.76646707  83.23353293] ; [39.23353293 16.76646707],0
a8,1,0.810271,0.057637,[ 31 226] ; [ 6 49],[ 30.4775641 226.5224359] ; [ 6.5224359 48.4775641],0
d4,1,0.915567,0.01124,[222  57] ; [45 12],[221.70535714  57.29464286] ; [45.29464286 11.70535714],0
a1,1,0.959455,0.002585,[ 10 269] ; [ 2 56],[  9.9347181 269.0652819] ; [ 2.0652819 55.9347181],0
s4,1,0.984693,0.000368,[ 57 220] ; [12 46],[ 57.05373134 219.94626866] ; [11.94626866 46.05373134],0
p7,1,1.0,0.0,[165 110] ; [33 22],[165. 110.] ; [33. 22.],0
