Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.204215,[ 84 293] ; [33 33],[ 99.56884876 277.43115124] ; [17.43115124 48.56884876],1
s1,1,0.287068,1.133322,[ 15 364] ; [ 1 70],[ 13.47555556 365.52444444] ; [ 2.52444444 68.47555556],0
d1,1,0.299666,1.075681,[209 179] ; [34 38],[204.96521739 183.03478261] ; [38.03478261 33.96521739],0
n5,1,0.309993,1.030707,[259 126] ; [44 28],[255.26258206 129.73741794] ; [47.73741794 24.26258206],0
p8,1,0.32869,0.954053,[145 236] ; [22 47],[141.39333333 239.60666667] ; [25.60666667 43.39333333],0
a5,1,0.37696,0.780594,[258 130] ; [44 28],[254.73043478 133.26956522] ; [47.26956522 24.73043478],0
u3,1,0.400531,0.706731,[66 65] ; [16 11],[67.98734177 63.01265823] ; [14.01265823 12.98734177],0
n1,1,0.4044,0.695205,[40 74] ; [ 6 17],[38.27737226 75.72262774] ; [ 7.72262774 15.27737226],0
p5,1,0.420122,0.649973,[ 19 365] ; [ 2 70],[ 17.68421053 366.31578947] ; [ 3.31578947 68.68421053],0
p4,1,0.47538,0.509443,[145 239] ; [24 48],[142.31578947 241.68421053] ; [26.68421053 45.31578947],0
a7,1,0.49042,0.475606,[274 114] ; [53 18],[276.41830065 111.58169935] ; [50.58169935 20.41830065],0
u2,1,0.51787,0.418133,[72 59] ; [13 14],[70.47468354 60.52531646] ; [14.52531646 12.47468354],0
n2,1,0.523814,0.406377,[84 33] ; [18  5],[85.24285714 31.75714286] ; [16.75714286  6.24285714],0
v1,1,0.544925,0.366488,[174 203] ; [30 41],[171.66964286 205.33035714] ; [32.33035714 38.66964286],0
r4,1,0.562648,0.33514,[341  47] ; [65  7],[342.45217391  45.54782609] ; [63.54782609  8.45217391],0
a3,1,0.578664,0.3084,[255 132] ; [45 27],[252.94117647 134.05882353] ; [47.05882353 24.94117647],0
p1,1,0.59411,0.283972,[ 16 369] ; [ 4 68],[ 16.84901532 368.15098468] ; [ 3.15098468 68.84901532],0
p6,1,0.6223,0.242648,[ 91 291] ; [15 56],[ 89.38631347 292.61368653] ; [16.61368653 54.38631347],0
u1,1,0.676808,0.173741,[ 50 338] ; [ 8 64],[ 48.92173913 339.07826087] ; [ 9.07826087 62.92173913],0
b4,1,0.68119,0.168789,[231 157] ; [41 31],[229.42608696 158.57391304] ; [42.57391304 29.42608696],0
p7,1,0.694333,0.154435,[189 186] ; [33 36],[187.5 187.5] ; [34.5 34.5],0
b5,1,0.729869,0.119232,[245 143] ; [47 25],[246.29565217 141.70434783] ; [45.70434783 26.29565217],0
a6,1,0.808056,0.059017,[253 134] ; [46 26],[252.09803922 134.90196078] ; [46.90196078 25.09803922],0
p12,1,0.867987,0.027628,[ 18 367] ; [ 3 68],[ 17.73026316 367.26973684] ; [ 3.26973684 67.73026316],0
d5,1,0.899802,0.015854,[297  90] ; [54 17],[296.58733624  90.41266376] ; [54.41266376 16.58733624],0
v2,1,0.930775,0.007546,[191 176] ; [35 33],[190.67126437 176.32873563] ; [35.32873563 32.67126437],0
