Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.060314,[18 16] ; [10 70],[ 8.35087719 25.64912281] ; [19.64912281 60.35087719],1
s2,1,0.11371,2.501882,[11 22] ; [16 66],[ 7.74782609 25.25217391] ; [19.25217391 62.74782609],0
v3,1,0.123591,2.371219,[ 3 30] ; [17 63],[ 5.84070796 27.15929204] ; [14.15929204 65.84070796],0
p12,1,0.153596,2.036172,[ 2 32] ; [ 1 80],[ 0.88695652 33.11304348] ; [ 2.11304348 78.88695652],0
d2,1,0.189104,1.724587,[10 24] ; [34 46],[13.12280702 20.87719298] ; [30.87719298 49.12280702],0
b4,1,0.209793,1.572853,[16 18] ; [49 33],[19.05172414 14.94827586] ; [45.94827586 36.05172414],0
v4,1,0.211486,1.561221,[22 11] ; [42 36],[19.02702703 13.97297297] ; [44.97297297 33.02702703],0
u3,1,0.258312,1.277779,[6 9] ; [ 9 28],[ 4.32692308 10.67307692] ; [10.67307692 26.32692308],0
n2,1,0.27978,1.168157,[9 5] ; [20 22],[7.25 6.75] ; [21.75 20.25],0
s7,1,0.289156,1.123549,[ 8 23] ; [13 64],[ 6.02777778 24.97222222] ; [14.97222222 62.02777778],0
s6,1,0.310823,1.027178,[12 21] ; [22 60],[ 9.75652174 23.24347826] ; [24.24347826 57.75652174],0
a6,1,0.324474,0.970827,[20 14] ; [40 42],[17.5862069 16.4137931] ; [42.4137931 39.5862069],0
r3,1,0.393432,0.728309,[19 14] ; [38 40],[16.94594595 16.05405405] ; [40.05405405 37.94594595],0
a4,1,0.443155,0.588101,[13 21] ; [25 56],[11.23478261 22.76521739] ; [26.76521739 54.23478261],0
r2,1,0.444723,0.584067,[17 15] ; [47 30],[18.78899083 13.21100917] ; [45.21100917 31.78899083],0
d1,1,0.473294,0.514276,[14 20] ; [28 54],[12.31034483 21.68965517] ; [29.68965517 52.31034483],0
a1,1,0.489615,0.477372,[ 3 31] ; [11 71],[ 4.10344828 29.89655172] ; [ 9.89655172 72.10344828],0
d4,1,0.547477,0.361857,[23 11] ; [50 31],[21.5826087 12.4173913] ; [51.4173913 29.5826087],0
n3,1,0.588929,0.292019,[8 6] ; [20 21],[7.12727273 6.87272727] ; [20.87272727 20.12727273],0
s1,1,0.615096,0.252821,[ 2 32] ; [ 7 74],[ 2.66086957 31.33913043] ; [ 6.33913043 74.66086957],0
n4,1,0.61579,0.25183,[18 16] ; [47 34],[19.2173913 14.7826087] ; [45.7826087 35.2173913],0
r1,1,0.651331,0.204226,[ 8 25] ; [23 58],[ 8.97368421 24.02631579] ; [22.02631579 58.97368421],0
s5,1,0.654789,0.199916,[ 6 27] ; [12 69],[ 5.21052632 27.78947368] ; [12.78947368 68.21052632],0
n5,1,0.680975,0.169031,[18 15] ; [47 33],[18.98230088 14.01769912] ; [46.01769912 33.98230088],0
p1,1,0.714228,0.13409,[ 3 31] ; [ 9 72],[ 3.54782609 30.45217391] ; [ 8.45217391 72.54782609],0
u2,1,0.718326,0.130102,[ 6 10] ; [15 20],[6.58823529 9.41176471] ; [14.41176471 20.58823529],0
b5,1,0.735044,0.114531,[19 15] ; [43 39],[18.17241379 15.82758621] ; [43.82758621 38.17241379],0
a3,1,0.74514,0.10566,[18 16] ; [45 35],[18.78947368 15.21052632] ; [44.21052632 35.78947368],0
v1,1,0.758514,0.094515,[11 22] ; [24 55],[10.3125 22.6875] ; [24.6875 54.3125],0
u1,1,0.782495,0.076214,[ 3 31] ; [ 6 76],[ 2.63793103 31.36206897] ; [ 6.36206897 75.63793103],0
a7,1,0.806935,0.059723,[17 17] ; [42 38],[17.59649123 16.40350877] ; [41.40350877 38.59649123],0
v2,1,0.813507,0.055651,[11 21] ; [25 53],[10.47272727 21.52727273] ; [25.52727273 52.47272727],0
s4,1,0.887173,0.020131,[ 6 27] ; [14 68],[ 5.73913043 27.26086957] ; [14.26086957 67.73913043],0
a2,1,0.902396,0.015039,[ 4 30] ; [ 9 73],[ 3.81034483 30.18965517] ; [ 9.18965517 72.81034483],0
s3,1,1.0,0.0,[10 22] ; [25 55],[10. 22.] ; [25. 55.],0
