Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.1e-05,16.059644,[30 11] ; [ 6 20],[22.02985075 18.97014925] ; [13.97014925 12.02985075],1
b3,1,0.751529,0.100251,[10 10] ; [ 9 11],[ 9.5 10.5] ; [ 9.5 10.5],0
s6,1,0.75293,0.099085,[24 17] ; [15  9],[24.6 16.4] ; [14.4  9.6],0
b4,1,0.757785,0.095105,[21 21] ; [12 14],[20.38235294 21.61764706] ; [12.61764706 13.38235294],0
p2,1,0.773235,0.083028,[31 11] ; [20  6],[31.5 10.5] ; [19.5  6.5],0
s3,1,0.789467,0.07129,[25 16] ; [15 11],[24.47761194 16.52238806] ; [15.52238806 10.47761194],0
p10,1,0.798405,0.065235,[29 13] ; [18  7],[29.46268657 12.53731343] ; [17.53731343  7.46268657],0
a3,1,0.804906,0.061011,[28 13] ; [17  9],[27.53731343 13.46268657] ; [17.46268657  8.53731343],0
r2,1,0.858173,0.031934,[40  2] ; [25  1],[40.14705882  1.85294118] ; [24.85294118  1.14705882],0
p5,1,0.858173,0.031934,[ 2 40] ; [ 1 25],[ 1.85294118 40.14705882] ; [ 1.14705882 24.85294118],0
b1,1,0.881451,0.02224,[17 25] ; [11 15],[17.29411765 24.70588235] ; [10.70588235 15.29411765],0
a8,1,0.892577,0.018237,[ 5 33] ; [ 3 22],[ 4.82539683 33.17460317] ; [ 3.17460317 21.82539683],0
s2,1,0.897844,0.016483,[23 18] ; [15 11],[23.25373134 17.74626866] ; [14.74626866 11.25373134],0
p12,1,0.91108,0.012472,[ 2 40] ; [ 1 23],[ 1.90909091 40.09090909] ; [ 1.09090909 22.90909091],0
a4,1,0.913525,0.011792,[14 28] ; [ 9 17],[14.20588235 27.79411765] ; [ 8.79411765 17.20588235],0
p8,1,0.921483,0.009715,[19 23] ; [11 14],[18.80597015 23.19402985] ; [11.19402985 13.80597015],0
n2,1,0.964079,0.002028,[11  3] ; [7 2],[10.95652174  3.04347826] ; [7.04347826 1.95652174],0
s4,1,0.990723,0.000135,[ 5 37] ; [ 3 22],[ 5.01492537 36.98507463] ; [ 2.98507463 22.01492537],0
