Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.6e-05,18.659978,[29 31] ; [13 72],[17.37931034 42.62068966] ; [24.62068966 60.37931034],1
s1,1,0.621145,0.244262,[ 3 99] ; [  6 139],[ 3.71659919 98.28340081] ; [  5.28340081 139.71659919],0
a8,1,0.647329,0.209284,[13 84] ; [ 21 114],[14.21551724 82.78448276] ; [ 19.78448276 115.21551724],0
v4,1,0.652986,0.202156,[97  5] ; [135   9],[96.19512195  5.80487805] ; [135.80487805   8.19512195],0
p11,1,0.663249,0.189601,[78 25] ; [114  32],[79.42168675 23.57831325] ; [112.57831325  33.42168675],0
a3,1,0.670081,0.181508,[69 34] ; [94 52],[67.42570281 35.57429719] ; [95.57429719 50.42570281],0
r1,1,0.670565,0.180942,[80 23] ; [110  36],[78.59437751 24.40562249] ; [111.40562249  34.59437751],0
a2,1,0.672205,0.179033,[22 81] ; [ 28 118],[20.68273092 82.31726908] ; [ 29.31726908 116.68273092],0
n3,1,0.794679,0.067725,[21  7] ; [28  8],[21.4375  6.5625] ; [27.5625  8.4375],0
b5,1,0.799639,0.064422,[56 47] ; [77 69],[55.01606426 47.98393574] ; [77.98393574 68.01606426],0
n4,1,0.824102,0.049405,[74 29] ; [103  43],[73.21686747 29.78313253] ; [103.78313253  42.21686747],0
n2,1,0.863164,0.029704,[20  8] ; [25 11],[19.6875  8.3125] ; [25.3125 10.6875],0
d4,1,0.866269,0.028359,[77 26] ; [109  35],[77.56275304 25.43724696] ; [108.43724696  35.56275304],0
d3,1,0.893937,0.017775,[67 34] ; [95 50],[66.51219512 34.48780488] ; [95.48780488 49.51219512],0
n1,1,0.895226,0.017343,[ 7 21] ; [ 9 25],[ 7.22580645 20.77419355] ; [ 8.77419355 25.22580645],0
s3,1,0.974569,0.001016,[60 42] ; [85 60],[59.87854251 42.12145749] ; [85.12145749 59.87854251],0
d1,1,0.989275,0.000181,[53 50] ; [75 71],[52.94779116 50.05220884] ; [75.05220884 70.94779116],0
