Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,101.148851,[304   4] ; [8 8],[296.59259259  11.40740741] ; [15.40740741  0.59259259],1
a5,1,0.203742,1.615343,[252  57] ; [11  5],[250.05230769  58.94769231] ; [12.94769231  3.05230769],0
a7,1,0.265294,1.240919,[214  94] ; [9 7],[211.98765432  96.01234568] ; [11.01234568  4.98765432],0
p7,1,0.272038,1.206444,[223  75] ; [10  6],[221.12738854  76.87261146] ; [11.87261146  4.12738854],0
u3,1,0.272686,1.203187,[43 19] ; [4 4],[41.62857143 20.37142857] ; [5.37142857 2.62857143],0
n3,1,0.305891,1.048335,[36 18] ; [6 1],[37.18032787 16.81967213] ; [4.81967213 2.18032787],0
b4,1,0.327196,0.959965,[174 135] ; [11  5],[175.89230769 133.10769231] ; [9.10769231 6.89230769],0
s6,1,0.366061,0.816992,[256  50] ; [12  4],[254.68322981  51.31677019] ; [13.31677019  2.68322981],0
n6,1,0.370632,0.801544,[273  35] ; [13  3],[271.87654321  36.12345679] ; [14.12345679  1.87654321],0
n1,1,0.457962,0.550872,[22 30] ; [4 3],[22.91525424 29.08474576] ; [3.08474576 3.91525424],0
b2,1,0.51455,0.424804,[103 119] ; [4 7],[101.94849785 120.05150215] ; [5.05150215 5.94849785],0
b3,1,0.51455,0.424804,[103 119] ; [4 7],[101.94849785 120.05150215] ; [5.05150215 5.94849785],0
s4,1,0.540343,0.374905,[ 57 250] ; [ 2 14],[ 56.07739938 250.92260062] ; [ 2.92260062 13.07739938],0
p8,1,0.546938,0.362832,[193 110] ; [9 7],[191.86833856 111.13166144] ; [10.13166144  5.86833856],0
p4,1,0.575207,0.314048,[213  95] ; [10  6],[211.98765432  96.01234568] ; [11.01234568  4.98765432],0
b1,1,0.576902,0.31127,[118 191] ; [ 5 11],[116.94461538 192.05538462] ; [6.05538462 9.94461538],0
p2,1,0.59257,0.286349,[265  43] ; [13  3],[264.27160494  43.72839506] ; [13.72839506  2.27160494],0
u2,1,0.615143,0.252753,[41 21] ; [6 2],[41.62857143 20.37142857] ; [5.37142857 2.62857143],0
p5,1,0.699929,0.148545,[ 49 255] ; [ 2 14],[ 48.45 255.55] ; [ 2.55 13.45],0
p1,1,0.726903,0.121974,[ 27 281] ; [ 1 15],[ 26.61728395 281.38271605] ; [ 1.38271605 14.61728395],0
a8,1,0.750976,0.100712,[ 48 237] ; [ 3 12],[ 48.45 236.55] ; [ 2.55 12.45],0
n4,1,0.758296,0.094691,[260  49] ; [13  3],[259.56  49.44] ; [13.44  2.56],0
b5,1,0.813546,0.055627,[183 126] ; [9 7],[182.54769231 126.45230769] ; [9.45230769 6.54769231],0
p9,1,0.908058,0.013338,[285  23] ; [14  1],[285.11455108  22.88544892] ; [13.88544892  1.11455108],0
p12,1,0.961061,0.002384,[ 37 269] ; [ 2 14],[ 37.0621118 268.9378882] ; [ 1.9378882 14.0621118],0
n2,1,0.964853,0.001942,[39 15] ; [5 2],[38.95081967 15.04918033] ; [5.04918033 1.95081967],0
v3,1,0.968396,0.00157,[146 149] ; [8 8],[146.07717042 148.92282958] ; [7.92282958 8.07717042],0
