Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.7e-05,15.191009,[126  32] ; [42 34],[113.43589744  44.56410256] ; [54.56410256 21.43589744],1
u2,1,0.54722,0.362321,[37 22] ; [18 14],[35.65934066 23.34065934] ; [19.34065934 12.65934066],0
a3,1,0.558624,0.342092,[99 59] ; [47 33],[96.92436975 61.07563025] ; [49.07563025 30.92436975],0
s3,1,0.575407,0.313719,[72 84] ; [40 40],[74.03389831 81.96610169] ; [37.96610169 42.03389831],0
b5,1,0.604376,0.268447,[96 62] ; [52 29],[97.84100418 60.15899582] ; [50.15899582 30.84100418],0
a6,1,0.667061,0.185059,[102  56] ; [50 31],[100.48535565  57.51464435] ; [51.51464435 29.48535565],0
n3,1,0.677063,0.173451,[32 11] ; [21  9],[31.21917808 11.78082192] ; [21.78082192  8.21917808],0
p1,1,0.684984,0.16457,[ 12 144] ; [ 5 75],[ 11.23728814 144.76271186] ; [ 5.76271186 74.23728814],0
a7,1,0.716939,0.131445,[118  40] ; [58 22],[116.84033613  41.15966387] ; [59.15966387 20.84033613],0
u3,1,0.731162,0.118047,[39 20] ; [20 12],[38.25274725 20.74725275] ; [20.74725275 11.25274725],0
v3,1,0.742508,0.107935,[ 42 110] ; [22 52],[ 43.04424779 108.95575221] ; [20.95575221 53.04424779],0
v2,1,0.742627,0.107831,[77 74] ; [37 39],[75.83259912 75.16740088] ; [38.16740088 37.83259912],0
d4,1,0.747742,0.103438,[128  30] ; [67 14],[128.91213389  29.08786611] ; [66.08786611 14.91213389],0
b4,1,0.822501,0.050324,[96 62] ; [48 33],[95.19665272 62.80334728] ; [48.80334728 32.19665272],0
d3,1,0.873327,0.025419,[111  47] ; [57 23],[111.52941176  46.47058824] ; [56.47058824 23.52941176],0
s7,1,0.917169,0.010816,[ 52 103] ; [25 48],[ 52.34649123 102.65350877] ; [24.65350877 48.34649123],0
s6,1,0.934062,0.006845,[86 70] ; [44 35],[86.29787234 69.70212766] ; [43.70212766 35.29787234],0
