Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.8e-05,18.343838,[64 21] ; [29 41],[51. 34.] ; [42. 28.],1
p12,1,0.366733,0.814704,[ 5 80] ; [ 2 68],[ 3.83870968 81.16129032] ; [ 3.16129032 66.83870968],0
n3,1,0.442631,0.589453,[13  4] ; [15  8],[11.9  5.1] ; [16.1  6.9],0
s5,1,0.468802,0.524798,[22 60] ; [15 54],[20.09271523 61.90728477] ; [16.90728477 52.09271523],0
u1,1,0.497925,0.459356,[ 2 83] ; [ 3 67],[ 2.74193548 82.25806452] ; [ 2.25806452 67.74193548],0
v4,1,0.512075,0.429825,[81  3] ; [65  4],[80.15686275  3.84313725] ; [65.84313725  3.15686275],0
p11,1,0.521084,0.411747,[68 17] ; [53 17],[66.35483871 18.64516129] ; [54.64516129 15.35483871],0
n2,1,0.527447,0.399307,[14  3] ; [17  6],[13.175  3.825] ; [17.825  5.175],0
s3,1,0.530716,0.393021,[51 33] ; [39 31],[49.09090909 34.90909091] ; [40.90909091 29.09090909],0
r1,1,0.559932,0.339822,[58 27] ; [44 25],[56.2987013 28.7012987] ; [45.7012987 23.2987013],0
b5,1,0.570351,0.322096,[50 35] ; [38 32],[48.25806452 36.74193548] ; [39.74193548 30.25806452],0
d4,1,0.580408,0.305576,[59 26] ; [45 24],[57.4025974 27.5974026] ; [46.5974026 22.4025974],0
b3,1,0.628161,0.234563,[12 41] ; [ 8 35],[11.04166667 41.95833333] ; [ 8.95833333 34.04166667],0
b2,1,0.628161,0.234563,[12 41] ; [ 8 35],[11.04166667 41.95833333] ; [ 8.95833333 34.04166667],0
d2,1,0.630617,0.231225,[21 64] ; [15 55],[19.74193548 65.25806452] ; [16.25806452 53.74193548],0
s4,1,0.632926,0.228113,[18 65] ; [13 57],[16.81699346 66.18300654] ; [14.18300654 55.81699346],0
a7,1,0.672109,0.179145,[52 32] ; [45 24],[53.25490196 30.74509804] ; [43.74509804 25.25490196],0
v2,1,0.702857,0.145517,[40 44] ; [33 32],[41.15436242 42.84563758] ; [31.84563758 33.15436242],0
u2,1,0.726751,0.122116,[26 18] ; [21 17],[25.2195122 18.7804878] ; [21.7804878 16.2195122],0
b4,1,0.730212,0.118917,[45 40] ; [39 31],[46.06451613 38.93548387] ; [37.93548387 32.06451613],0
a3,1,0.739755,0.110342,[40 44] ; [31 38],[38.98039216 45.01960784] ; [32.01960784 36.98039216],0
a1,1,0.813633,0.055574,[ 3 82] ; [ 2 68],[ 2.74193548 82.25806452] ; [ 2.25806452 67.74193548],0
b1,1,0.830189,0.045993,[33 52] ; [26 44],[32.35483871 52.64516129] ; [26.64516129 43.35483871],0
r2,1,0.897707,0.016527,[76  8] ; [62  7],[75.76470588  8.23529412] ; [62.23529412  6.76470588],0
a8,1,0.907177,0.013595,[11 67] ; [ 9 58],[10.75862069 67.24137931] ; [ 9.24137931 57.75862069],0
