Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.757306,[418 107] ; [72 98],[370.14388489 154.85611511] ; [119.85611511  50.14388489],1
s4,1,0.341167,0.906042,[ 79 439] ; [ 31 138],[ 82.94032023 435.05967977] ; [ 27.05967977 141.94032023],0
s8,1,0.387334,0.747296,[235 287] ; [83 87],[239.87861272 282.12138728] ; [78.12138728 91.87861272],0
p5,1,0.392103,0.73241,[ 61 463] ; [ 24 146],[ 64.17867435 459.82132565] ; [ 20.82132565 149.17867435],0
s3,1,0.394376,0.725408,[297 222] ; [103  66],[301.74418605 217.25581395] ; [98.25581395 70.74418605],0
p12,1,0.395443,0.72214,[ 45 478] ; [ 11 157],[ 42.38494935 480.61505065] ; [ 13.61505065 154.38494935],0
u2,1,0.418064,0.655751,[82 59] ; [22 21],[79.69565217 61.30434783] ; [24.30434783 18.69565217],0
a8,1,0.569058,0.324261,[ 74 394] ; [ 22 136],[ 71.76996805 396.23003195] ; [ 24.23003195 133.76996805],0
n3,1,0.579932,0.306345,[76 22] ; [30 11],[74.73381295 23.26618705] ; [31.26618705  9.73381295],0
s6,1,0.614268,0.254007,[360 156] ; [111  53],[357.40588235 158.59411765] ; [113.59411765  50.40588235],0
p9,1,0.623201,0.241394,[457  60] ; [147  22],[455.20116618  61.79883382] ; [148.79883382  20.20116618],0
p1,1,0.655095,0.199537,[ 49 474] ; [ 14 156],[ 47.54545455 475.45454545] ; [ 15.45454545 154.54545455],0
a3,1,0.678627,0.171676,[383 141] ; [127  43],[385.07204611 138.92795389] ; [124.92795389  45.07204611],0
r3,1,0.683505,0.166207,[517   7] ; [167   3],[516.44956772   7.55043228] ; [167.55043228   2.44956772],0
n1,1,0.687922,0.161344,[34 62] ; [16 25],[35.03649635 60.96350365] ; [14.96350365 26.03649635],0
n2,1,0.697688,0.150888,[74 23] ; [30 11],[73.10144928 23.89855072] ; [30.89855072 10.10144928],0
d2,1,0.707985,0.140298,[260 265] ; [87 83],[262.12230216 262.87769784] ; [84.87769784 85.12230216],0
u4,1,0.715287,0.133053,[ 10 516] ; [  4 166],[ 10.58045977 515.41954023] ; [  3.41954023 166.58045977],0
p10,1,0.776612,0.080507,[442  79] ; [141  27],[440.84615385  80.15384615] ; [142.15384615  25.84615385],0
p3,1,0.791276,0.070042,[278 247] ; [92 78],[279.49640288 245.50359712] ; [90.50359712 79.49640288],0
s1,1,0.804321,0.061384,[ 14 501] ; [  4 165],[ 13.55263158 501.44736842] ; [  4.44736842 164.55263158],0
v1,1,0.814473,0.055065,[291 222] ; [93 74],[289.69411765 223.30588235] ; [94.30588235 72.69411765],0
v4,1,0.822137,0.050534,[515  11] ; [164   4],[514.63112392  11.36887608] ; [164.36887608   3.63112392],0
p6,1,0.88848,0.019664,[206 312] ; [ 65 101],[205.23099415 312.76900585] ; [ 65.76900585 100.23099415],0
p11,1,0.902753,0.014929,[431  95] ; [140  30],[431.5316092  94.4683908] ; [139.4683908  30.5316092],0
n6,1,0.916128,0.011091,[451  73] ; [146  23],[451.41125541  72.58874459] ; [145.58874459  23.41125541],0
a4,1,0.92412,0.009072,[237 288] ; [77 92],[237.53602305 287.46397695] ; [76.46397695 92.53602305],0
p8,1,0.95775,0.002807,[304 212] ; [98 69],[303.70717423 212.29282577] ; [98.29282577 68.70717423],0
