Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.200446,[107   6] ; [22 13],[98.49324324 14.50675676] ; [30.50675676  4.49324324],1
n4,1,0.577863,0.309702,[92 21] ; [27  8],[90.85810811 22.14189189] ; [28.14189189  6.85810811],0
s5,1,0.61216,0.257042,[28 77] ; [10 22],[29.12408759 75.87591241] ; [ 8.87591241 23.12408759],0
p11,1,0.639213,0.219773,[79 34] ; [23 12],[77.87837838 35.12162162] ; [24.12162162 10.87837838],0
a4,1,0.639561,0.219317,[53 60] ; [18 17],[54.20945946 58.79054054] ; [16.79054054 18.20945946],0
n1,1,0.654991,0.199665,[13 18] ; [5 5],[13.6097561 17.3902439] ; [4.3902439 5.6097561],0
a1,1,0.690023,0.159061,[  2 111] ; [ 1 34],[  2.29054054 110.70945946] ; [ 0.70945946 34.29054054],0
d5,1,0.764601,0.089667,[96 17] ; [29  6],[95.43918919 17.56081081] ; [29.56081081  5.43918919],0
s1,1,0.769535,0.085839,[  8 104] ; [ 2 33],[  7.61904762 104.38095238] ; [ 2.38095238 32.61904762],0
b2,1,0.808726,0.058598,[25 46] ; [ 8 13],[25.4673913 45.5326087] ; [ 7.5326087 13.4673913],0
b3,1,0.808726,0.058598,[25 46] ; [ 8 13],[25.4673913 45.5326087] ; [ 7.5326087 13.4673913],0
a3,1,0.850792,0.035385,[73 40] ; [22 13],[72.53378378 40.46621622] ; [22.46621622 12.53378378],0
p5,1,0.862584,0.029959,[ 11 101] ; [ 3 31],[ 10.73972603 101.26027397] ; [ 3.26027397 30.73972603],0
n6,1,0.878452,0.023388,[98 15] ; [30  5],[97.72972973 15.27027027] ; [30.27027027  4.72972973],0
s4,1,0.984906,0.000358,[16 95] ; [ 5 30],[15.96575342 95.03424658] ; [ 5.03424658 29.96575342],0
