Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.4e-05,17.207653,[100  64] ; [ 62 101],[81.24770642 82.75229358] ; [80.75229358 82.24770642],1
d5,1,0.095076,2.786251,[104  65] ; [91 82],[96.35964912 72.64035088] ; [98.64035088 74.35964912],0
p6,1,0.152178,2.050284,[ 57 105] ; [ 48 124],[ 50.92814371 111.07185629] ; [ 54.07185629 117.92814371],0
p2,1,0.162595,1.949922,[136  30] ; [131  42],[130.74336283  35.25663717] ; [136.25663717  36.74336283],0
p4,1,0.173077,1.856084,[90 77] ; [79 91],[83.74777448 83.25222552] ; [85.25222552 84.74777448],0
u3,1,0.176296,1.828571,[39 24] ; [41 40],[35. 28.] ; [45. 36.],0
b1,1,0.182427,1.777738,[ 60 109] ; [ 74 100],[ 66.02332362 102.97667638] ; [ 67.97667638 106.02332362],0
p3,1,0.20288,1.621523,[80 87] ; [ 71 102],[74.16764706 92.83235294] ; [76.83235294 96.16764706],0
p1,1,0.224159,1.477545,[ 18 149] ; [ 12 159],[ 14.82248521 152.17751479] ; [ 15.17751479 155.82248521],0
n6,1,0.340272,0.909405,[140  28] ; [138  36],[136.56140351  31.43859649] ; [141.43859649  32.56140351],0
p7,1,0.368754,0.80786,[102  61] ; [97 71],[97.99697885 65.00302115] ; [101.00302115  66.99697885],0
v4,1,0.389553,0.740337,[164   4] ; [167   7],[162.59649123   5.40350877] ; [168.40350877   5.59649123],0
s3,1,0.435179,0.60896,[90 75] ; [86 85],[86.42857143 78.57142857] ; [89.57142857 81.42857143],0
r3,1,0.443762,0.586534,[163   5] ; [171   3],[164.07017544   3.92982456] ; [169.92982456   4.07017544],0
n1,1,0.453213,0.562604,[13 17] ; [16 30],[11.44736842 18.55263158] ; [17.55263158 28.44736842],0
p8,1,0.455579,0.556735,[81 82] ; [78 93],[77.59580838 85.40419162] ; [81.40419162 89.59580838],0
a6,1,0.466232,0.530893,[98 71] ; [107  66],[101.30116959  67.69883041] ; [103.69883041  69.30116959],0
a1,1,0.522696,0.40857,[  7 162] ; [  5 169],[  5.91253644 163.08746356] ; [  6.08746356 167.91253644],0
n3,1,0.524668,0.404707,[23  7] ; [38  8],[24.07894737  5.92105263] ; [36.92105263  9.07894737],0
p11,1,0.53707,0.380997,[132  37] ; [131  43],[129.58309038  39.41690962] ; [133.41690962  40.58309038],0
s5,1,0.562743,0.334977,[ 51 110] ; [ 48 119],[ 48.5945122 112.4054878] ; [ 50.4054878 116.5945122],0
b4,1,0.598905,0.27665,[98 71] ; [96 78],[95.58600583 73.41399417] ; [98.41399417 75.58600583],0
d4,1,0.631381,0.230193,[102  67] ; [100  73],[99.81871345 69.18128655] ; [102.18128655  70.81871345],0
s1,1,0.710981,0.137299,[  7 157] ; [  6 166],[  6.3452381 157.6547619] ; [  6.6547619 165.3452381],0
d3,1,0.721128,0.127414,[72 97] ; [ 70 102],[70.37536657 98.62463343] ; [ 71.62463343 100.37536657],0
n2,1,0.815562,0.054408,[25  5] ; [39  9],[24.61538462  5.38461538] ; [39.38461538  8.61538462],0
s4,1,0.825841,0.048417,[ 27 141] ; [ 29 142],[ 27.75221239 140.24778761] ; [ 28.24778761 142.75221239],0
u2,1,0.847984,0.036745,[32 30] ; [41 41],[31.43055556 30.56944444] ; [41.56944444 40.43055556],0
p5,1,0.907518,0.013495,[ 19 147] ; [ 19 153],[ 18.66272189 147.33727811] ; [ 19.33727811 152.66272189],0
p12,1,0.93436,0.006783,[ 10 155] ; [ 10 161],[  9.82142857 155.17857143] ; [ 10.17857143 160.82142857],0
d2,1,0.947463,0.004342,[ 24 145] ; [ 25 148],[ 24.21345029 144.78654971] ; [ 24.78654971 148.21345029],0
a7,1,0.969745,0.001439,[112  56] ; [115  57],[112.16470588  55.83529412] ; [114.83529412  57.16470588],0
