Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8e-06,19.889084,[ 58 159] ; [105 117],[ 80.57175399 136.42824601] ; [ 82.42824601 139.57175399],1
a5,1,0.074662,3.177429,[155  72] ; [175  56],[163.55895197  63.44104803] ; [166.44104803  64.55895197],0
s2,1,0.089051,2.891446,[ 96 130] ; [115 113],[105.03524229 120.96475771] ; [105.96475771 122.03524229],0
r1,1,0.099061,2.720604,[168  58] ; [185  44],[175.33626374  50.66373626] ; [177.66373626  51.33626374],0
n4,1,0.105574,2.619257,[155  72] ; [172  57],[162.78289474  64.21710526] ; [164.21710526  64.78289474],0
a1,1,0.135856,2.224285,[  5 222] ; [ 11 220],[  7.930131 219.069869] ; [  8.069869 222.930131],0
u4,1,0.160957,1.965215,[  2 225] ; [  6 225],[  3.9650655 223.0349345] ; [  4.0349345 226.9650655],0
a4,1,0.179755,1.799651,[ 89 138] ; [104 125],[ 96.07675439 130.92324561] ; [ 96.92324561 132.07675439],0
n2,1,0.197343,1.661927,[46 17] ; [40  8],[48.81081081 14.18918919] ; [37.18918919 10.81081081],0
n6,1,0.202223,1.626248,[181  45] ; [193  35],[186.17621145  39.82378855] ; [187.82378855  40.17621145],0
b5,1,0.228913,1.447605,[132  95] ; [147  84],[138.28165939  88.71834061] ; [140.71834061  90.28165939],0
s1,1,0.238731,1.38807,[  8 217] ; [  4 222],[  5.98669623 219.01330377] ; [  6.01330377 219.98669623],0
p10,1,0.261215,1.262307,[198  28] ; [209  21],[201.71491228  24.28508772] ; [205.28508772  24.71491228],0
p7,1,0.280475,1.164786,[112 111] ; [125 101],[117.70824053 105.29175947] ; [119.29175947 106.70824053],0
r4,1,0.282232,1.156311,[196  31] ; [207  24],[199.74017467  27.25982533] ; [203.25982533  27.74017467],0
s4,1,0.294665,1.098185,[ 40 187] ; [ 32 196],[ 35.92087912 191.07912088] ; [ 36.07912088 191.92087912],0
a7,1,0.305032,1.052066,[168  59] ; [161  70],[163.06331878  63.93668122] ; [165.93668122  65.06331878],0
a8,1,0.33535,0.928127,[ 26 183] ; [ 33 177],[ 29.42959427 179.57040573] ; [ 29.57040573 180.42959427],0
u2,1,0.33788,0.918458,[38 39] ; [34 25],[40.76470588 36.23529412] ; [31.23529412 27.76470588],0
s7,1,0.341619,0.904346,[ 88 129] ; [100 122],[ 92.92938497 124.07061503] ; [ 95.07061503 126.92938497],0
d3,1,0.346929,0.88466,[158  68] ; [152  79],[153.30415755  72.69584245] ; [156.69584245  74.30415755],0
u1,1,0.396314,0.719482,[ 30 197] ; [ 37 194],[ 33.20742358 193.79257642] ; [ 33.79257642 197.20742358],0
b4,1,0.436811,0.604647,[132  95] ; [126 105],[127.87336245  99.12663755] ; [130.12663755 100.87336245],0
a2,1,0.486112,0.485122,[ 46 181] ; [ 53 178],[ 49.06768559 177.93231441] ; [ 49.93231441 181.06768559],0
d5,1,0.48969,0.477207,[174  52] ; [184  47],[177.04157549  48.95842451] ; [180.95842451  50.04157549],0
p11,1,0.492626,0.470787,[181  46] ; [190  41],[183.87991266  43.12008734] ; [187.12008734  43.87991266],0
d2,1,0.544626,0.367033,[ 94 131] ; [103 128],[ 97.20394737 127.79605263] ; [ 99.79605263 131.20394737],0
b1,1,0.64288,0.214996,[ 73 154] ; [ 79 152],[ 75.33624454 151.66375546] ; [ 76.66375546 154.33624454],0
d1,1,0.65077,0.20493,[121 106] ; [128 103],[123.41266376 103.58733624] ; [125.58733624 105.41266376],0
r3,1,0.720441,0.128071,[214  12] ; [216  14],[213.11403509  12.88596491] ; [216.88596491  13.11403509],0
d4,1,0.725515,0.12327,[180  46] ; [187  44],[181.49234136  44.50765864] ; [185.50765864  45.49234136],0
n3,1,0.762862,0.091038,[47 16] ; [37 11],[47.67567568 15.32432432] ; [36.32432432 11.67567568],0
n1,1,0.790074,0.07087,[23 39] ; [19 29],[23.67272727 38.32727273] ; [18.32727273 29.67272727],0
s3,1,0.890346,0.019007,[121 104] ; [123 103],[121.72949002 103.27050998] ; [122.27050998 103.72949002],0
a6,1,0.965902,0.001827,[155  71] ; [158  73],[154.78774617  71.21225383] ; [158.21225383  72.78774617],0
