Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.01014,[117   8] ; [50 26],[103.85572139  21.14427861] ; [63.14427861 12.85572139],1
a8,1,0.684689,0.164895,[ 11 102] ; [ 6 69],[ 10.21808511 102.78191489] ; [ 6.78191489 68.21808511],0
p12,1,0.716532,0.13184,[  1 125] ; [ 1 75],[  1.24752475 124.75247525] ; [ 0.75247525 75.24752475],0
a5,1,0.74532,0.105506,[70 56] ; [44 32],[71.10891089 54.89108911] ; [42.89108911 33.10891089],0
d1,1,0.768545,0.0866,[57 69] ; [36 40],[58.00990099 67.99009901] ; [34.99009901 41.00990099],0
n2,1,0.776273,0.080758,[23 14] ; [23 16],[22.39473684 14.60526316] ; [23.60526316 15.39473684],0
n4,1,0.814108,0.055286,[80 46] ; [47 29],[79.21782178 46.78217822] ; [47.78217822 28.21782178],0
d4,1,0.831332,0.045366,[88 36] ; [55 21],[88.66 35.34] ; [54.34 21.66],0
u2,1,0.841725,0.039875,[24 25] ; [14 16],[23.56962025 25.43037975] ; [14.43037975 15.56962025],0
a3,1,0.876046,0.024331,[77 49] ; [45 30],[76.47761194 49.52238806] ; [45.52238806 29.47761194],0
s5,1,0.890117,0.019087,[  9 113] ; [ 5 68],[  8.75897436 113.24102564] ; [ 5.24102564 67.75897436],0
a2,1,0.906646,0.013752,[ 19 107] ; [11 65],[ 18.71287129 107.28712871] ; [11.28712871 64.71287129],0
b2,1,0.934389,0.006777,[24 45] ; [16 31],[23.79310345 45.20689655] ; [16.20689655 30.79310345],0
b3,1,0.934389,0.006777,[24 45] ; [16 31],[23.79310345 45.20689655] ; [16.20689655 30.79310345],0
