Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00224,9.341379,[33  6] ; [100  71],[24.7 14.3] ; [108.3  62.7],0
a5,1,0.326226,0.96382,[25 15] ; [124  52],[27.59259259 12.40740741] ; [121.40740741  54.59259259],0
n1,1,0.329124,0.95234,[7 6] ; [17 27],[5.47368421 7.52631579] ; [18.52631579 25.47368421],0
p10,1,0.356259,0.851037,[34  6] ; [135  37],[31.88679245  8.11320755] ; [137.11320755  34.88679245],0
d4,1,0.383007,0.761027,[27 13] ; [130  45],[29.20930233 10.79069767] ; [127.79069767  47.20930233],0
p12,1,0.429313,0.624682,[ 4 36] ; [ 11 160],[ 2.8436019 37.1563981] ; [ 12.1563981 158.8436019],0
a2,1,0.455146,0.557805,[ 2 38] ; [ 15 161],[ 3.14814815 36.85185185] ; [ 13.85185185 162.14814815],0
n5,1,0.495129,0.465361,[33  7] ; [135  39],[31.40186916  8.59813084] ; [136.59813084  37.40186916],0
d2,1,0.529475,0.395399,[17 23] ; [84 91],[18.79069767 21.20930233] ; [82.20930233 92.79069767],0
r2,1,0.53416,0.386472,[35  5] ; [157  16],[36.05633803  3.94366197] ; [155.94366197  17.05633803],0
p5,1,0.572441,0.318615,[ 4 36] ; [ 23 150],[ 5.07042254 34.92957746] ; [ 21.92957746 151.07042254],0
r4,1,0.593492,0.284924,[32  8] ; [147  29],[33.14814815  6.85185185] ; [145.85185185  30.14814815],0
b4,1,0.602765,0.270846,[20 20] ; [96 80],[21.48148148 18.51851852] ; [94.51851852 81.48148148],0
v1,1,0.616579,0.250706,[20 20] ; [93 78],[21.42180095 18.57819905] ; [91.57819905 79.42180095],0
d1,1,0.639263,0.219708,[17 23] ; [82 94],[18.33333333 21.66666667] ; [80.66666667 95.33333333],0
a4,1,0.645023,0.212233,[16 24] ; [77 98],[17.30232558 22.69767442] ; [75.69767442 99.30232558],0
p6,1,0.67635,0.174264,[15 24] ; [ 59 110],[13.875 25.125] ; [ 60.125 108.875],0
s8,1,0.696646,0.151984,[20 20] ; [82 94],[18.88888889 21.11111111] ; [83.11111111 92.88888889],0
a6,1,0.733018,0.116359,[18 22] ; [ 74 102],[17.03703704 22.96296296] ; [ 74.96296296 101.03703704],0
u2,1,0.737931,0.111953,[9 6] ; [27 22],[8.4375 6.5625] ; [27.5625 21.4375],0
v4,1,0.773345,0.082946,[36  3] ; [159  16],[35.53738318  3.46261682] ; [159.46261682  15.53738318],0
n3,1,0.805295,0.060762,[9 4] ; [32 12],[9.35087719 3.64912281] ; [31.64912281 12.35087719],0
b1,1,0.834354,0.043731,[17 23] ; [78 98],[17.59259259 22.40740741] ; [77.40740741 98.59259259],0
r3,1,0.878302,0.023446,[37  3] ; [164  12],[37.22222222  2.77777778] ; [163.77777778  12.22222222],0
p2,1,0.891347,0.018659,[31  9] ; [135  37],[31.32075472  8.67924528] ; [134.67924528  37.32075472],0
d5,1,0.934133,0.00683,[29 11] ; [128  47],[29.20930233 10.79069767] ; [127.79069767  47.20930233],0
p9,1,0.934902,0.006671,[34  6] ; [147  27],[33.8317757  6.1682243] ; [147.1682243  26.8317757],0
p4,1,0.93817,0.006017,[21 19] ; [92 81],[21.22065728 18.77934272] ; [91.77934272 81.22065728],0
n4,1,0.962661,0.002192,[31  9] ; [137  39],[31.11111111  8.88888889] ; [136.88888889  39.11111111],0
r1,1,0.965341,0.001888,[29 11] ; [127  49],[28.88888889 11.11111111] ; [127.11111111  48.88888889],0
n6,1,0.974429,0.001027,[33  7] ; [144  31],[32.93023256  7.06976744] ; [144.06976744  30.93023256],0
a1,1,0.976458,0.000871,[ 2 38] ; [  9 167],[ 2.03703704 37.96296296] ; [  8.96296296 167.03703704],0
