Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.574836,[ 50 272] ; [19 21],[ 61.37569061 260.62430939] ; [ 7.62430939 32.37569061],1
a3,1,0.712357,0.135934,[220 105] ; [31 13],[221.0704607 103.9295393] ; [29.9295393 14.0704607],0
n6,1,0.73467,0.114867,[269  59] ; [37  7],[269.80645161  58.19354839] ; [36.19354839  7.80645161],0
d4,1,0.752661,0.099309,[254  74] ; [35  9],[254.8172043  73.1827957] ; [34.1827957  9.8172043],0
a6,1,0.8343,0.04376,[226 102] ; [31 13],[226.60215054 101.39784946] ; [30.39784946 13.60215054],0
d1,1,0.849336,0.036087,[169 159] ; [22 22],[168.40860215 159.59139785] ; [22.59139785 21.40860215],0
n1,1,0.866274,0.028356,[25 49] ; [4 7],[25.24705882 48.75294118] ; [3.75294118 7.24705882],0
d5,1,0.870413,0.026613,[257  71] ; [34 10],[256.58064516  71.41935484] ; [34.41935484  9.58064516],0
p2,1,0.893125,0.01805,[278  48] ; [37  6],[278.29268293  47.70731707] ; [36.70731707  6.29268293],0
n2,1,0.959948,0.002522,[54 21] ; [8 3],[54.06976744 20.93023256] ; [7.93023256 3.06976744],0
r1,1,0.973614,0.001094,[246  81] ; [33 11],[245.91105121  81.08894879] ; [33.08894879 10.91105121],0
s3,1,0.993306,7e-05,[ 73 249] ; [10 34],[ 73.02185792 248.97814208] ; [ 9.97814208 34.02185792],0
