Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.6e-05,15.644444,[26 10] ; [ 7 23],[18. 18.] ; [15. 15.],1
u1,1,0.308315,1.037881,[ 7 30] ; [ 3 27],[ 5.52238806 31.47761194] ; [ 4.47761194 25.52238806],0
s2,1,0.365142,0.82013,[22 14] ; [15 15],[20.18181818 15.81818182] ; [16.81818182 13.18181818],0
p8,1,0.365142,0.82013,[14 22] ; [15 15],[15.81818182 20.18181818] ; [13.18181818 16.81818182],0
d2,1,0.407822,0.685141,[16 21] ; [10 20],[14.35820896 22.64179104] ; [11.64179104 18.35820896],0
a1,1,0.412068,0.672826,[ 3 34] ; [ 1 29],[ 2.20895522 34.79104478] ; [ 1.79104478 28.20895522],0
s1,1,0.431448,0.618923,[ 1 35] ; [ 2 27],[ 1.66153846 34.33846154] ; [ 1.33846154 27.66153846],0
b1,1,0.44381,0.586413,[17 20] ; [11 19],[15.46268657 21.53731343] ; [12.53731343 17.46268657],0
d4,1,0.449331,0.57234,[30  7] ; [22  8],[28.71641791  8.28358209] ; [23.28358209  6.71641791],0
p9,1,0.485711,0.486013,[29  7] ; [22  8],[27.81818182  8.18181818] ; [23.18181818  6.81818182],0
b2,1,0.51583,0.422222,[ 9 11] ; [10  8],[10. 10.] ; [9. 9.],0
b3,1,0.51583,0.422222,[ 9 11] ; [10  8],[10. 10.] ; [9. 9.],0
s7,1,0.564699,0.331633,[20 15] ; [15 15],[18.84615385 16.15384615] ; [16.15384615 13.84615385],0
p3,1,0.656266,0.198092,[13 24] ; [ 9 21],[12.14925373 24.85074627] ; [ 9.85074627 20.14925373],0
r2,1,0.683416,0.166305,[35  2] ; [29  1],[35.34328358  1.65671642] ; [28.65671642  1.34328358],0
p11,1,0.702172,0.146222,[23 14] ; [20 10],[23.74626866 13.25373134] ; [19.25373134 10.74626866],0
p1,1,0.751518,0.10026,[ 4 33] ; [ 4 26],[ 4.41791045 32.58208955] ; [ 3.58208955 26.41791045],0
a8,1,0.76824,0.086835,[ 4 30] ; [ 4 24],[ 4.38709677 29.61290323] ; [ 3.61290323 24.38709677],0
p7,1,0.799596,0.06445,[26  9] ; [20  8],[25.55555556  9.44444444] ; [20.44444444  7.55555556],0
a2,1,0.811043,0.057159,[ 7 30] ; [ 5 25],[ 6.62686567 30.37313433] ; [ 5.37313433 24.62686567],0
r3,1,0.828464,0.046947,[35  2] ; [28  2],[34.79104478  2.20895522] ; [28.20895522  1.79104478],0
p2,1,0.867259,0.027936,[29  8] ; [23  7],[28.71641791  8.28358209] ; [23.28358209  6.71641791],0
p12,1,0.876346,0.024212,[ 1 35] ; [ 1 28],[ 1.10769231 34.89230769] ; [ 0.89230769 28.10769231],0
s3,1,0.879135,0.023124,[21 16] ; [17 12],[21.3030303 15.6969697] ; [16.6969697 12.3030303],0
b5,1,0.924627,0.00895,[28  9] ; [23  7],[28.1641791  8.8358209] ; [22.8358209  7.1641791],0
n1,1,0.936898,0.006268,[4 6] ; [5 7],[4.09090909 5.90909091] ; [4.90909091 7.09090909],0
a4,1,0.937762,0.006097,[12 25] ; [10 20],[12.14925373 24.85074627] ; [ 9.85074627 20.14925373],0
r1,1,0.973603,0.001095,[27 10] ; [22  8],[27.05970149  9.94029851] ; [21.94029851  8.05970149],0
r4,1,0.982842,0.000463,[32  5] ; [26  4],[32.02985075  4.97014925] ; [25.97014925  4.02985075],0
s5,1,0.98595,0.00031,[11 23] ; [ 9 19],[10.96774194 23.03225806] ; [ 9.03225806 18.96774194],0
