Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,4e-06,21.355227,[ 9 21] ; [57 16],[19.22330097 10.77669903] ; [46.77669903 26.22330097],1
v3,1,0.445546,0.581957,[15 13] ; [32 39],[13.29292929 14.70707071] ; [33.70707071 37.29292929],0
a8,1,0.455192,0.557692,[ 2 27] ; [ 7 51],[ 3. 26.] ; [ 6. 52.],0
p1,1,0.480035,0.498785,[ 1 29] ; [ 5 67],[ 1.76470588 28.23529412] ; [ 4.23529412 67.76470588],0
u4,1,0.511741,0.430505,[ 1 29] ; [ 1 72],[ 0.58252427 29.41747573] ; [ 1.41747573 71.58252427],0
r4,1,0.540169,0.375226,[24  6] ; [62 11],[25.04854369  4.95145631] ; [60.95145631 12.04854369],0
r2,1,0.556493,0.345813,[27  2] ; [70  3],[27.57843137  1.42156863] ; [69.42156863  3.57843137],0
d5,1,0.559448,0.340661,[25  5] ; [64  9],[25.9223301  4.0776699] ; [63.0776699  9.9223301],0
s1,1,0.594145,0.283918,[ 2 28] ; [ 3 69],[ 1.47058824 28.52941176] ; [ 3.52941176 68.47058824],0
s5,1,0.627794,0.235064,[10 19] ; [27 41],[11.06185567 17.93814433] ; [25.93814433 42.06185567],0
n6,1,0.637016,0.222666,[20  9] ; [53 19],[20.96039604  8.03960396] ; [52.03960396 19.96039604],0
s8,1,0.642235,0.215831,[14 16] ; [30 42],[12.94117647 17.05882353] ; [31.05882353 40.94117647],0
s4,1,0.690895,0.158118,[ 6 24] ; [17 55],[ 6.76470588 23.23529412] ; [16.23529412 55.76470588],0
p3,1,0.733775,0.115674,[12 18] ; [31 40],[12.77227723 17.22772277] ; [30.22772277 40.77227723],0
p2,1,0.746621,0.104392,[19 11] ; [48 24],[19.70588235 10.29411765] ; [47.29411765 24.70588235],0
u3,1,0.765087,0.089286,[6 6] ; [10  8],[6.4 5.6] ; [9.6 8.4],0
v4,1,0.771214,0.084557,[27  3] ; [67  6],[27.37864078  2.62135922] ; [66.62135922  6.37864078],0
v1,1,0.79287,0.068952,[16 14] ; [41 32],[16.60194175 13.39805825] ; [40.39805825 32.60194175],0
p6,1,0.806831,0.059788,[11 18] ; [28 41],[11.54081633 17.45918367] ; [27.45918367 41.54081633],0
a1,1,0.85302,0.034324,[ 1 29] ; [ 3 70],[ 1.16504854 28.83495146] ; [ 2.83495146 70.16504854],0
s6,1,0.855421,0.033199,[20  8] ; [52 19],[20.36363636  7.63636364] ; [51.63636364 19.36363636],0
u2,1,0.875948,0.02437,[6 6] ; [8 9],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
n4,1,0.876654,0.024091,[19 10] ; [49 24],[19.33333333  9.66666667] ; [48.66666667 24.33333333],0
b1,1,0.906029,0.013935,[14 16] ; [35 38],[14.27184466 15.72815534] ; [34.72815534 38.27184466],0
d2,1,0.962756,0.00218,[17 13] ; [41 32],[16.89320388 13.10679612] ; [41.10679612 31.89320388],0
s3,1,0.975947,0.000909,[15 14] ; [38 35],[15.06862745 13.93137255] ; [37.93137255 35.06862745],0
n5,1,0.978851,0.000703,[17 12] ; [42 30],[16.94059406 12.05940594] ; [42.05940594 29.94059406],0
s2,1,0.979409,0.000666,[17 13] ; [41 31],[17.05882353 12.94117647] ; [40.94117647 31.05882353],0
