Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,53.023392,[110   3] ; [22 22],[95.00636943 17.99363057] ; [36.99363057  7.00636943],1
s7,1,0.02904,4.765229,[42 66] ; [ 9 35],[36.23684211 71.76315789] ; [14.76315789 29.23684211],0
p10,1,0.034021,4.493658,[76 37] ; [21 22],[70.26282051 42.73717949] ; [26.73717949 16.26282051],0
n3,1,0.03583,4.405158,[19  7] ; [ 9 12],[15.4893617 10.5106383] ; [12.5106383  8.4893617],0
d1,1,0.035935,4.400172,[34 80] ; [ 6 38],[28.86075949 85.13924051] ; [11.13924051 32.86075949],0
d4,1,0.040996,4.176165,[77 37] ; [22 22],[71.43037975 42.56962025] ; [27.56962025 16.43037975],0
b5,1,0.044914,4.021861,[79 35] ; [23 21],[73.59493671 40.40506329] ; [28.40506329 15.59493671],0
p3,1,0.04762,3.923361,[45 69] ; [10 34],[39.6835443 74.3164557] ; [15.3164557 28.6835443],0
n1,1,0.051209,3.80143,[12 14] ; [ 4 17],[ 8.85106383 17.14893617] ; [ 7.14893617 13.85106383],0
s2,1,0.052869,3.748052,[53 61] ; [13 31],[47.62025316 66.37974684] ; [18.37974684 25.62025316],0
a3,1,0.059144,3.561226,[47 65] ; [11 32],[41.90967742 70.09032258] ; [16.09032258 26.90967742],0
d3,1,0.061158,3.505703,[61 52] ; [16 27],[55.77564103 57.22435897] ; [21.22435897 21.77564103],0
p7,1,0.069701,3.290043,[60 50] ; [16 26],[55. 55.] ; [21. 21.],0
a1,1,0.103129,2.656474,[  2 112] ; [ 3 41],[  3.60759494 110.39240506] ; [ 1.39240506 42.60759494],0
a4,1,0.131997,2.268855,[18 95] ; [ 3 41],[15.11464968 97.88535032] ; [ 5.88535032 38.11464968],0
u2,1,0.154691,2.025368,[38 28] ; [14 19],[34.66666667 31.33333333] ; [17.33333333 15.66666667],0
v3,1,0.180972,1.789622,[20 91] ; [ 4 39],[17.2987013 93.7012987] ; [ 6.7012987 36.2987013],0
p5,1,0.195113,1.678582,[  9 103] ; [ 1 42],[  7.22580645 104.77419355] ; [ 2.77419355 40.22580645],0
a6,1,0.235968,1.404524,[56 58] ; [17 27],[52.67088608 61.32911392] ; [20.32911392 23.67088608],0
s5,1,0.270709,1.213152,[29 80] ; [ 8 36],[26.35947712 82.64052288] ; [10.64052288 33.35947712],0
p8,1,0.288314,1.127476,[49 64] ; [15 29],[46.06369427 66.93630573] ; [17.93630573 26.06369427],0
p2,1,0.289709,1.120971,[84 30] ; [28 15],[81.32484076 32.67515924] ; [30.67515924 12.32484076],0
b1,1,0.345711,0.889137,[45 69] ; [21 23],[47.62025316 66.37974684] ; [18.37974684 25.62025316],0
v1,1,0.357514,0.846606,[35 79] ; [10 33],[32.67515924 81.32484076] ; [12.32484076 30.67515924],0
d2,1,0.398611,0.712513,[25 89] ; [ 7 37],[23.08860759 90.91139241] ; [ 8.91139241 35.08860759],0
b4,1,0.527195,0.399796,[61 53] ; [26 18],[62.7721519 51.2278481] ; [24.2278481 19.7721519],0
p1,1,0.598904,0.276653,[ 10 103] ; [ 5 38],[ 10.86538462 102.13461538] ; [ 4.13461538 38.86538462],0
u1,1,0.690747,0.158278,[  4 110] ; [ 1 43],[  3.60759494 110.39240506] ; [ 1.39240506 42.60759494],0
s4,1,0.807939,0.059091,[21 91] ; [ 9 35],[21.53846154 90.46153846] ; [ 8.46153846 35.53846154],0
b2,1,0.881105,0.022371,[16 47] ; [ 7 19],[16.28089888 46.71910112] ; [ 6.71910112 19.28089888],0
b3,1,0.881105,0.022371,[16 47] ; [ 7 19],[16.28089888 46.71910112] ; [ 6.71910112 19.28089888],0
s1,1,0.885756,0.020643,[  7 106] ; [ 3 41],[  7.19745223 105.80254777] ; [ 2.80254777 41.19745223],0
p12,1,0.897583,0.016568,[  3 111] ; [ 1 43],[  2.88607595 111.11392405] ; [ 1.11392405 42.88607595],0
