Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.007372,7.179919,[ 2 14] ; [14 12],[6.0952381 9.9047619] ; [ 9.9047619 16.0952381],0
u1,1,0.128321,2.312694,[16 49] ; [10 60],[12.51851852 52.48148148] ; [13.48148148 56.51851852],0
a5,1,0.130022,2.292245,[52 13] ; [48 22],[48.14814815 16.85185185] ; [51.85185185 18.14814815],0
p11,1,0.130022,2.292245,[52 13] ; [48 22],[48.14814815 16.85185185] ; [51.85185185 18.14814815],0
p9,1,0.166211,1.916788,[59  6] ; [57 12],[56.26865672  8.73134328] ; [59.73134328  9.26865672],0
s1,1,0.170076,1.882274,[ 2 63] ; [ 6 63],[ 3.88059701 61.11940299] ; [ 4.11940299 64.88059701],0
s5,1,0.201681,1.630161,[35 25] ; [30 34],[31.4516129 28.5483871] ; [33.5483871 30.4516129],0
p2,1,0.230805,1.435891,[53 12] ; [51 19],[50.07407407 14.92592593] ; [53.92592593 16.07407407],0
s2,1,0.241196,1.373589,[47 16] ; [45 24],[43.90909091 19.09090909] ; [48.09090909 20.90909091],0
r2,1,0.278329,1.175233,[63  2] ; [64  5],[61.60447761  3.39552239] ; [65.39552239  3.60447761],0
n2,1,0.28245,1.155266,[11  2] ; [15  7],[9.65714286 3.34285714] ; [16.34285714  5.65714286],0
a6,1,0.294284,1.09992,[37 28] ; [46 24],[39.96296296 25.03703704] ; [43.03703704 26.96296296],0
v3,1,0.297686,1.084531,[22 42] ; [18 51],[19.2481203 44.7518797] ; [20.7518797 48.2481203],0
d1,1,0.300253,1.073068,[41 24] ; [38 32],[38.03703704 26.96296296] ; [40.96296296 29.03703704],0
r1,1,0.329509,0.950828,[52 13] ; [51 19],[49.59259259 15.40740741] ; [53.40740741 16.59259259],0
a8,1,0.338432,0.916364,[ 4 56] ; [ 2 64],[ 2.85714286 57.14285714] ; [ 3.14285714 62.85714286],0
p6,1,0.346702,0.885493,[27 37] ; [24 46],[24.35820896 39.64179104] ; [26.64179104 43.35820896],0
v4,1,0.353037,0.86251,[61  4] ; [68  2],[62.11111111  2.88888889] ; [66.88888889  3.11111111],0
a2,1,0.518846,0.416187,[15 50] ; [13 57],[13.48148148 51.51851852] ; [14.51851852 55.48148148],0
d4,1,0.549528,0.358163,[52 13] ; [53 17],[50.55555556 14.44444444] ; [54.44444444 15.55555556],0
d2,1,0.556981,0.344958,[33 32] ; [32 38],[31.2962963 33.7037037] ; [33.7037037 36.2962963],0
n1,1,0.58018,0.305944,[ 3 10] ; [ 7 15],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
a1,1,0.588853,0.292139,[ 3 62] ; [ 2 68],[ 2.40740741 62.59259259] ; [ 2.59259259 67.40740741],0
p12,1,0.592015,0.287209,[ 4 61] ; [ 6 64],[ 4.81481481 60.18518519] ; [ 5.18518519 64.81481481],0
b4,1,0.594491,0.283385,[37 28] ; [43 27],[38.51851852 26.48148148] ; [41.48148148 28.51851852],0
a7,1,0.596146,0.280847,[47 18] ; [47 22],[45.59701493 19.40298507] ; [48.40298507 20.59701493],0
b1,1,0.620248,0.245519,[24 41] ; [23 47],[22.62962963 42.37037037] ; [24.37037037 45.62962963],0
s6,1,0.648823,0.207387,[53  8] ; [58 11],[52.08461538  8.91538462] ; [58.91538462 10.08461538],0
d3,1,0.70048,0.147973,[49 16] ; [50 19],[48.02238806 16.97761194] ; [50.97761194 18.02238806],0
u3,1,0.734547,0.114977,[9 7] ; [16 10],[9.52380952 6.47619048] ; [15.47619048 10.52380952],0
s3,1,0.784014,0.075127,[45 19] ; [47 22],[44.27067669 19.72932331] ; [47.72932331 21.27067669],0
b5,1,0.843532,0.038958,[41 24] ; [43 27],[40.44444444 24.55555556] ; [43.55555556 26.44444444],0
p1,1,0.893003,0.018092,[ 6 59] ; [ 6 64],[ 5.77777778 59.22222222] ; [ 6.22222222 63.77777778],0
s7,1,0.948649,0.004148,[38 26] ; [40 28],[37.81818182 26.18181818] ; [40.18181818 27.81818182],0
