Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000894,11.034336,[42 10] ; [13 16],[35.30864198 16.69135802] ; [19.69135802  9.30864198],1
s5,1,0.521198,0.411523,[16 32] ; [11 16],[17.28 30.72] ; [ 9.72 17.28],0
d4,1,0.534917,0.385042,[42 10] ; [25  4],[43.01234568  8.98765432] ; [23.98765432  5.01234568],0
a1,1,0.54354,0.369019,[ 2 50] ; [ 2 27],[ 2.56790123 49.43209877] ; [ 1.43209877 27.56790123],0
a6,1,0.545604,0.365252,[34 18] ; [17 12],[32.74074074 19.25925926] ; [18.25925926 10.74074074],0
s6,1,0.578748,0.308263,[42 10] ; [24  4],[42.9  9.1] ; [23.1  4.9],0
p8,1,0.581785,0.303357,[23 29] ; [11 18],[21.82716049 30.17283951] ; [12.17283951 16.82716049],0
p4,1,0.630501,0.231381,[28 24] ; [14 15],[26.96296296 25.03703704] ; [15.03703704 13.96296296],0
s1,1,0.643934,0.213633,[ 3 49] ; [ 1 28],[ 2.56790123 49.43209877] ; [ 1.43209877 27.56790123],0
n1,1,0.644965,0.212308,[4 9] ; [4 6],[4.52173913 8.47826087] ; [3.47826087 6.52173913],0
d3,1,0.647863,0.208605,[37 15] ; [22  7],[37.87654321 14.12345679] ; [21.12345679  7.87654321],0
v3,1,0.652909,0.202252,[17 32] ; [ 8 19],[16.11842105 32.88157895] ; [ 8.88157895 18.11842105],0
n2,1,0.672754,0.178397,[8 5] ; [7 3],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
b4,1,0.72221,0.126385,[32 20] ; [19 10],[32.74074074 19.25925926] ; [18.25925926 10.74074074],0
b5,1,0.72221,0.126385,[32 20] ; [19 10],[32.74074074 19.25925926] ; [18.25925926 10.74074074],0
p3,1,0.752942,0.099075,[25 27] ; [15 14],[25.67901235 26.32098765] ; [14.32098765 14.67901235],0
p11,1,0.799004,0.06484,[39 13] ; [21  8],[38.51851852 13.48148148] ; [21.48148148  7.51851852],0
p10,1,0.880856,0.022465,[40 10] ; [22  6],[39.74358974 10.25641026] ; [22.25641026  5.74358974],0
s2,1,0.900977,0.015482,[33 19] ; [18 11],[32.74074074 19.25925926] ; [18.25925926 10.74074074],0
r1,1,0.913963,0.011673,[40 12] ; [22  7],[39.80246914 12.19753086] ; [22.19753086  6.80246914],0
d1,1,0.935309,0.006588,[30 22] ; [17 12],[30.17283951 21.82716049] ; [16.82716049 12.17283951],0
s7,1,0.948831,0.004118,[31 20] ; [16 10],[31.12987013 19.87012987] ; [15.87012987 10.12987013],0
p12,1,0.950809,0.003806,[ 2 50] ; [ 1 27],[ 1.95 50.05] ; [ 1.05 26.95],0
s3,1,0.9904,0.000145,[34 18] ; [19 10],[34.02469136 17.97530864] ; [18.97530864 10.02469136],0
