Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,77.722995,[318  85] ; [69 99],[273.13660245 129.86339755] ; [113.86339755  54.13660245],1
p2,1,0.112002,2.525747,[321  81] ; [124  44],[313.84210526  88.15789474] ; [131.15789474  36.84210526],0
s4,1,0.12918,2.302326,[ 56 344] ; [ 32 136],[ 61.97183099 338.02816901] ; [ 26.02816901 141.97183099],0
a8,1,0.129764,2.295328,[ 55 310] ; [ 16 142],[ 49.55066922 315.44933078] ; [ 21.44933078 136.55066922],0
s1,1,0.157151,2.001424,[ 10 387] ; [  8 158],[ 12.69271758 384.30728242] ; [  5.30728242 160.69271758],0
u4,1,0.171717,1.867891,[  9 394] ; [  1 168],[  7.04545455 395.95454545] ; [  2.95454545 166.04545455],0
a7,1,0.24227,1.367335,[296 107] ; [116  53],[290.27272727 112.72727273] ; [121.72727273  47.27272727],0
b4,1,0.249503,1.326085,[227 176] ; [104  65],[233.20454545 169.79545455] ; [97.79545455 71.20454545],0
n2,1,0.289572,1.121611,[80 22] ; [28 12],[77.57746479 24.42253521] ; [30.42253521  9.57746479],0
s3,1,0.373679,0.791394,[208 188] ; [94 72],[212.79715302 183.20284698] ; [89.20284698 76.79715302],0
n1,1,0.420888,0.647836,[36 63] ; [12 29],[33.94285714 65.05714286] ; [14.05714286 26.94285714],0
s2,1,0.430575,0.621272,[186 212] ; [72 95],[181.74159292 216.25840708] ; [76.25840708 90.74159292],0
p1,1,0.523044,0.407886,[ 22 379] ; [  7 160],[ 20.47359155 380.52640845] ; [  8.52640845 158.47359155],0
b5,1,0.587574,0.29415,[243 160] ; [106  63],[245.88636364 157.11363636] ; [103.11363636  65.88636364],0
n6,1,0.704692,0.143636,[325  75] ; [135  34],[323.37434095  76.62565905] ; [136.62565905  32.37434095],0
n3,1,0.723958,0.124732,[76 24] ; [30 11],[75.17730496 24.82269504] ; [30.82269504 10.17730496],0
u2,1,0.76883,0.086381,[46 38] ; [51 46],[45.01657459 38.98342541] ; [51.98342541 45.01657459],0
p5,1,0.832721,0.044611,[ 26 374] ; [ 10 156],[ 25.44169611 374.55830389] ; [ 10.55830389 155.44169611],0
u3,1,0.914326,0.011574,[46 38] ; [55 44],[46.36065574 37.63934426] ; [54.63934426 44.36065574],0
b1,1,0.958387,0.002723,[144 259] ; [ 60 109],[143.72727273 259.27272727] ; [ 60.27272727 108.72727273],0
