Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,7.8e-05,15.613681,[17  8] ; [ 3 21],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],1
p11,1,0.320472,0.98702,[17  8] ; [13 11],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
r2,1,0.36574,0.818087,[22  3] ; [18  5],[20.83333333  4.16666667] ; [19.16666667  3.83333333],0
s6,1,0.375912,0.784029,[16  8] ; [13 11],[14.5  9.5] ; [14.5  9.5],0
n6,1,0.402987,0.699395,[22  3] ; [19  5],[20.91836735  4.08163265] ; [20.08163265  3.91836735],0
b1,1,0.403615,0.697529,[ 9 16] ; [ 6 18],[ 7.65306122 17.34693878] ; [ 7.34693878 16.65306122],0
u1,1,0.413124,0.669793,[ 4 21] ; [ 2 22],[ 3.06122449 21.93877551] ; [ 2.93877551 21.06122449],0
v2,1,0.457807,0.55125,[12 13] ; [ 9 15],[10.71428571 14.28571429] ; [10.28571429 13.71428571],0
n5,1,0.482885,0.492342,[17  8] ; [14 10],[15.81632653  9.18367347] ; [15.18367347  8.81632653],0
a3,1,0.483865,0.490141,[16  9] ; [13 11],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
b2,1,0.549076,0.358974,[ 5 10] ; [ 3 10],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
b3,1,0.549076,0.358974,[ 5 10] ; [ 3 10],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
n2,1,0.627477,0.235498,[5 2] ; [6 4],[4.52941176 2.47058824] ; [6.47058824 3.52941176],0
r3,1,0.662266,0.190782,[21  4] ; [19  5],[20.40816327  4.59183673] ; [19.59183673  4.40816327],0
b4,1,0.673973,0.17699,[14 11] ; [12 12],[13.26530612 11.73469388] ; [12.73469388 11.26530612],0
d4,1,0.682168,0.167696,[19  6] ; [17  7],[18.36734694  6.63265306] ; [17.63265306  6.36734694],0
s2,1,0.731284,0.117936,[ 6 18] ; [ 5 19],[ 5.5 18.5] ; [ 5.5 18.5],0
v3,1,0.731284,0.117936,[ 5 19] ; [ 6 18],[ 5.5 18.5] ; [ 5.5 18.5],0
a7,1,0.838118,0.041739,[17  8] ; [15  8],[16.66666667  8.33333333] ; [15.33333333  7.66666667],0
d3,1,0.867518,0.027826,[19  6] ; [17  6],[18.75  6.25] ; [17.25  5.75],0
a6,1,0.87925,0.02308,[12 13] ; [11 13],[11.73469388 13.26530612] ; [11.26530612 12.73469388],0
d2,1,0.913298,0.011855,[ 9 16] ; [ 9 15],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
v4,1,0.957434,0.002849,[22  3] ; [21  3],[21.93877551  3.06122449] ; [21.06122449  2.93877551],0
u3,1,0.963969,0.002041,[4 5] ; [5 6],[4.05 4.95] ; [4.95 6.05],0
a1,1,0.976486,0.000869,[ 1 24] ; [ 1 23],[ 1.02040816 23.97959184] ; [ 0.97959184 23.02040816],0
p12,1,0.976486,0.000869,[ 1 24] ; [ 1 23],[ 1.02040816 23.97959184] ; [ 0.97959184 23.02040816],0
