Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.009545,6.717902,[ 2 19] ; [60 97],[ 7.31460674 13.68539326] ; [ 54.68539326 102.31460674],0
r3,1,0.583582,0.30048,[41  3] ; [236  12],[41.73972603  2.26027397] ; [235.26027397  12.73972603],0
s1,1,0.597031,0.279498,[ 3 41] ; [ 12 233],[ 2.28373702 41.71626298] ; [ 12.71626298 232.28373702],0
u2,1,0.670853,0.180606,[9 5] ; [46 33],[8.27956989 5.72043011] ; [46.72043011 32.27956989],0
a5,1,0.785299,0.074213,[29 16] ; [165  83],[29.79522184 15.20477816] ; [164.20477816  83.79522184],0
p2,1,0.795311,0.067299,[37  8] ; [199  48],[36.36986301  8.63013699] ; [199.63013699  47.36986301],0
p1,1,0.810528,0.057477,[ 3 42] ; [ 19 228],[ 3.39041096 41.60958904] ; [ 18.60958904 228.39041096],0
s8,1,0.812889,0.056028,[23 22] ; [122 126],[22.26962457 22.73037543] ; [122.73037543 125.26962457],0
p11,1,0.830919,0.045592,[34 11] ; [191  57],[34.55631399 10.44368601] ; [190.44368601  57.55631399],0
a3,1,0.838051,0.041774,[31 14] ; [167  81],[30.40955631 14.59044369] ; [167.59044369  80.40955631],0
p4,1,0.851672,0.034964,[26 19] ; [139 108],[25.42808219 19.57191781] ; [139.57191781 107.42808219],0
p6,1,0.887413,0.020045,[13 31] ; [ 75 170],[13.39792388 30.60207612] ; [ 74.60207612 170.39792388],0
p7,1,0.888876,0.019524,[27 16] ; [148  92],[26.59010601 16.40989399] ; [148.40989399  91.59010601],0
b1,1,0.89101,0.018776,[19 26] ; [102 146],[18.58361775 26.41638225] ; [102.41638225 145.58361775],0
p10,1,0.956824,0.002931,[34 10] ; [191  55],[34.13793103  9.86206897] ; [190.86206897  55.13793103],0
d4,1,0.967811,0.001628,[35 10] ; [192  54],[35.10309278  9.89690722] ; [191.89690722  54.10309278],0
d1,1,0.97081,0.001339,[24 21] ; [133 115],[24.11262799 20.88737201] ; [132.88737201 115.11262799],0
a4,1,0.991866,0.000104,[18 27] ; [ 99 148],[18.03082192 26.96917808] ; [ 98.96917808 148.03082192],0
