Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.341084,[193  93] ; [ 7 22],[181.58730159 104.41269841] ; [18.41269841 10.58730159],1
p5,1,0.33083,0.945648,[ 55 230] ; [ 3 23],[ 53.1511254 231.8488746] ; [ 4.8488746 21.1511254],0
d5,1,0.344238,0.894586,[238  47] ; [23  7],[236.14285714  48.85714286] ; [24.85714286  5.14285714],0
a4,1,0.350988,0.869883,[136 149] ; [17 13],[138.42857143 146.57142857] ; [14.57142857 15.42857143],0
n3,1,0.410281,0.677986,[36 11] ; [8 1],[36.92857143 10.07142857] ; [7.07142857 1.92857143],0
p1,1,0.415447,0.663158,[ 33 252] ; [ 2 28],[ 31.66666667 253.33333333] ; [ 3.33333333 26.66666667],0
s8,1,0.460673,0.544258,[181 104] ; [17 13],[179.14285714 105.85714286] ; [18.85714286 11.14285714],0
b1,1,0.462531,0.539763,[123 163] ; [15 15],[124.89873418 161.10126582] ; [13.10126582 16.89873418],0
u3,1,0.487696,0.481605,[40 24] ; [6 2],[40.88888889 23.11111111] ; [5.11111111 2.88888889],0
a5,1,0.500772,0.453299,[225  61] ; [22  8],[223.55063291  62.44936709] ; [23.44936709  6.55063291],0
p12,1,0.576739,0.311537,[ 39 247] ; [ 3 27],[ 38.01265823 247.98734177] ; [ 3.98734177 26.01265823],0
s2,1,0.582082,0.30288,[240  46] ; [24  6],[238.93670886  47.06329114] ; [25.06329114  4.93670886],0
d2,1,0.592572,0.286346,[157 129] ; [18 12],[158.38607595 127.61392405] ; [16.61392405 13.38607595],0
u4,1,0.603198,0.2702,[ 13 273] ; [ 2 28],[ 13.57594937 272.42405063] ; [ 1.42405063 28.57594937],0
a3,1,0.658707,0.195099,[220  66] ; [22  8],[219.02531646  66.97468354] ; [22.97468354  7.02531646],0
v1,1,0.684784,0.164791,[160 118] ; [15 13],[158.9869281 119.0130719] ; [16.0130719 11.9869281],0
s4,1,0.719191,0.129269,[ 65 219] ; [ 6 24],[ 64.21656051 219.78343949] ; [ 6.78343949 23.21656051],0
s1,1,0.722043,0.126544,[ 14 270] ; [ 1 28],[ 13.61022364 270.38977636] ; [ 1.38977636 27.61022364],0
u1,1,0.799353,0.064609,[ 61 225] ; [ 7 23],[ 61.5443038 224.4556962] ; [ 6.4556962 23.5443038],0
b3,1,0.853494,0.0341,[ 69 117] ; [ 7 13],[ 68.62135922 117.37864078] ; [ 7.37864078 12.62135922],0
b2,1,0.853494,0.0341,[ 69 117] ; [ 7 13],[ 68.62135922 117.37864078] ; [ 7.37864078 12.62135922],0
u2,1,0.891539,0.018593,[39 26] ; [5 3],[39.17808219 25.82191781] ; [4.82191781 3.17808219],0
b5,1,0.913883,0.011695,[165 121] ; [17 13],[164.72151899 121.27848101] ; [17.27848101 12.72151899],0
b4,1,0.913883,0.011695,[165 121] ; [17 13],[164.72151899 121.27848101] ; [17.27848101 12.72151899],0
r4,1,0.936384,0.006371,[268  18] ; [28  2],[267.89873418  18.10126582] ; [28.10126582  1.89873418],0
n2,1,0.949497,0.004012,[37 10] ; [7 2],[36.92857143 10.07142857] ; [7.07142857 1.92857143],0
r3,1,0.958423,0.002718,[276   9] ; [29  1],[275.95238095   9.04761905] ; [29.04761905  0.95238095],0
a1,1,0.996109,2.4e-05,[ 19 267] ; [ 2 28],[ 19.00632911 266.99367089] ; [ 1.99367089 28.00632911],0
