Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.3e-05,17.893208,[40  9] ; [ 8 17],[31.78378378 17.21621622] ; [16.21621622  8.78378378],1
s4,1,0.389758,0.739696,[ 9 38] ; [ 7 18],[10.44444444 36.55555556] ; [ 5.55555556 19.44444444],0
d2,1,0.416336,0.660633,[24 24] ; [10 15],[22.35616438 25.64383562] ; [11.64383562 13.35616438],0
d5,1,0.416975,0.658825,[30 18] ; [18  7],[31.56164384 16.43835616] ; [16.43835616  8.56164384],0
a5,1,0.419341,0.652162,[34 15] ; [15 10],[32.44594595 16.55405405] ; [16.55405405  8.44594595],0
r4,1,0.425368,0.635436,[41  8] ; [19  6],[39.72972973  9.27027027] ; [20.27027027  4.72972973],0
b4,1,0.446839,0.578659,[30 19] ; [13 12],[28.47297297 20.52702703] ; [14.52702703 10.47297297],0
d1,1,0.460914,0.543673,[26 23] ; [11 14],[24.5 24.5] ; [12.5 12.5],0
p3,1,0.483832,0.490213,[18 30] ; [ 7 17],[16.66666667 31.33333333] ; [ 8.33333333 15.66666667],0
b5,1,0.531212,0.392072,[33 16] ; [15 10],[31.78378378 17.21621622] ; [16.21621622  8.78378378],0
s5,1,0.555402,0.347727,[18 30] ; [ 6 14],[16.94117647 31.05882353] ; [ 7.05882353 12.94117647],0
d3,1,0.604801,0.267815,[28 20] ; [13 12],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
n3,1,0.648206,0.20817,[11  5] ; [6 4],[10.46153846  5.53846154] ; [6.53846154 3.46153846],0
s2,1,0.65094,0.204717,[30 19] ; [16  8],[30.87671233 18.12328767] ; [15.12328767  8.87671233],0
r3,1,0.654943,0.199724,[43  6] ; [21  4],[42.37837838  6.62162162] ; [21.62162162  3.37837838],0
a8,1,0.656449,0.197866,[ 5 39] ; [ 2 23],[ 4.46376812 39.53623188] ; [ 2.53623188 22.46376812],0
v3,1,0.659391,0.194265,[21 26] ; [ 9 14],[20.14285714 26.85714286] ; [ 9.85714286 13.14285714],0
p12,1,0.730147,0.118977,[ 3 46] ; [ 1 23],[ 2.68493151 46.31506849] ; [ 1.31506849 22.68493151],0
s3,1,0.749291,0.102128,[30 17] ; [15 10],[29.375 17.625] ; [15.625  9.375],0
n1,1,0.755794,0.096726,[9 7] ; [5 5],[8.61538462 7.38461538] ; [5.38461538 4.61538462],0
s6,1,0.775552,0.081293,[34 15] ; [16  6],[34.50704225 14.49295775] ; [15.49295775  6.50704225],0
a2,1,0.800183,0.064065,[ 9 40] ; [ 4 21],[ 8.60810811 40.39189189] ; [ 4.39189189 20.60810811],0
b1,1,0.813732,0.055514,[21 28] ; [10 15],[20.52702703 28.47297297] ; [10.47297297 14.52702703],0
p1,1,0.813963,0.055374,[ 5 44] ; [ 3 22],[ 5.2972973 43.7027027] ; [ 2.7027027 22.2972973],0
s1,1,0.837177,0.042232,[ 5 43] ; [ 3 22],[ 5.26027397 42.73972603] ; [ 2.73972603 22.26027397],0
u2,1,0.884799,0.020993,[10  9] ; [5 4],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
r1,1,0.892913,0.018122,[36 13] ; [18  7],[35.75675676 13.24324324] ; [18.24324324  6.75675676],0
p4,1,0.899752,0.01587,[18 30] ; [ 9 16],[17.75342466 30.24657534] ; [ 9.24657534 15.75342466],0
a3,1,0.899752,0.01587,[30 18] ; [16  9],[30.24657534 17.75342466] ; [15.75342466  9.24657534],0
a1,1,0.980585,0.000592,[ 4 45] ; [ 2 23],[ 3.97297297 45.02702703] ; [ 2.02702703 22.97297297],0
