Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,6e-05,16.091954,[21  6] ; [ 7 22],[13.5 13.5] ; [14.5 14.5],1
b4,1,0.146521,2.108105,[13 15] ; [19 10],[15.71929825 12.28070175] ; [16.28070175 12.71929825],0
v2,1,0.158188,1.991465,[12 16] ; [ 7 21],[ 9.5 18.5] ; [ 9.5 18.5],0
s3,1,0.202621,1.62338,[10 17] ; [ 6 22],[ 7.85454545 19.14545455] ; [ 8.14545455 19.85454545],0
s6,1,0.227156,1.458581,[12 16] ; [ 8 21],[ 9.8245614 18.1754386] ; [10.1754386 18.8245614],0
p7,1,0.232672,1.424453,[13 15] ; [ 9 20],[10.80701754 17.19298246] ; [11.19298246 17.80701754],0
b5,1,0.233999,1.41639,[12 16] ; [17 12],[14.24561404 13.75438596] ; [14.75438596 14.24561404],0
d3,1,0.235533,1.407132,[14 14] ; [10 19],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
p12,1,0.283001,1.152622,[ 3 25] ; [ 1 28],[ 1.96491228 26.03508772] ; [ 2.03508772 26.96491228],0
s2,1,0.285699,1.139781,[ 9 18] ; [ 6 23],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
s7,1,0.33463,0.930899,[ 8 16] ; [ 6 22],[ 6.46153846 17.53846154] ; [ 7.53846154 20.46153846],0
n1,1,0.350045,0.873294,[5 7] ; [ 4 12],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
r3,1,0.395764,0.721158,[17 10] ; [15 14],[15.42857143 11.57142857] ; [16.57142857 12.42857143],0
p6,1,0.411824,0.67353,[ 5 22] ; [ 3 25],[ 3.92727273 23.07272727] ; [ 4.07272727 23.92727273],0
s5,1,0.413423,0.668937,[ 2 26] ; [ 4 25],[ 2.94736842 25.05263158] ; [ 3.05263158 25.94736842],0
p8,1,0.446583,0.57931,[ 9 18] ; [ 7 22],[ 7.71428571 19.28571429] ; [ 8.28571429 20.71428571],0
u2,1,0.451917,0.56584,[4 3] ; [ 9 13],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
s8,1,0.472575,0.515948,[ 7 21] ; [ 5 24],[ 5.89473684 22.10526316] ; [ 6.10526316 22.89473684],0
u3,1,0.48432,0.489121,[1 6] ; [ 6 16],[1.68965517 5.31034483] ; [ 5.31034483 16.68965517],0
n4,1,0.494093,0.4676,[17 11] ; [15 14],[15.71929825 12.28070175] ; [16.28070175 12.71929825],0
r1,1,0.501336,0.452107,[ 9 19] ; [ 7 22],[ 7.85964912 20.14035088] ; [ 8.14035088 20.85964912],0
n2,1,0.57649,0.311943,[8 4] ; [9 7],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
a1,1,0.610492,0.259459,[ 3 25] ; [ 2 27],[ 2.45614035 25.54385965] ; [ 2.54385965 26.45614035],0
s1,1,0.610492,0.259459,[ 3 25] ; [ 2 27],[ 2.45614035 25.54385965] ; [ 2.54385965 26.45614035],0
p1,1,0.610492,0.259459,[ 3 25] ; [ 2 27],[ 2.45614035 25.54385965] ; [ 2.54385965 26.45614035],0
p2,1,0.704703,0.143626,[16 12] ; [18 11],[16.70175439 11.29824561] ; [17.29824561 11.70175439],0
n6,1,0.757471,0.09536,[16 11] ; [16 13],[15.42857143 11.57142857] ; [16.57142857 12.42857143],0
n3,1,0.912219,0.012153,[7 5] ; [9 7],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
b1,1,0.916353,0.011031,[17 11] ; [18 11],[17.19298246 10.80701754] ; [17.80701754 11.19298246],0
