Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.597619,[36 36] ; [200  55],[51.96330275 20.03669725] ; [184.03669725  70.96330275],1
d5,1,0.220792,1.499214,[69  4] ; [230  26],[66.34346505  6.65653495] ; [232.65653495  23.34346505],0
p7,1,0.244401,1.355026,[46 25] ; [177  69],[49.94637224 21.05362776] ; [173.05362776  72.94637224],0
v3,1,0.255529,1.292819,[30 39] ; [125 119],[34.16932907 34.83067093] ; [120.83067093 123.16932907],0
a7,1,0.257074,1.284446,[55 17] ; [178  78],[51.14634146 20.85365854] ; [181.85365854  74.14634146],0
u3,1,0.274944,1.191914,[16  8] ; [27  7],[17.79310345  6.20689655] ; [25.20689655  8.79310345],0
r3,1,0.287614,1.130759,[72  1] ; [246  10],[70.55927052  2.44072948] ; [247.44072948   8.55927052],0
v4,1,0.293989,1.101262,[70  3] ; [250   5],[71.2195122  1.7804878] ; [248.7804878   6.2195122],0
a4,1,0.309083,1.034588,[33 40] ; [133 123],[36.83282675 36.16717325] ; [129.16717325 126.83282675],0
p12,1,0.319503,0.990979,[ 6 66] ; [ 32 222],[ 8.39263804 63.60736196] ; [ 29.60736196 224.39263804],0
n2,1,0.327646,0.958178,[8 5] ; [42 14],[9.42028986 3.57971014] ; [40.57971014 15.42028986],0
n3,1,0.339307,0.913049,[7 6] ; [38 18],[8.47826087 4.52173913] ; [36.52173913 19.47826087],0
p4,1,0.402568,0.700643,[46 27] ; [174  81],[48.96341463 24.03658537] ; [171.03658537  83.96341463],0
a1,1,0.424678,0.637334,[ 3 70] ; [ 17 239],[ 4.43768997 68.56231003] ; [ 15.56231003 240.43768997],0
v1,1,0.445473,0.582145,[42 29] ; [159  89],[44.73667712 26.26332288] ; [156.26332288  91.73667712],0
p8,1,0.451973,0.565698,[46 26] ; [148 103],[43.24458204 28.75541796] ; [150.75541796 100.24458204],0
p10,1,0.45886,0.548675,[62 11] ; [224  30],[63.8470948  9.1529052] ; [222.1529052  31.8470948],0
p6,1,0.48934,0.477977,[33 40] ; [125 126],[35.59876543 37.40123457] ; [122.40123457 128.59876543],0
a8,1,0.498631,0.457849,[10 60] ; [ 41 190],[11.86046512 58.13953488] ; [ 39.13953488 191.86046512],0
a5,1,0.563564,0.333571,[62 11] ; [210  46],[60.35258359 12.64741641] ; [211.64741641  44.35258359],0
p2,1,0.580077,0.30611,[64  9] ; [217  38],[62.53963415 10.46036585] ; [218.46036585  36.53963415],0
p3,1,0.623156,0.241457,[41 32] ; [152 104],[42.82370821 30.17629179] ; [150.17629179 105.82370821],0
s1,1,0.671869,0.179424,[ 2 68] ; [ 10 244],[ 2.59259259 67.40740741] ; [  9.40740741 244.59259259],0
b1,1,0.687185,0.16215,[31 42] ; [102 154],[29.5106383 43.4893617] ; [103.4893617 152.5106383],0
b2,1,0.703995,0.144349,[22 23] ; [ 86 102],[20.8583691 24.1416309] ; [ 87.1416309 100.8583691],0
b3,1,0.703995,0.144349,[22 23] ; [ 86 102],[20.8583691 24.1416309] ; [ 87.1416309 100.8583691],0
r1,1,0.79758,0.065782,[63 10] ; [217  38],[62.31707317 10.68292683] ; [217.68292683  37.31707317],0
r2,1,0.813538,0.055632,[69  3] ; [243   9],[69.33333333  2.66666667] ; [242.66666667   9.33333333],0
d3,1,0.893961,0.017767,[57 16] ; [198  58],[56.58054711 16.41945289] ; [198.41945289  57.58054711],0
b5,1,0.985539,0.000329,[44 29] ; [154 102],[43.9331307 29.0668693] ; [154.0668693 101.9331307],0
a6,1,0.991755,0.000107,[49 24] ; [171  84],[48.96341463 24.03658537] ; [171.03658537  83.96341463],0
