Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000108,15.0,[117  27] ; [18 18],[108.  36.] ; [27.  9.],1
a8,1,0.545748,0.36499,[ 24 108] ; [ 5 31],[ 22.78571429 109.21428571] ; [ 6.21428571 29.78571429],0
p3,1,0.57669,0.311617,[99 45] ; [23 13],[97.6 46.4] ; [24.4 11.6],0
u4,1,0.587458,0.294331,[  7 137] ; [ 1 35],[  6.4 137.6] ; [ 1.6 34.4],0
p7,1,0.603528,0.269708,[118  23] ; [28  7],[116.96590909  24.03409091] ; [29.03409091  5.96590909],0
s1,1,0.606816,0.264837,[  7 137] ; [ 1 34],[  6.43575419 137.56424581] ; [ 1.56424581 33.43575419],0
n3,1,0.608503,0.26236,[20  8] ; [3 2],[19.51515152  8.48484848] ; [3.48484848 1.51515152],0
d3,1,0.615407,0.252376,[106  38] ; [25 11],[104.8  39.2] ; [26.2  9.8],0
b5,1,0.645582,0.211516,[90 54] ; [21 15],[88.8 55.2] ; [22.2 13.8],0
d5,1,0.650925,0.204736,[123  20] ; [32  4],[123.82681564  19.17318436] ; [31.17318436  4.82681564],0
n2,1,0.73137,0.117857,[19  9] ; [3 2],[18.66666667  9.33333333] ; [3.33333333 1.66666667],0
r4,1,0.765087,0.089286,[134  10] ; [34  2],[134.4   9.6] ; [33.6  2.4],0
d2,1,0.819875,0.05185,[85 59] ; [22 14],[85.6 58.4] ; [21.4 14.6],0
r1,1,0.84725,0.037106,[118  26] ; [29  7],[117.6  26.4] ; [29.4  6.6],0
b2,1,0.873366,0.025403,[52 53] ; [10 11],[51.66666667 53.33333333] ; [10.33333333 10.66666667],0
b3,1,0.873366,0.025403,[52 53] ; [10 11],[51.66666667 53.33333333] ; [10.33333333 10.66666667],0
p2,1,0.903463,0.014711,[129  15] ; [32  4],[128.8  15.2] ; [32.2  3.8],0
a5,1,0.921374,0.009742,[119  25] ; [30  6],[119.2  24.8] ; [29.8  6.2],0
