Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.1e-05,18.088755,[16 13] ; [88 10],[23.7480315  5.2519685] ; [80.2519685 17.7480315],1
s7,1,0.399379,0.710195,[12 15] ; [52 45],[13.93548387 13.06451613] ; [50.06451613 46.93548387],0
p5,1,0.400106,0.708007,[ 2 28] ; [12 87],[ 3.25581395 26.74418605] ; [10.74418605 88.25581395],0
a8,1,0.410456,0.67748,[ 2 27] ; [12 85],[ 3.22222222 25.77777778] ; [10.77777778 86.22222222],0
s5,1,0.439221,0.598318,[10 19] ; [40 54],[11.78861789 17.21138211] ; [38.21138211 55.78861789],0
a1,1,0.469982,0.522019,[ 1 29] ; [ 7 94],[ 1.83206107 28.16793893] ; [ 6.16793893 94.83206107],0
p7,1,0.490397,0.475655,[19 10] ; [70 27],[20.48412698  8.51587302] ; [68.51587302 28.48412698],0
r4,1,0.499746,0.455476,[24  6] ; [86 15],[25.19083969  4.80916031] ; [84.80916031 16.19083969],0
p8,1,0.511802,0.430381,[14 15] ; [53 43],[15.544 13.456] ; [51.456 44.544],0
r1,1,0.564827,0.331415,[21  9] ; [76 25],[22.21374046  7.78625954] ; [74.78625954 26.21374046],0
n2,1,0.611732,0.25766,[9 2] ; [14  5],[8.43333333 2.56666667] ; [14.56666667  4.43333333],0
d2,1,0.617704,0.249108,[17 13] ; [52 49],[15.80152672 14.19847328] ; [53.19847328 47.80152672],0
u3,1,0.667031,0.185095,[6 6] ; [ 8 11],[5.41935484 6.58064516] ; [ 8.58064516 10.41935484],0
d1,1,0.667508,0.184531,[15 15] ; [55 46],[16.03053435 13.96946565] ; [53.96946565 47.03053435],0
s2,1,0.686129,0.163308,[17 13] ; [53 48],[16.03053435 13.96946565] ; [53.96946565 47.03053435],0
d4,1,0.688783,0.160406,[24  6] ; [84 17],[24.73282443  5.26717557] ; [83.26717557 17.73282443],0
r2,1,0.700489,0.147964,[27  2] ; [89  9],[26.48818898  2.51181102] ; [89.51181102  8.48818898],0
p1,1,0.702767,0.145609,[ 1 29] ; [ 5 95],[ 1.38461538 28.61538462] ; [ 4.61538462 95.38461538],0
d3,1,0.728961,0.120068,[12 18] ; [44 57],[12.82442748 17.17557252] ; [43.17557252 57.82442748],0
p6,1,0.753009,0.09902,[11 18] ; [33 62],[10.29032258 18.70967742] ; [33.70967742 61.29032258],0
b1,1,0.76389,0.090226,[14 16] ; [44 57],[13.28244275 16.71755725] ; [44.71755725 56.28244275],0
u2,1,0.765087,0.089286,[6 6] ; [ 8 10],[5.6 6.4] ; [8.4 9.6],0
b2,1,0.771583,0.084277,[ 7 10] ; [32 39],[7.53409091 9.46590909] ; [31.46590909 39.53409091],0
b3,1,0.771583,0.084277,[ 7 10] ; [32 39],[7.53409091 9.46590909] ; [31.46590909 39.53409091],0
s8,1,0.822535,0.050304,[14 16] ; [49 51],[14.53846154 15.46153846] ; [48.46153846 51.53846154],0
b5,1,0.838217,0.041687,[14 16] ; [45 56],[13.51145038 16.48854962] ; [45.48854962 55.51145038],0
n3,1,0.865455,0.028708,[9 2] ; [16  3],[9.16666667 1.83333333] ; [15.83333333  3.16666667],0
v4,1,0.868189,0.027542,[27  3] ; [91  9],[27.23076923  2.76923077] ; [90.76923077  9.23076923],0
u4,1,0.874932,0.024774,[ 1 29] ; [ 4 97],[ 1.14503817 28.85496183] ; [ 3.85496183 97.14503817],0
a4,1,0.876995,0.023957,[12 18] ; [42 59],[12.36641221 17.63358779] ; [41.63358779 59.36641221],0
s3,1,0.90356,0.014681,[15 14] ; [53 47],[15.28682171 13.71317829] ; [52.71317829 47.28682171],0
p4,1,0.923508,0.009219,[16 12] ; [55 43],[15.77777778 12.22222222] ; [55.22222222 42.77777778],0
v3,1,0.927211,0.008346,[15 13] ; [54 45],[15.21259843 12.78740157] ; [53.78740157 45.21259843],0
d5,1,0.983062,0.000451,[25  5] ; [84 17],[24.96183206  5.03816794] ; [84.03816794 16.96183206],0
