Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,83.366753,[155  92] ; [ 33 147],[108.74941452 138.25058548] ; [ 79.25058548 100.74941452],1
b2,1,0.094525,2.795565,[64 91] ; [34 75],[57.53787879 97.46212121] ; [40.46212121 68.53787879],0
b3,1,0.094525,2.795565,[64 91] ; [34 75],[57.53787879 97.46212121] ; [40.46212121 68.53787879],0
d3,1,0.103759,2.646796,[189  64] ; [123  59],[181.46206897  71.53793103] ; [130.53793103  51.46206897],0
u4,1,0.108491,2.576064,[  9 245] ; [  2 180],[  6.40825688 247.59174312] ; [  4.59174312 177.40825688],0
b1,1,0.123773,2.368912,[ 85 169] ; [ 74 108],[ 92.62844037 161.37155963] ; [ 66.37155963 115.62844037],0
n3,1,0.133614,2.25,[27  9] ; [21 15],[24. 12.] ; [24. 12.],0
p9,1,0.146586,2.107426,[228  25] ; [154  26],[223.20092379  29.79907621] ; [158.79907621  21.20092379],0
s5,1,0.14807,2.092017,[103 141] ; [ 62 114],[ 95.85714286 148.14285714] ; [ 69.14285714 106.85714286],0
n5,1,0.162945,1.946684,[205  47] ; [138  44],[199.16129032  52.83870968] ; [143.83870968  38.16129032],0
s8,1,0.175564,1.834779,[130 119] ; [83 99],[123.05568445 125.94431555] ; [89.94431555 92.05568445],0
d2,1,0.181966,1.781493,[129 124] ; [ 81 101],[122.13793103 130.86206897] ; [87.86206897 94.13793103],0
s7,1,0.225298,1.4703,[135 106] ; [87 87],[128.92048193 112.07951807] ; [93.07951807 80.92048193],0
a7,1,0.237665,1.39439,[196  57] ; [132  50],[190.76781609  62.23218391] ; [137.23218391  44.76781609],0
v4,1,0.237807,1.393545,[248   4] ; [175   6],[246.18013857   5.81986143] ; [176.81986143   4.18013857],0
a4,1,0.273069,1.201264,[114 139] ; [ 72 109],[108.42857143 144.57142857] ; [ 77.57142857 103.42857143],0
p7,1,0.285874,1.138952,[209  42] ; [141  37],[204.77855478  46.22144522] ; [145.22144522  32.77855478],0
a1,1,0.332665,0.938496,[ 15 239] ; [  7 175],[ 12.81651376 241.18348624] ; [  9.18348624 172.81651376],0
p10,1,0.335013,0.929422,[222  31] ; [153  28],[218.60599078  34.39400922] ; [156.39400922  24.60599078],0
d5,1,0.361315,0.833319,[210  43] ; [144  37],[206.3640553  46.6359447] ; [147.6359447  33.3640553],0
s2,1,0.370393,0.802345,[137 115] ; [90 90],[132.41666667 119.58333333] ; [94.58333333 85.41666667],0
a8,1,0.408305,0.683732,[ 36 189] ; [ 22 147],[ 33.12182741 191.87817259] ; [ 24.87817259 144.12182741],0
n4,1,0.422226,0.644113,[204  49] ; [141  41],[200.65517241  52.34482759] ; [144.34482759  37.65517241],0
n6,1,0.435229,0.608829,[223  27] ; [157  24],[220.41763341  29.58236659] ; [159.58236659  21.41763341],0
b5,1,0.465402,0.532872,[139 115] ; [106  76],[142.7293578 111.2706422] ; [102.2706422  79.7293578],0
u2,1,0.516276,0.421327,[33 27] ; [34 35],[31.1627907 28.8372093] ; [35.8372093 33.1627907],0
n1,1,0.635256,0.225,[15 21] ; [17 19],[16. 20.] ; [16. 20.],0
s3,1,0.768453,0.086671,[146 105] ; [101  77],[144.51515152 106.48484848] ; [102.48484848  75.51515152],0
p1,1,0.773428,0.082883,[ 30 223] ; [ 23 157],[ 30.96766744 222.03233256] ; [ 22.03233256 157.96766744],0
p6,1,0.825437,0.048646,[123 127] ; [91 90],[124.12993039 125.87006961] ; [89.87006961 91.12993039],0
p2,1,0.828458,0.04695,[230  24] ; [165  16],[230.64367816  23.35632184] ; [164.35632184  16.64367816],0
u3,1,0.862186,0.030134,[33 27] ; [39 30],[33.48837209 26.51162791] ; [38.51162791 30.48837209],0
p5,1,0.95751,0.002839,[ 44 210] ; [ 31 150],[ 43.79310345 210.20689655] ; [ 31.20689655 149.79310345],0
s6,1,0.984089,0.000398,[171  74] ; [123  53],[171.09263658  73.90736342] ; [122.90736342  53.09263658],0
