Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,146.346153,[155   9] ; [11 58],[116.84120172  47.15879828] ; [49.15879828 19.84120172],1
p9,1,0.211085,1.563972,[151  11] ; [60  8],[148.6173913  13.3826087] ; [62.3826087  5.6173913],0
s1,1,0.212361,1.55526,[  8 155] ; [ 1 68],[  6.32327586 156.67672414] ; [ 2.67672414 66.32327586],0
n1,1,0.215613,1.533333,[17 13] ; [ 6 10],[15. 15.] ; [8. 8.],0
p2,1,0.245553,1.34843,[145  17] ; [58 11],[142.36363636  19.63636364] ; [60.63636364  8.36363636],0
a8,1,0.247916,1.335011,[ 16 137] ; [10 52],[ 18.50232558 134.49767442] ; [ 7.49767442 54.50232558],0
p10,1,0.306511,1.045651,[148  14] ; [60  9],[145.87012987  16.12987013] ; [62.12987013  6.87012987],0
p1,1,0.310466,1.028694,[ 18 144] ; [11 58],[ 20.33766234 141.66233766] ; [ 8.66233766 60.33766234],0
n2,1,0.320086,0.988596,[26  4] ; [12  4],[24.7826087  5.2173913] ; [13.2173913  2.7826087],0
p5,1,0.321357,0.983416,[ 37 125] ; [20 49],[ 39.97402597 122.02597403] ; [17.02597403 51.97402597],0
a5,1,0.323027,0.976651,[133  31] ; [52 17],[130.21459227  33.78540773] ; [54.78540773 14.21459227],0
d5,1,0.367019,0.813733,[137  25] ; [55 14],[134.64935065  27.35064935] ; [57.35064935 11.64935065],0
n6,1,0.374241,0.789533,[146  15] ; [65  4],[147.7  13.3] ; [63.3  5.7],0
v2,1,0.38354,0.759326,[91 67] ; [44 25],[93.96475771 64.03524229] ; [41.03524229 27.96475771],0
a7,1,0.456501,0.554461,[112  52] ; [43 25],[109.56896552  54.43103448] ; [45.43103448 22.56896552],0
u1,1,0.492704,0.470617,[ 35 129] ; [12 57],[ 33.08154506 130.91845494] ; [13.91845494 55.08154506],0
a1,1,0.594173,0.283874,[ 11 153] ; [ 6 63],[ 11.96566524 152.03433476] ; [ 5.03433476 63.96566524],0
p8,1,0.596129,0.280873,[107  53] ; [43 25],[105.26315789  54.73684211] ; [44.73684211 23.26315789],0
v4,1,0.631303,0.230299,[157   5] ; [66  3],[156.38961039   5.61038961] ; [66.61038961  2.38961039],0
p6,1,0.677014,0.173507,[79 81] ; [32 37],[77.55458515 82.44541485] ; [33.44541485 35.55458515],0
p3,1,0.703499,0.144858,[99 63] ; [44 25],[100.28571429  61.71428571] ; [42.71428571 26.28571429],0
a6,1,0.717446,0.130953,[105  57] ; [43 26],[103.79220779  58.20779221] ; [44.20779221 24.79220779],0
b1,1,0.738315,0.111613,[ 56 108] ; [22 47],[ 54.90128755 109.09871245] ; [23.09871245 45.90128755],0
d2,1,0.740473,0.109711,[83 80] ; [33 35],[81.85281385 81.14718615] ; [34.14718615 33.85281385],0
r4,1,0.744263,0.106415,[154  10] ; [64  5],[153.44206009  10.55793991] ; [64.55793991  4.44206009],0
b2,1,0.792643,0.069106,[47 59] ; [21 24],[47.73509934 58.26490066] ; [20.26490066 24.73509934],0
b3,1,0.792643,0.069106,[47 59] ; [21 24],[47.73509934 58.26490066] ; [20.26490066 24.73509934],0
u2,1,0.799988,0.064192,[19 15] ; [11 10],[18.54545455 15.45454545] ; [11.45454545  9.54545455],0
r1,1,0.812686,0.056151,[139  24] ; [58 11],[138.40948276  24.59051724] ; [58.59051724 10.40948276],0
n3,1,0.816099,0.054087,[21  9] ; [11  4],[21.33333333  8.66666667] ; [10.66666667  4.33333333],0
p7,1,0.835298,0.043227,[121  34] ; [53 16],[120.40178571  34.59821429] ; [53.59821429 15.40178571],0
p4,1,0.852311,0.034659,[110  51] ; [48 21],[110.6  50.4] ; [47.4 21.6],0
p12,1,0.94958,0.003999,[ 24 138] ; [10 59],[ 23.84415584 138.15584416] ; [10.15584416 58.84415584],0
n5,1,0.9541,0.003313,[132  30] ; [56 13],[131.84415584  30.15584416] ; [56.15584416 12.84415584],0
n4,1,0.976737,0.00085,[131  33] ; [55 14],[130.91845494  33.08154506] ; [55.08154506 13.91845494],0
b4,1,0.987914,0.000229,[100  64] ; [42 27],[99.94849785 64.05150215] ; [42.05150215 26.94849785],0
