Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,53.745973,[  9 120] ; [37 33],[29.81909548 99.18090452] ; [16.18090452 53.81909548],1
a3,1,0.351249,0.868941,[80 48] ; [39 31],[76.92929293 51.07070707] ; [42.07070707 27.92929293],0
s1,1,0.358553,0.842957,[  4 125] ; [ 4 65],[  5.21212121 123.78787879] ; [ 2.78787879 66.21212121],0
d4,1,0.35973,0.838836,[93 35] ; [55 15],[95.67676768 32.32323232] ; [52.32323232 17.67676768],0
p5,1,0.370115,0.803278,[  4 125] ; [ 4 66],[  5.18592965 123.81407035] ; [ 2.81407035 67.18592965],0
a8,1,0.431506,0.618766,[  8 114] ; [ 6 55],[  9.33333333 112.66666667] ; [ 4.66666667 56.33333333],0
a5,1,0.472277,0.516644,[80 49] ; [47 23],[82.32663317 46.67336683] ; [44.67336683 25.32663317],0
b4,1,0.525017,0.404028,[77 52] ; [45 25],[79.08542714 49.91457286] ; [42.91457286 27.08542714],0
v3,1,0.529159,0.396007,[33 91] ; [21 47],[34.875 89.125] ; [19.125 48.875],0
s4,1,0.532764,0.389118,[ 15 113] ; [ 6 62],[ 13.71428571 114.28571429] ; [ 7.28571429 60.71428571],0
a6,1,0.547949,0.361004,[83 46] ; [48 22],[84.91959799 44.08040201] ; [46.08040201 23.91959799],0
u1,1,0.55043,0.356547,[ 13 116] ; [ 9 61],[ 14.26130653 114.73869347] ; [ 7.73869347 62.26130653],0
p1,1,0.581884,0.303198,[ 10 118] ; [ 4 66],[  9.05050505 118.94949495] ; [ 4.94949495 65.05050505],0
b1,1,0.652005,0.203381,[54 75] ; [27 43],[52.50753769 76.49246231] ; [28.49246231 41.50753769],0
b2,1,0.662554,0.190436,[28 47] ; [17 24],[29.09482759 45.90517241] ; [15.90517241 25.09482759],0
b3,1,0.662554,0.190436,[28 47] ; [17 24],[29.09482759 45.90517241] ; [15.90517241 25.09482759],0
d2,1,0.664805,0.187739,[50 76] ; [30 40],[51.42857143 74.57142857] ; [28.57142857 41.42857143],0
n1,1,0.731352,0.117874,[18 32] ; [ 7 15],[17.36111111 32.63888889] ; [ 7.63888889 14.36111111],0
u2,1,0.760416,0.092985,[22 27] ; [15 16],[22.6625 26.3375] ; [14.3375 16.6625],0
b5,1,0.864111,0.02929,[79 50] ; [42 28],[78.43718593 50.56281407] ; [42.56281407 27.43718593],0
a7,1,0.902186,0.015105,[83 45] ; [46 24],[83.39393939 44.60606061] ; [45.60606061 24.39393939],0
p12,1,0.916285,0.011049,[  4 124] ; [ 2 68],[  3.87878788 124.12121212] ; [ 2.12121212 67.87878788],0
a2,1,0.987349,0.000251,[ 22 107] ; [12 58],[ 22.04020101 106.95979899] ; [11.95979899 58.04020101],0
n2,1,0.99398,5.7e-05,[31 19] ; [13  8],[30.98591549 19.01408451] ; [13.01408451  7.98591549],0
