Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,25.028938,[ 9 26] ; [36  8],[19.93670886 15.06329114] ; [25.06329114 18.93670886],1
s1,1,0.465368,0.532952,[ 3 32] ; [ 2 42],[ 2.21518987 32.78481013] ; [ 2.78481013 41.21518987],0
v4,1,0.47925,0.500569,[24  9] ; [28 15],[22.57894737 10.42105263] ; [29.42105263 13.57894737],0
d1,1,0.495844,0.46382,[17 18] ; [18 26],[15.50632911 19.49367089] ; [19.49367089 24.50632911],0
u2,1,0.529651,0.395062,[ 7 11] ; [7 7],[ 7.875 10.125] ; [6.125 7.875],0
a6,1,0.562469,0.335447,[19 16] ; [21 23],[17.72151899 17.27848101] ; [22.27848101 21.72151899],0
u1,1,0.573602,0.316693,[ 2 33] ; [ 4 40],[ 2.65822785 32.34177215] ; [ 3.34177215 40.65822785],0
d5,1,0.6003,0.274543,[25 10] ; [29 15],[23.92405063 11.07594937] ; [30.07594937 13.92405063],0
v1,1,0.655096,0.199536,[12 21] ; [17 24],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
a2,1,0.682799,0.166992,[ 3 32] ; [ 5 39],[ 3.5443038 31.4556962] ; [ 4.4556962 39.5443038],0
a4,1,0.705906,0.142401,[ 9 26] ; [13 31],[ 9.74683544 25.25316456] ; [12.25316456 31.74683544],0
p1,1,0.714855,0.133476,[ 1 33] ; [ 2 42],[ 1.30769231 32.69230769] ; [ 1.69230769 42.30769231],0
u3,1,0.729507,0.119565,[ 5 13] ; [ 5 10],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
s3,1,0.760948,0.09256,[17 17] ; [20 23],[16.33766234 17.66233766] ; [20.66233766 22.33766234],0
b5,1,0.77576,0.081138,[21 14] ; [25 19],[20.37974684 14.62025316] ; [25.62025316 18.37974684],0
n3,1,0.825887,0.048391,[11  6] ; [11  7],[10.68571429  6.31428571] ; [11.31428571  6.68571429],0
a1,1,0.841347,0.040068,[ 2 33] ; [ 3 41],[ 2.21518987 32.78481013] ; [ 2.78481013 41.21518987],0
a8,1,0.852043,0.034787,[ 2 31] ; [ 3 39],[ 2.2 30.8] ; [ 2.8 39.2],0
b1,1,0.858636,0.031723,[16 19] ; [21 23],[16.39240506 18.60759494] ; [20.60759494 23.39240506],0
p5,1,0.867114,0.027998,[ 2 32] ; [ 3 41],[ 2.17948718 31.82051282] ; [ 2.82051282 41.17948718],0
d2,1,0.891924,0.018461,[13 22] ; [17 27],[13.29113924 21.70886076] ; [16.70886076 27.29113924],0
p12,1,0.895926,0.017111,[ 1 34] ; [ 1 41],[ 0.90909091 34.09090909] ; [ 1.09090909 40.90909091],0
b4,1,0.901868,0.015203,[21 14] ; [27 17],[21.26582278 13.73417722] ; [26.73417722 17.26582278],0
s4,1,0.90438,0.014431,[ 6 29] ; [ 8 36],[ 6.20253165 28.79746835] ; [ 7.79746835 36.20253165],0
v2,1,0.926985,0.008398,[18 15] ; [23 20],[17.80263158 15.19736842] ; [23.19736842 19.80263158],0
r2,1,0.938777,0.005899,[18 14] ; [24 18],[18.16216216 13.83783784] ; [23.83783784 18.16216216],0
