Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,75.209127,[130   3] ; [31 36],[107.065  25.935] ; [53.935 13.065],1
a7,1,0.148063,2.092097,[103  32] ; [44 22],[98.73134328 36.26865672] ; [48.26865672 17.73134328],0
p3,1,0.165711,1.921324,[95 39] ; [41 26],[90.66666667 43.33333333] ; [45.33333333 21.66666667],0
n1,1,0.170904,1.875,[ 5 15] ; [5 5],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
n5,1,0.207674,1.587565,[115  19] ; [52 14],[111.89  22.11] ; [55.11 10.89],0
r1,1,0.249192,1.327828,[118  16] ; [55 12],[115.33333333  18.66666667] ; [57.66666667  9.33333333],0
u4,1,0.28015,1.16636,[  6 129] ; [ 1 66],[  4.67821782 130.32178218] ; [ 2.32178218 64.67821782],0
b4,1,0.283661,1.149468,[76 59] ; [43 24],[79.52970297 55.47029703] ; [39.47029703 27.52970297],0
p12,1,0.303306,1.059602,[ 24 111] ; [ 8 58],[ 21.49253731 113.50746269] ; [10.50746269 55.49253731],0
r3,1,0.307484,1.041451,[130   4] ; [63  4],[128.66666667   5.33333333] ; [64.33333333  2.66666667],0
s2,1,0.408987,0.681745,[79 53] ; [36 31],[76.28140704 55.71859296] ; [38.71859296 28.28140704],0
u2,1,0.461396,0.542505,[16  9] ; [14 12],[14.70588235 10.29411765] ; [15.29411765 10.70588235],0
v2,1,0.486997,0.483155,[113  22] ; [51 13],[111.25628141  23.74371859] ; [52.74371859 11.25628141],0
s7,1,0.539936,0.375657,[79 47] ; [36 26],[77.07446809 48.92553191] ; [37.92553191 24.07446809],0
s5,1,0.542227,0.371429,[62 68] ; [28 37],[60. 70.] ; [30. 35.],0
b3,1,0.543824,0.368499,[37 56] ; [16 19],[38.5078125 54.4921875] ; [14.4921875 20.5078125],0
b2,1,0.543824,0.368499,[37 56] ; [16 19],[38.5078125 54.4921875] ; [14.4921875 20.5078125],0
s3,1,0.548223,0.36051,[85 47] ; [39 26],[83.08629442 48.91370558] ; [40.91370558 24.08629442],0
s4,1,0.557404,0.344219,[ 18 115] ; [ 7 59],[ 16.70854271 116.29145729] ; [ 8.29145729 57.70854271],0
p6,1,0.618726,0.247663,[66 66] ; [36 31],[67.65829146 64.34170854] ; [34.34170854 32.65829146],0
r4,1,0.637889,0.221513,[129   6] ; [63  4],[128.31683168   6.68316832] ; [63.68316832  3.31683168],0
a8,1,0.64049,0.218101,[ 18 100] ; [ 8 55],[ 16.95027624 101.04972376] ; [ 9.04972376 53.95027624],0
p1,1,0.686273,0.163149,[ 21 113] ; [12 55],[ 22. 112.] ; [11. 56.],0
b5,1,0.72409,0.124608,[71 64] ; [37 30],[72.17821782 62.82178218] ; [35.82178218 31.17821782],0
n2,1,0.739332,0.110714,[18  3] ; [9 1],[18.29032258  2.70967742] ; [8.70967742 1.29032258],0
p5,1,0.752729,0.099252,[ 35 100] ; [16 51],[ 34.08415842 100.91584158] ; [16.91584158 50.08415842],0
p7,1,0.782109,0.076492,[112  20] ; [55 11],[111.33333333  20.66666667] ; [55.66666667 10.33333333],0
b1,1,0.865871,0.028529,[50 85] ; [24 43],[49.45544554 85.54455446] ; [24.54455446 42.45544554],0
s6,1,0.890843,0.018834,[91 39] ; [44 18],[91.40625 38.59375] ; [43.59375 18.40625],0
s1,1,0.978981,0.000694,[  4 131] ; [ 2 64],[  4.02985075 130.97014925] ; [ 1.97014925 64.02985075],0
r2,1,0.982636,0.000474,[126   6] ; [64  3],[126.03015075   5.96984925] ; [63.96984925  3.03015075],0
