Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-05,15.34508,[ 3 14] ; [43 18],[10.02564103  6.97435897] ; [35.97435897 25.02564103],1
n6,1,0.329548,0.950675,[14  3] ; [43 18],[12.42307692  4.57692308] ; [44.57692308 16.42307692],0
p9,1,0.422632,0.642985,[11  6] ; [44 15],[12.30263158  4.69736842] ; [42.69736842 16.30263158],0
p3,1,0.453632,0.56156,[ 5 12] ; [24 37],[ 6.32051282 10.67948718] ; [22.67948718 38.32051282],0
p12,1,0.4888,0.479168,[ 2 15] ; [ 4 56],[ 1.32467532 15.67532468] ; [ 4.67532468 55.32467532],0
v2,1,0.490202,0.476083,[8 8] ; [34 23],[9.20547945 6.79452055] ; [32.79452055 24.20547945],0
s3,1,0.507946,0.438297,[14  2] ; [49 12],[13.09090909  2.90909091] ; [49.90909091 11.09090909],0
b5,1,0.520225,0.413448,[10  7] ; [41 20],[11.11538462  5.88461538] ; [39.88461538 21.11538462],0
s6,1,0.523342,0.407302,[15  2] ; [49 11],[14.12987013  2.87012987] ; [49.87012987 10.12987013],0
p6,1,0.579899,0.306398,[ 6 11] ; [17 43],[ 5.07792208 11.92207792] ; [17.92207792 42.07792208],0
p4,1,0.586942,0.295145,[ 6 11] ; [26 35],[ 6.97435897 10.02564103] ; [25.02564103 35.97435897],0
n4,1,0.60789,0.263259,[10  7] ; [40 21],[10.8974359  6.1025641] ; [39.1025641 21.8974359],0
v4,1,0.61399,0.254406,[16  1] ; [55  6],[15.47435897  1.52564103] ; [55.52564103  5.47435897],0
b4,1,0.653887,0.201034,[9 8] ; [36 25],[9.80769231 7.19230769] ; [35.19230769 25.80769231],0
a8,1,0.66398,0.188725,[ 2 15] ; [ 5 55],[ 1.54545455 15.45454545] ; [ 5.45454545 54.54545455],0
n1,1,0.681225,0.16875,[1 2] ; [11 13],[1.33333333 1.66666667] ; [10.66666667 13.33333333],0
s5,1,0.70778,0.140504,[ 6 11] ; [23 34],[ 6.66216216 10.33783784] ; [22.33783784 34.66216216],0
a6,1,0.729037,0.119997,[10  7] ; [33 28],[9.37179487 7.62820513] ; [33.62820513 27.37179487],0
n3,1,0.7411,0.109162,[3 1] ; [16  8],[2.71428571 1.28571429] ; [16.28571429  7.71428571],0
r2,1,0.751483,0.100289,[16  1] ; [56  5],[15.69230769  1.30769231] ; [56.30769231  4.69230769],0
r4,1,0.754148,0.098078,[15  2] ; [52  9],[14.6025641  2.3974359] ; [52.3974359  8.6025641],0
u3,1,0.759463,0.09375,[5 3] ; [11  5],[5.33333333 2.66666667] ; [10.66666667  5.33333333],0
r1,1,0.821614,0.050836,[13  4] ; [45 16],[12.64102564  4.35897436] ; [45.35897436 15.64102564],0
v3,1,0.824807,0.049003,[ 7 10] ; [21 34],[ 6.61111111 10.38888889] ; [21.38888889 33.61111111],0
n2,1,0.850857,0.035354,[3 1] ; [19  5],[3.14285714 0.85714286] ; [18.85714286  5.14285714],0
p10,1,0.859362,0.031395,[12  5] ; [41 19],[11.7012987  5.2987013] ; [41.2987013 18.7012987],0
s4,1,0.900509,0.01563,[ 5 12] ; [17 44],[ 4.79487179 12.20512821] ; [17.20512821 43.79487179],0
s8,1,0.93255,0.007164,[9 8] ; [33 28],[9.15384615 7.84615385] ; [32.84615385 28.15384615],0
s7,1,0.940236,0.005621,[9 6] ; [33 23],[8.87323944 6.12676056] ; [33.12676056 22.87323944],0
v1,1,0.970604,0.001358,[10  7] ; [35 24],[10.06578947  6.93421053] ; [34.93421053 24.06578947],0
