Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.6e-05,15.21582,[13  7] ; [23 82],[ 5.76 14.24] ; [30.24 74.76],1
a2,1,0.495788,0.463942,[ 3 18] ; [22 84],[ 4.13385827 16.86614173] ; [20.86614173 85.13385827],0
a5,1,0.495991,0.463505,[11 10] ; [64 42],[12.4015748  8.5984252] ; [62.5984252 43.4015748],0
p9,1,0.497447,0.460378,[ 5 15] ; [34 70],[ 6.29032258 13.70967742] ; [32.70967742 71.29032258],0
n3,1,0.498404,0.458333,[7 4] ; [23 21],[6. 5.] ; [24. 20.],0
a3,1,0.537615,0.379978,[15  6] ; [67 37],[13.776  7.224] ; [68.224 35.776],0
b3,1,0.544633,0.36702,[5 6] ; [27 48],[4.09302326 6.90697674] ; [27.90697674 47.09302326],0
b2,1,0.544633,0.36702,[5 6] ; [27 48],[4.09302326 6.90697674] ; [27.90697674 47.09302326],0
p2,1,0.605774,0.266375,[11 10] ; [49 57],[ 9.92125984 11.07874016] ; [50.07874016 55.92125984],0
d3,1,0.653494,0.201524,[13  8] ; [60 46],[12.07086614  8.92913386] ; [60.92913386 45.07086614],0
n5,1,0.659379,0.194278,[12  9] ; [55 51],[11.07874016  9.92125984] ; [55.92125984 50.07874016],0
s8,1,0.716651,0.131724,[ 4 17] ; [24 82],[ 4.62992126 16.37007874] ; [23.37007874 82.62992126],0
d2,1,0.779909,0.078086,[10 11] ; [53 51],[10.584 10.416] ; [52.416 51.584],0
n4,1,0.844881,0.03828,[13  8] ; [68 38],[13.39370079  7.60629921] ; [67.60629921 38.39370079],0
n1,1,0.865534,0.028674,[4 7] ; [18 28],[4.24561404 6.75438596] ; [17.75438596 28.24561404],0
v4,1,0.872653,0.025693,[16  5] ; [79 27],[15.70866142  5.29133858] ; [79.29133858 26.70866142],0
r2,1,0.88492,0.020948,[16  3] ; [87 18],[15.78225806  3.21774194] ; [87.21774194 17.78225806],0
p1,1,0.887758,0.019921,[ 2 19] ; [ 9 96],[ 1.83333333 19.16666667] ; [ 9.16666667 95.83333333],0
b4,1,0.895867,0.017131,[13  8] ; [64 42],[12.73228346  8.26771654] ; [64.26771654 41.73228346],0
p6,1,0.919948,0.0101,[ 3 18] ; [14 90],[ 2.856 18.144] ; [14.144 89.856],0
b1,1,0.96697,0.001715,[10 11] ; [51 55],[10.08661417 10.91338583] ; [50.91338583 55.08661417],0
r4,1,0.975245,0.000963,[13  8] ; [66 40],[13.06299213  7.93700787] ; [65.93700787 40.06299213],0
a1,1,0.98974,0.000165,[ 2 19] ; [10 96],[ 1.98425197 19.01574803] ; [10.01574803 95.98425197],0
n2,1,0.990568,0.00014,[6 5] ; [25 21],[5.98245614 5.01754386] ; [25.01754386 20.98245614],0
