Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.845692,[165  69] ; [ 84 131],[129.76837416 104.23162584] ; [119.23162584  95.76837416],1
a1,1,0.195123,1.678503,[ 12 231] ; [  6 221],[  9.30638298 233.69361702] ; [  8.69361702 218.30638298],0
a5,1,0.198152,1.655946,[178  65] ; [154  73],[171.65106383  71.34893617] ; [160.34893617  66.65106383],0
v4,1,0.244834,1.352543,[231  11] ; [211  16],[228.06823028  13.93176972] ; [213.93176972  13.06823028],0
u1,1,0.268652,1.223619,[ 41 202] ; [ 30 197],[ 36.70851064 206.29148936] ; [ 34.29148936 192.70851064],0
u2,1,0.27496,1.191831,[42 29] ; [35 35],[38.77304965 32.22695035] ; [38.22695035 31.77304965],0
s3,1,0.283393,1.150744,[108 133] ; [112 113],[113.77682403 127.22317597] ; [106.22317597 118.77682403],0
b4,1,0.46108,0.543272,[142 101] ; [125 102],[138.04468085 104.95531915] ; [128.95531915  98.04468085],0
d2,1,0.48075,0.497161,[110 133] ; [ 95 131],[106.21535181 136.78464819] ; [ 98.78464819 127.21535181],0
d5,1,0.509403,0.435293,[194  49] ; [174  51],[191.07692308  51.92307692] ; [176.92307692  48.07692308],0
a4,1,0.513899,0.426119,[107 134] ; [ 94 133],[103.50641026 137.49358974] ; [ 97.49358974 129.50641026],0
n1,1,0.51692,0.420035,[17 25] ; [23 44],[15.41284404 26.58715596] ; [24.58715596 42.41284404],0
d3,1,0.551776,0.354145,[163  80] ; [156  68],[165.98929336  77.01070664] ; [153.01070664  70.98929336],0
a3,1,0.598932,0.27661,[171  70] ; [156  71],[168.39102564  72.60897436] ; [158.60897436  68.39102564],0
d1,1,0.628465,0.234148,[136 107] ; [122 105],[133.39148936 109.60851064] ; [124.60851064 102.39148936],0
n3,1,0.632783,0.228305,[32 10] ; [49 19],[30.92727273 11.07272727] ; [50.07272727 17.92727273],0
s1,1,0.678373,0.171964,[  6 236] ; [  7 218],[  6.7366167 235.2633833] ; [  6.2633833 218.7366167],0
a6,1,0.678693,0.171601,[172  71] ; [156  70],[169.9445629  73.0554371] ; [158.0554371  67.9445629],0
r3,1,0.711309,0.136973,[230  12] ; [214  13],[229.10021322  12.89978678] ; [214.89978678  12.10021322],0
a2,1,0.777172,0.080092,[ 54 189] ; [ 48 179],[ 52.73617021 190.26382979] ; [ 49.26382979 177.73617021],0
a7,1,0.814446,0.055081,[179  63] ; [165  61],[177.88034188  64.11965812] ; [166.11965812  59.88034188],0
d4,1,0.865563,0.028662,[192  51] ; [180  46],[192.74200426  50.25799574] ; [179.25799574  46.74200426],0
b1,1,0.8991,0.016078,[ 87 156] ; [ 80 147],[ 86.34255319 156.65744681] ; [ 80.65744681 146.34255319],0
a8,1,0.936815,0.006284,[ 31 185] ; [ 30 183],[ 30.71328671 185.28671329] ; [ 30.28671329 182.71328671],0
s2,1,0.940319,0.005605,[ 93 149] ; [ 88 139],[ 93.39445629 148.60554371] ; [ 87.60554371 139.39445629],0
n2,1,0.943093,0.005096,[30 12] ; [49 19],[30.16363636 11.83636364] ; [48.83636364 19.16363636],0
