Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.240885,[31 73] ; [20  5],[41.11627907 62.88372093] ; [ 9.88372093 15.11627907],1
s5,1,0.260395,1.266658,[16 88] ; [ 6 18],[17.875 86.125] ; [ 4.125 19.875],0
u1,1,0.261418,1.261231,[12 92] ; [ 5 20],[13.70542636 90.29457364] ; [ 3.29457364 21.70542636],0
p5,1,0.2733,1.200111,[  1 102] ; [ 1 24],[  1.609375 101.390625] ; [ 0.390625 24.609375],0
n4,1,0.274058,1.196324,[62 41] ; [18  7],[64.375 38.625] ; [15.625  9.375],0
p8,1,0.31135,1.024939,[23 80] ; [ 8 17],[24.9453125 78.0546875] ; [ 6.0546875 18.9453125],0
d4,1,0.322942,0.976996,[67 35] ; [19  6],[69.07086614 32.92913386] ; [16.92913386  8.07086614],0
b1,1,0.324875,0.969218,[51 53] ; [15 10],[53.20930233 50.79069767] ; [12.79069767 12.20930233],0
r1,1,0.3833,0.760092,[69 34] ; [19  6],[70.8125 32.1875] ; [17.1875  7.8125],0
a3,1,0.419753,0.651006,[61 42] ; [17  8],[62.765625 40.234375] ; [15.234375  9.765625],0
n1,1,0.466581,0.53006,[16 30] ; [3 3],[16.80769231 29.19230769] ; [2.19230769 3.80769231],0
p11,1,0.476821,0.506125,[50 54] ; [14 11],[51.59689922 52.40310078] ; [12.40310078 12.59689922],0
d2,1,0.531582,0.391366,[50 52] ; [14 11],[51.4015748 50.5984252] ; [12.5984252 12.4015748],0
s4,1,0.557757,0.343604,[13 90] ; [ 2 22],[12.16535433 90.83464567] ; [ 2.83464567 21.16535433],0
a7,1,0.636095,0.223886,[60 42] ; [16  9],[61.03937008 40.96062992] ; [14.96062992 10.03937008],0
a1,1,0.677967,0.172424,[ 6 98] ; [ 2 23],[ 6.4496124 97.5503876] ; [ 1.5503876 23.4496124],0
d3,1,0.701558,0.146856,[58 46] ; [15 10],[58.85271318 45.14728682] ; [14.14728682 10.85271318],0
v1,1,0.7561,0.096476,[30 74] ; [ 8 17],[30.63565891 73.36434109] ; [ 7.36434109 17.63565891],0
a5,1,0.800252,0.064019,[57 47] ; [13 12],[56.43410853 47.56589147] ; [13.56589147 11.43410853],0
a8,1,0.805533,0.060611,[10 86] ; [ 2 21],[ 9.68067227 86.31932773] ; [ 2.31932773 20.68067227],0
n3,1,0.850814,0.035374,[24 21] ; [4 3],[24.23076923 20.76923077] ; [3.76923077 3.23076923],0
a2,1,0.87596,0.024365,[18 86] ; [ 4 21],[17.73643411 86.26356589] ; [ 4.26356589 20.73643411],0
b5,1,0.936599,0.006328,[55 49] ; [13 12],[54.82170543 49.17829457] ; [13.17829457 11.82170543],0
