Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,159.900299,[ 96 258] ; [234  72],[177. 177.] ; [153. 153.],1
b2,1,0.011139,6.442997,[ 68 130] ; [102 117],[ 80.71942446 117.28057554] ; [ 89.28057554 129.71942446],0
n6,1,0.012737,6.205239,[300  66] ; [284  36],[311.58017493  54.41982507] ; [272.41982507  47.58017493],0
v2,1,0.030013,4.708562,[197 159] ; [196 112],[210.70481928 145.29518072] ; [182.29518072 125.70481928],0
u2,1,0.031127,4.645932,[65 47] ; [42 14],[71.33333333 40.66666667] ; [35.66666667 20.33333333],0
a8,1,0.038591,4.278774,[ 40 296] ; [ 52 241],[ 49.14467409 286.85532591] ; [ 42.85532591 250.14467409],0
r1,1,0.042006,4.134969,[308  58] ; [288  34],[317.05813953  48.94186047] ; [278.94186047  43.05813953],0
u3,1,0.044053,4.05452,[67 45] ; [43 14],[72.89940828 39.10059172] ; [37.10059172 19.89940828],0
a2,1,0.054712,3.690844,[ 87 281] ; [ 97 225],[ 98.13333333 269.86666667] ; [ 85.86666667 236.13333333],0
p1,1,0.071624,3.245406,[ 21 344] ; [ 30 290],[ 27.17518248 337.82481752] ; [ 23.82481752 296.17518248],0
s4,1,0.082907,3.006965,[ 52 309] ; [ 62 258],[ 60.43171806 300.56828194] ; [ 53.56828194 266.43171806],0
a7,1,0.119086,2.429305,[286  82] ; [233  88],[277.20174165  90.79825835] ; [241.79825835  79.20174165],0
b1,1,0.130012,2.292359,[128 240] ; [130 192],[137.6 230.4] ; [120.4 201.6],0
p11,1,0.158036,1.992915,[287  81] ; [265  57],[294.4  73.6] ; [257.6  64.4],0
a6,1,0.1806,1.792678,[266 102] ; [217 104],[257.97387518 110.02612482] ; [225.02612482  95.97387518],0
v4,1,0.181293,1.786989,[355  13] ; [316   6],[357.86666667  10.13333333] ; [313.13333333   8.86666667],0
a1,1,0.20228,1.625837,[ 15 353] ; [ 20 302],[ 18.66666667 349.33333333] ; [ 16.33333333 305.66666667],0
a4,1,0.267325,1.230424,[173 195] ; [165 157],[180.26666667 187.73333333] ; [157.73333333 164.26666667],0
n1,1,0.275527,1.189023,[28 51] ; [28 35],[31.15492958 47.84507042] ; [24.84507042 38.15492958],0
n2,1,0.314246,1.012747,[61 19] ; [44 20],[58.33333333 21.66666667] ; [46.66666667 17.33333333],0
s1,1,0.317585,0.998866,[  8 355] ; [ 11 306],[ 10.14264706 352.85735294] ; [  8.85735294 308.14264706],0
n3,1,0.405381,0.692308,[60 20] ; [44 20],[57.77777778 22.22222222] ; [46.22222222 17.77777778],0
b4,1,0.519177,0.415528,[226 142] ; [190 132],[221.86666667 146.13333333] ; [194.13333333 127.86666667],0
p2,1,0.581947,0.303097,[306  59] ; [274  47],[308.60058309  56.39941691] ; [271.39941691  49.60058309],0
r2,1,0.773952,0.082489,[358   8] ; [314   6],[358.53061224   7.46938776] ; [313.46938776   6.53061224],0
d3,1,0.797049,0.066135,[285  83] ; [252  70],[286.4  81.6] ; [250.6  71.4],0
r3,1,0.838242,0.041674,[361   5] ; [317   5],[360.68023256   5.31976744] ; [317.31976744   4.68023256],0
b5,1,1.0,0.0,[224 144] ; [196 126],[224. 144.] ; [196. 126.],0
