Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.797096,[101  31] ; [22 31],[87.76216216 44.23783784] ; [35.23783784 17.76216216],1
u3,1,0.308926,1.035264,[25 16] ; [11 12],[23.0625 17.9375] ; [12.9375 10.0625],0
s2,1,0.314595,1.011284,[ 28 103] ; [15 38],[ 30.61413043 100.38586957] ; [12.38586957 40.61413043],0
b2,1,0.401801,0.702931,[30 50] ; [ 9 22],[28.10810811 51.89189189] ; [10.89189189 20.10810811],0
b3,1,0.401801,0.702931,[30 50] ; [ 9 22],[28.10810811 51.89189189] ; [10.89189189 20.10810811],0
p10,1,0.436629,0.605125,[108  21] ; [41 11],[106.19337017  22.80662983] ; [42.80662983  9.19337017],0
p5,1,0.447718,0.576423,[ 18 113] ; [ 5 47],[ 16.46448087 114.53551913] ; [ 6.53551913 45.46448087],0
n4,1,0.493131,0.469688,[101  31] ; [38 15],[99.17837838 32.82162162] ; [39.82162162 13.17837838],0
p12,1,0.546401,0.363804,[ 11 120] ; [ 3 49],[ 10.02185792 120.97814208] ; [ 3.97814208 48.02185792],0
p6,1,0.60119,0.273204,[52 78] ; [19 34],[50.43715847 79.56284153] ; [20.56284153 32.43715847],0
s7,1,0.682417,0.167418,[49 74] ; [19 33],[47.79428571 75.20571429] ; [20.20571429 31.79428571],0
s8,1,0.70521,0.143108,[48 83] ; [21 32],[49.125 81.875] ; [19.875 33.125],0
a5,1,0.707217,0.141073,[103  29] ; [40 13],[102.03243243  29.96756757] ; [40.96756757 12.03243243],0
p11,1,0.722905,0.125727,[98 34] ; [38 15],[97.03783784 34.96216216] ; [38.96216216 14.03783784],0
p9,1,0.733169,0.116222,[111  20] ; [43  9],[110.24043716  20.75956284] ; [43.75956284  8.24043716],0
n3,1,0.739167,0.11086,[24 12] ; [8 5],[23.51020408 12.48979592] ; [8.48979592 4.51020408],0
p1,1,0.749956,0.101568,[  6 126] ; [ 3 50],[  6.42162162 125.57837838] ; [ 2.57837838 50.42162162],0
v3,1,0.81012,0.05773,[48 81] ; [18 33],[47.3 81.7] ; [18.7 32.3],0
n5,1,0.819409,0.052123,[96 34] ; [40 13],[96.61202186 33.38797814] ; [39.38797814 13.61202186],0
b4,1,0.835297,0.043228,[75 57] ; [31 22],[75.63243243 56.36756757] ; [30.36756757 22.63243243],0
n1,1,0.844579,0.038431,[11 24] ; [ 4 10],[10.71428571 24.28571429] ; [4.28571429 9.71428571],0
p3,1,0.85313,0.034272,[68 64] ; [26 26],[67.43478261 64.56521739] ; [26.56521739 25.43478261],0
a1,1,0.860776,0.03076,[  9 123] ; [ 4 49],[  9.27567568 122.72432432] ; [ 3.72432432 49.27567568],0
n6,1,0.902902,0.014883,[113  19] ; [45  8],[112.73513514  19.26486486] ; [45.26486486  7.73513514],0
d1,1,0.908724,0.013144,[71 61] ; [29 24],[71.35135135 60.64864865] ; [28.64864865 24.35135135],0
a4,1,0.916651,0.010952,[53 78] ; [21 32],[52.68478261 78.31521739] ; [21.31521739 31.68478261],0
