Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.010934,6.476,[655 149] ; [9 7],[651.04390244 152.95609756] ; [12.95609756  3.04390244],0
n4,1,0.327086,0.9604,[621 184] ; [14  2],[622.62484775 182.37515225] ; [12.37515225  3.62484775],0
n6,1,0.337154,0.921223,[684 119] ; [15  1],[685.34432234 117.65567766] ; [13.65567766  2.34432234],0
s6,1,0.340573,0.908275,[541 249] ; [12  3],[542.69565217 247.30434783] ; [10.30434783  4.69565217],0
n2,1,0.343868,0.895956,[126  42] ; [8 1],[127.18644068  40.81355932] ; [6.81355932 2.18644068],0
b2,1,0.35634,0.850751,[185 301] ; [3 9],[183.46987952 302.53012048] ; [4.53012048 7.46987952],0
b3,1,0.35634,0.850751,[185 301] ; [3 9],[183.46987952 302.53012048] ; [4.53012048 7.46987952],0
p5,1,0.362621,0.828794,[ 91 707] ; [ 3 13],[ 92.15233415 705.84766585] ; [ 1.84766585 14.15233415],0
v1,1,0.372946,0.793826,[433 355] ; [7 9],[431.24378109 356.75621891] ; [8.75621891 7.24378109],0
d2,1,0.377636,0.778382,[391 413] ; [ 6 10],[389.25365854 414.74634146] ; [7.74634146 8.25365854],0
p4,1,0.39414,0.726133,[483 315] ; [8 8],[481.34889435 316.65110565] ; [9.65110565 6.34889435],0
u2,1,0.413288,0.669321,[134  96] ; [2 3],[133.10638298  96.89361702] ; [2.89361702 2.10638298],0
d1,1,0.460807,0.543934,[478 330] ; [8 8],[476.5631068 331.4368932] ; [9.4368932 6.5631068],0
b5,1,0.523249,0.407484,[492 316] ; [11  5],[493.23300971 314.76699029] ; [9.76699029 6.23300971],0
p12,1,0.530318,0.393782,[ 65 733] ; [ 2 14],[ 65.68304668 732.31695332] ; [ 1.31695332 14.68304668],0
s8,1,0.54032,0.374946,[364 438] ; [8 7],[365.17013464 436.82986536] ; [6.82986536 8.17013464],0
v3,1,0.542681,0.370593,[318 455] ; [ 5 10],[316.85152284 456.14847716] ; [6.14847716 8.85152284],0
p9,1,0.571388,0.320366,[676 117] ; [12  3],[675.22772277 117.77227723] ; [12.77227723  2.22772277],0
a5,1,0.603625,0.269564,[601 206] ; [11  5],[600.10206561 206.89793439] ; [11.89793439  4.10206561],0
s3,1,0.618328,0.248224,[451 345] ; [7 7],[450.08395062 345.91604938] ; [7.91604938 6.08395062],0
s7,1,0.636916,0.222798,[379 391] ; [6 8],[378.125 391.875] ; [6.875 7.125],0
r1,1,0.638065,0.221282,[687 117] ; [13  3],[686.34146341 117.65853659] ; [13.65853659  2.34146341],0
a7,1,0.650357,0.205451,[594 211] ; [11  5],[593.20950061 211.79049939] ; [11.79049939  4.20950061],0
p3,1,0.655779,0.198692,[406 396] ; [9 7],[406.88264059 395.11735941] ; [8.11735941 7.88264059],0
a1,1,0.731418,0.117814,[ 36 772] ; [ 1 15],[ 36.2815534 771.7184466] ; [ 0.7184466 15.2815534],0
s2,1,0.740043,0.110089,[416 383] ; [9 7],[416.65644172 382.34355828] ; [8.34355828 7.65644172],0
s4,1,0.817687,0.05314,[132 664] ; [ 3 13],[132.33990148 663.66009852] ; [ 2.66009852 13.33990148],0
a3,1,0.871418,0.026198,[575 230] ; [11  4],[575.2804878 229.7195122] ; [10.7195122  4.2804878],0
p6,1,0.970023,0.001412,[293 498] ; [ 6 10],[293.07187113 497.92812887] ; [ 5.92812887 10.07187113],0
n3,1,0.977005,0.000831,[126  41] ; [6 2],[125.96571429  41.03428571] ; [6.03428571 1.96571429],0
