Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7.8e-05,15.617692,[19 26] ; [211  83],[30.53097345 14.46902655] ; [199.46902655  94.53097345],1
d2,1,0.618882,0.247442,[24 25] ; [160 143],[25.61363636 23.38636364] ; [158.38636364 144.61363636],0
v2,1,0.620135,0.245677,[32 17] ; [178 111],[30.44378698 18.55621302] ; [179.55621302 109.44378698],0
d5,1,0.628638,0.233912,[39 10] ; [249  53],[40.20512821  8.79487179] ; [247.79487179  54.20512821],0
b4,1,0.636607,0.223207,[27 22] ; [179 126],[28.51412429 20.48587571] ; [177.48587571 127.51412429],0
r3,1,0.675113,0.175679,[47  2] ; [295   9],[47.47308782  1.52691218] ; [294.52691218   9.47308782],0
p8,1,0.765261,0.089149,[24 24] ; [158 144],[24.96 23.04] ; [157.04 144.96],0
d3,1,0.783075,0.075798,[33 16] ; [210  93],[33.82670455 15.17329545] ; [209.17329545  93.82670455],0
s1,1,0.881516,0.022215,[ 2 46] ; [ 14 287],[ 2.20057307 45.79942693] ; [ 13.79942693 287.20057307],0
b3,1,0.888574,0.01963,[11 16] ; [ 86 118],[11.33766234 15.66233766] ; [ 85.66233766 118.33766234],0
b2,1,0.888574,0.01963,[11 16] ; [ 86 118],[11.33766234 15.66233766] ; [ 85.66233766 118.33766234],0
a5,1,0.892692,0.018198,[37 12] ; [233  72],[37.37288136 11.62711864] ; [232.62711864  72.37288136],0
u3,1,0.893231,0.018014,[10  6] ; [45 25],[10.23255814  5.76744186] ; [44.76744186 25.23255814],0
v1,1,0.921521,0.009706,[30 19] ; [176 115],[29.68823529 19.31176471] ; [176.31176471 114.68823529],0
a4,1,0.929731,0.007776,[22 27] ; [139 166],[22.28531073 26.71468927] ; [138.71468927 166.28531073],0
b1,1,0.947892,0.004271,[20 29] ; [126 179],[20.20903955 28.79096045] ; [125.79096045 179.20903955],0
n6,1,0.963432,0.002102,[41  7] ; [257  43],[41.10344828  6.89655172] ; [256.89655172  43.10344828],0
u1,1,0.968285,0.001581,[10 39] ; [ 63 242],[10.10451977 38.89548023] ; [ 62.89548023 242.10451977],0
b5,1,0.983053,0.000451,[29 20] ; [181 124],[29.06779661 19.93220339] ; [180.93220339 124.06779661],0
