Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.2e-05,19.207263,[332  36] ; [35 16],[322.32935561  45.67064439] ; [44.67064439  6.32935561],1
a1,1,0.520754,0.4124,[ 23 349] ; [ 2 49],[ 21.9858156 350.0141844] ; [ 3.0141844 47.9858156],0
u3,1,0.565113,0.330928,[60 26] ; [10  6],[59.01960784 26.98039216] ; [10.98039216  5.01960784],0
n3,1,0.590795,0.289105,[55 19] ; [9 2],[55.71764706 18.28235294] ; [8.28235294 2.71764706],0
p10,1,0.603721,0.26942,[319  49] ; [42  8],[317.81818182  50.18181818] ; [43.18181818  6.81818182],0
b1,1,0.620516,0.245143,[147 225] ; [22 29],[148.62411348 223.37588652] ; [20.37588652 30.62411348],0
u2,1,0.621062,0.244378,[54 32] ; [9 7],[53.11764706 32.88235294] ; [9.88235294 6.11764706],0
v2,1,0.68632,0.163098,[206 148] ; [30 19],[207.30521092 146.69478908] ; [28.69478908 20.30521092],0
b4,1,0.70116,0.147268,[222 150] ; [29 22],[220.73758865 151.26241135] ; [30.26241135 20.73758865],0
a7,1,0.828911,0.046699,[279  91] ; [37 13],[278.38095238  91.61904762] ; [37.61904762 12.38095238],0
n4,1,0.865018,0.028897,[294  76] ; [40 11],[293.5391924  76.4608076] ; [40.4608076 10.5391924],0
p7,1,0.871795,0.026043,[238 118] ; [34 16],[238.50246305 117.49753695] ; [33.49753695 16.50246305],0
v3,1,0.911031,0.012485,[156 200] ; [21 26],[156.3573201 199.6426799] ; [20.6426799 26.3573201],0
r3,1,0.925736,0.008688,[362   8] ; [50  1],[362.09026128   7.90973872] ; [49.90973872  1.09026128],0
n1,1,0.931967,0.007288,[34 40] ; [4 5],[33.87951807 40.12048193] ; [4.12048193 4.87951807],0
p2,1,0.968926,0.001518,[310  60] ; [42  8],[310.0952381  59.9047619] ; [41.9047619  8.0952381],0
n2,1,0.98407,0.000399,[59 15] ; [8 2],[59.02380952 14.97619048] ; [7.97619048 2.02380952],0
