Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8e-06,20.048711,[54 22] ; [ 7 23],[43.73584906 32.26415094] ; [17.26415094 12.73584906],1
d4,1,0.609808,0.260455,[60 16] ; [25  5],[60.94339623 15.05660377] ; [24.05660377  5.94339623],0
d3,1,0.615849,0.251745,[52 24] ; [19 11],[50.90566038 25.09433962] ; [20.09433962  9.90566038],0
a6,1,0.657699,0.196331,[54 22] ; [20 10],[53.05660377 22.94339623] ; [20.94339623  9.05660377],0
a1,1,0.672106,0.179148,[ 7 69] ; [ 2 28],[ 6.45283019 69.54716981] ; [ 2.54716981 27.45283019],0
b1,1,0.715443,0.132901,[46 30] ; [17 13],[45.16981132 30.83018868] ; [17.83018868 12.16981132],0
s2,1,0.725195,0.123569,[26 49] ; [ 9 20],[25.24038462 49.75961538] ; [ 9.75961538 19.24038462],0
a4,1,0.750133,0.10142,[42 32] ; [16 14],[41.26923077 32.73076923] ; [16.73076923 13.26923077],0
d1,1,0.810767,0.05733,[45 31] ; [17 13],[44.45283019 31.54716981] ; [17.54716981 12.45283019],0
p3,1,0.822669,0.050227,[25 50] ; [ 9 20],[24.51923077 50.48076923] ; [ 9.48076923 19.51923077],0
d5,1,0.851532,0.035031,[62 14] ; [24  6],[61.66037736 14.33962264] ; [24.33962264  5.66037736],0
n2,1,0.865053,0.028881,[18 10] ; [8 5],[17.75609756 10.24390244] ; [8.24390244 4.75609756],0
s4,1,0.870035,0.02677,[ 9 65] ; [ 4 26],[ 9.25 64.75] ; [ 3.75 26.25],0
b4,1,0.908261,0.013278,[44 32] ; [17 13],[43.73584906 32.26415094] ; [17.26415094 12.73584906],0
n3,1,0.970323,0.001384,[15 11] ; [7 5],[15.05263158 10.94736842] ; [6.94736842 5.05263158],0
d2,1,1.0,0.0,[45 30] ; [18 12],[45. 30.] ; [18. 12.],0
