Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,7e-06,20.324128,[24  5] ; [ 5 19],[15.86792453 13.13207547] ; [13.13207547 10.86792453],1
s6,1,0.386152,0.751024,[ 8 21] ; [ 4 19],[ 6.69230769 22.30769231] ; [ 5.30769231 17.69230769],0
a2,1,0.396679,0.718369,[ 3 26] ; [ 1 23],[ 2.18867925 26.81132075] ; [ 1.81132075 22.18867925],0
p10,1,0.415641,0.662606,[12 17] ; [ 7 16],[10.59615385 18.40384615] ; [ 8.40384615 14.59615385],0
p5,1,0.420229,0.649675,[ 3 26] ; [ 1 22],[ 2.23076923 26.76923077] ; [ 1.76923077 21.23076923],0
r4,1,0.42928,0.624771,[ 6 23] ; [ 3 21],[ 4.9245283 24.0754717] ; [ 4.0754717 19.9245283],0
n6,1,0.438039,0.601414,[17 11] ; [12 12],[15.61538462 12.38461538] ; [13.38461538 10.61538462],0
n1,1,0.490644,0.475113,[ 6 10] ; [7 7],[6.93333333 9.06666667] ; [6.06666667 7.93333333],0
p1,1,0.498634,0.457843,[ 3 26] ; [ 4 20],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
n5,1,0.569519,0.323489,[21  8] ; [19  5],[21.88679245  7.11320755] ; [18.11320755  5.88679245],0
p3,1,0.569519,0.323489,[ 8 21] ; [ 5 19],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
r1,1,0.589953,0.290417,[13 16] ; [ 9 15],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
b3,1,0.647901,0.208556,[ 8 14] ; [ 5 12],[ 7.33333333 14.66666667] ; [ 5.66666667 11.33333333],0
b2,1,0.647901,0.208556,[ 8 14] ; [ 5 12],[ 7.33333333 14.66666667] ; [ 5.66666667 11.33333333],0
p9,1,0.668854,0.182945,[11 17] ; [ 7 14],[10.28571429 17.71428571] ; [ 7.71428571 13.28571429],0
p8,1,0.693329,0.155506,[ 8 21] ; [ 5 17],[ 7.39215686 21.60784314] ; [ 5.60784314 16.39215686],0
s4,1,0.70898,0.139298,[ 6 23] ; [ 6 18],[ 6.56603774 22.43396226] ; [ 5.43396226 18.56603774],0
n2,1,0.732105,0.117188,[7 9] ; [7 7],[7.46666667 8.53333333] ; [6.53333333 7.46666667],0
s8,1,0.76438,0.089841,[ 6 23] ; [ 4 19],[ 5.57692308 23.42307692] ; [ 4.42307692 18.57692308],0
s1,1,0.803069,0.062189,[ 3 26] ; [ 2 22],[ 2.73584906 26.26415094] ; [ 2.26415094 21.73584906],0
p4,1,0.816684,0.053737,[ 9 19] ; [ 7 17],[ 8.61538462 19.38461538] ; [ 7.38461538 16.61538462],0
n4,1,0.85835,0.031853,[20  9] ; [16  8],[19.69811321  9.30188679] ; [16.30188679  7.69811321],0
b5,1,0.859265,0.031439,[14 15] ; [11 13],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
p7,1,0.884458,0.021118,[ 8 20] ; [ 7 16],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
a1,1,0.889921,0.019156,[ 4 25] ; [ 3 21],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
s3,1,0.895926,0.017111,[ 9 19] ; [ 7 16],[ 8.78431373 19.21568627] ; [ 7.21568627 15.78431373],0
s5,1,0.909933,0.012797,[ 5 23] ; [ 4 20],[ 4.84615385 23.15384615] ; [ 4.15384615 19.84615385],0
a8,1,0.929421,0.007845,[ 1 25] ; [ 1 22],[ 1.06122449 24.93877551] ; [ 0.93877551 22.06122449],0
b1,1,0.941631,0.005361,[16 13] ; [13 11],[15.86792453 13.13207547] ; [13.13207547 10.86792453],0
s2,1,0.955765,0.003077,[ 5 24] ; [ 4 20],[ 4.9245283 24.0754717] ; [ 4.0754717 19.9245283],0
n3,1,0.957675,0.002817,[ 6 10] ; [5 8],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
s7,1,0.977089,0.000825,[ 6 20] ; [ 5 17],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
