Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9.8e-05,15.171804,[ 4 32] ; [13  9],[10.55172414 25.44827586] ; [ 6.44827586 15.55172414],1
b5,1,0.297377,1.08592,[13 23] ; [11 11],[14.89655172 21.10344828] ; [ 9.10344828 12.89655172],0
r1,1,0.297377,1.08592,[13 23] ; [11 11],[14.89655172 21.10344828] ; [ 9.10344828 12.89655172],0
n3,1,0.340943,0.906883,[ 6 12] ; [7 7],[ 7.3125 10.6875] ; [5.6875 8.3125],0
u3,1,0.352704,0.863705,[ 3 12] ; [4 7],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
v2,1,0.367649,0.811594,[ 5 30] ; [ 5 16],[ 6.25 28.75] ; [ 3.75 17.25],0
a3,1,0.384929,0.754902,[21 13] ; [11 11],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
d5,1,0.407048,0.687407,[22 14] ; [11 11],[20.48275862 15.51724138] ; [12.51724138  9.48275862],0
v3,1,0.46392,0.53642,[ 8 28] ; [ 3 18],[ 6.94736842 29.05263158] ; [ 4.05263158 16.94736842],0
s8,1,0.479962,0.49895,[ 3 33] ; [ 3 18],[ 3.78947368 32.21052632] ; [ 2.21052632 18.78947368],0
r2,1,0.514005,0.425906,[23 11] ; [13  9],[21.85714286 12.14285714] ; [14.14285714  7.85714286],0
d4,1,0.535782,0.383413,[21 15] ; [11 11],[19.86206897 16.13793103] ; [12.13793103  9.86206897],0
d3,1,0.535782,0.383413,[15 21] ; [11 11],[16.13793103 19.86206897] ; [ 9.86206897 12.13793103],0
p1,1,0.586267,0.296211,[ 5 31] ; [ 2 20],[ 4.34482759 31.65517241] ; [ 2.65517241 19.34482759],0
a5,1,0.588349,0.292929,[19 17] ; [10 12],[18. 18.] ; [11. 11.],0
b4,1,0.622283,0.242672,[22 14] ; [12 10],[21.10344828 14.89655172] ; [12.89655172  9.10344828],0
u1,1,0.720351,0.128157,[ 1 35] ; [ 1 21],[ 1.24137931 34.75862069] ; [ 0.75862069 21.24137931],0
r4,1,0.774534,0.082053,[ 4 32] ; [ 3 19],[ 4.34482759 31.65517241] ; [ 2.65517241 19.34482759],0
n2,1,0.881162,0.022349,[10  9] ; [7 7],[9.78787879 9.21212121] ; [7.21212121 6.78787879],0
