Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.254146,[19  3] ; [32 69],[ 9.12195122 12.87804878] ; [41.87804878 59.12195122],1
s1,1,0.722202,0.126393,[ 1 20] ; [ 7 95],[ 1.36585366 19.63414634] ; [ 6.63414634 95.36585366],0
n6,1,0.777688,0.079712,[14  8] ; [61 40],[13.41463415  8.58536585] ; [61.58536585 39.41463415],0
d1,1,0.783096,0.075783,[ 9 13] ; [45 57],[ 9.58064516 12.41935484] ; [44.41935484 57.58064516],0
s5,1,0.853943,0.033889,[ 3 17] ; [17 85],[ 3.27868852 16.72131148] ; [16.72131148 85.27868852],0
d2,1,0.865048,0.028884,[11 11] ; [48 52],[10.63934426 11.36065574] ; [48.36065574 51.63934426],0
d4,1,0.866611,0.028212,[15  7] ; [70 30],[15.32786885  6.67213115] ; [69.67213115 30.32786885],0
r2,1,0.894237,0.017674,[18  4] ; [83 17],[18.21311475  3.78688525] ; [82.78688525 17.21311475],0
b2,1,0.903988,0.01455,[ 4 10] ; [17 46],[ 3.81818182 10.18181818] ; [17.18181818 45.81818182],0
b3,1,0.903988,0.01455,[ 4 10] ; [17 46],[ 3.81818182 10.18181818] ; [17.18181818 45.81818182],0
u3,1,0.947543,0.004329,[6 6] ; [24 23],[6.10169492 5.89830508] ; [23.89830508 23.10169492],0
p10,1,0.958683,0.002684,[ 6 16] ; [27 74],[ 5.90243902 16.09756098] ; [27.09756098 73.90243902],0
v2,1,0.963178,0.002131,[ 7 15] ; [31 68],[ 6.90909091 15.09090909] ; [31.09090909 67.90909091],0
p1,1,0.978609,0.000719,[ 2 20] ; [ 9 92],[ 1.96747967 20.03252033] ; [ 9.03252033 91.96747967],0
