Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.8e-05,15.870685,[ 7 17] ; [40 12],[14.84210526  9.15789474] ; [32.15789474 19.84210526],1
v3,1,0.637983,0.22139,[ 6 17] ; [11 41],[ 5.21333333 17.78666667] ; [11.78666667 40.21333333],0
a7,1,0.677484,0.172972,[11 13] ; [26 25],[11.84 12.16] ; [25.16 25.84],0
s3,1,0.715914,0.132442,[ 8 15] ; [20 31],[ 8.7027027 14.2972973] ; [19.2972973 31.7027027],0
p3,1,0.718216,0.130208,[ 7 17] ; [17 34],[ 7.68 16.32] ; [16.32 34.68],0
a5,1,0.754929,0.097436,[12 12] ; [24 28],[11.36842105 12.63157895] ; [24.63157895 27.36842105],0
b3,1,0.821963,0.050634,[8 9] ; [10 13],[7.65 9.35] ; [10.35 12.65],0
b2,1,0.821963,0.050634,[8 9] ; [10 13],[7.65 9.35] ; [10.35 12.65],0
a4,1,0.846757,0.037349,[ 7 16] ; [17 35],[ 7.36 15.64] ; [16.64 35.36],0
a2,1,0.904013,0.014543,[ 3 21] ; [ 6 46],[ 2.84210526 21.15789474] ; [ 6.15789474 45.84210526],0
d2,1,0.924703,0.008932,[10 13] ; [22 30],[ 9.81333333 13.18666667] ; [22.18666667 29.81333333],0
a3,1,0.936859,0.006276,[12 12] ; [25 26],[11.84 12.16] ; [25.16 25.84],0
d1,1,0.955909,0.003057,[ 8 16] ; [17 35],[ 7.89473684 16.10526316] ; [17.10526316 34.89473684],0
b1,1,0.958041,0.002768,[14 10] ; [30 22],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
