Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,111.33063,[255   8] ; [16 22],[236.78737542  26.21262458] ; [34.21262458  3.78737542],1
v3,1,0.229891,1.441535,[115 137] ; [13 24],[111.61245675 140.38754325] ; [16.38754325 20.61245675],0
n2,1,0.235419,1.407819,[35 11] ; [11  1],[36.48275862  9.51724138] ; [9.51724138 2.48275862],0
u4,1,0.243519,1.360106,[ 10 254] ; [ 3 35],[ 11.36423841 252.63576159] ; [ 1.63576159 36.36423841],0
d1,1,0.286381,1.136555,[189  75] ; [24 14],[186.1986755  77.8013245] ; [26.8013245 11.1986755],0
d5,1,0.290252,1.118451,[225  38] ; [30  8],[222.80730897  40.19269103] ; [32.19269103  5.80730897],0
d4,1,0.308365,1.037664,[236  27] ; [32  6],[234.16611296  28.83388704] ; [33.83388704  4.16611296],0
a5,1,0.315112,1.009129,[213  51] ; [28 10],[210.67549669  53.32450331] ; [30.32450331  7.67549669],0
a8,1,0.335606,0.927146,[ 36 211] ; [ 3 32],[ 34.15957447 212.84042553] ; [ 4.84042553 30.15957447],0
a2,1,0.354148,0.858537,[ 82 182] ; [ 9 29],[ 79.54966887 184.45033113] ; [11.45033113 26.54966887],0
v2,1,0.379198,0.773301,[151 105] ; [19 18],[148.53242321 107.46757679] ; [21.46757679 15.53242321],0
p5,1,0.395156,0.723017,[ 49 211] ; [ 5 33],[ 47.11409396 212.88590604] ; [ 6.88590604 31.11409396],0
n3,1,0.403233,0.698664,[36 10] ; [8 4],[34.89655172 11.10344828] ; [9.10344828 2.89655172],0
d2,1,0.440075,0.596087,[149 114] ; [19 19],[146.79069767 116.20930233] ; [21.20930233 16.79069767],0
s6,1,0.455416,0.557138,[234  24] ; [33  5],[232.72297297  25.27702703] ; [34.27702703  3.72297297],0
u3,1,0.498047,0.459096,[34 15] ; [9 6],[32.921875 16.078125] ; [10.078125  4.921875],0
b4,1,0.514102,0.425708,[152 112] ; [24 14],[153.85430464 110.14569536] ; [22.14569536 15.85430464],0
s4,1,0.514557,0.424789,[ 58 203] ; [10 27],[ 59.55704698 201.44295302] ; [ 8.44295302 28.55704698],0
n1,1,0.629492,0.23275,[19 26] ; [6 6],[19.73684211 25.26315789] ; [5.26315789 6.73684211],0
a4,1,0.634102,0.226539,[135 129] ; [21 17],[136.37086093 127.62913907] ; [19.62913907 18.37086093],0
b2,1,0.653853,0.201077,[ 67 102] ; [ 8 15],[ 66.015625 102.984375] ; [ 8.984375 14.015625],0
b3,1,0.653853,0.201077,[ 67 102] ; [ 8 15],[ 66.015625 102.984375] ; [ 8.984375 14.015625],0
u1,1,0.662659,0.19031,[ 61 203] ; [10 28],[ 62.06622517 201.93377483] ; [ 8.93377483 29.06622517],0
s1,1,0.763232,0.090745,[ 11 251] ; [ 2 36],[ 11.35333333 250.64666667] ; [ 1.64666667 36.35333333],0
a1,1,0.807283,0.059503,[ 18 246] ; [ 3 35],[ 18.35761589 245.64238411] ; [ 2.64238411 35.35761589],0
b5,1,0.866284,0.028352,[156 108] ; [23 15],[156.47682119 107.52317881] ; [22.52317881 15.47682119],0
d3,1,0.937059,0.006236,[203  61] ; [29  9],[202.80794702  61.19205298] ; [29.19205298  8.80794702],0
p1,1,0.976074,0.000899,[ 28 234] ; [ 4 34],[ 27.94666667 234.05333333] ; [ 4.05333333 33.94666667],0
