Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.419936,[25 72] ; [16  4],[33.99145299 63.00854701] ; [ 7.00854701 12.99145299],1
r3,1,0.166251,1.916431,[67 29] ; [17  3],[69.51724138 26.48275862] ; [14.48275862  5.51724138],0
b1,1,0.178285,1.811858,[45 52] ; [ 6 14],[42.28205128 54.71794872] ; [ 8.71794872 11.28205128],0
p9,1,0.182239,1.779274,[41 53] ; [12  8],[43.70175439 50.29824561] ; [ 9.29824561 10.70175439],0
p6,1,0.182867,1.774167,[ 9 85] ; [ 4 16],[10.71929825 83.28070175] ; [ 2.28070175 17.71929825],0
v4,1,0.222668,1.487093,[69 27] ; [17  3],[71.17241379 24.82758621] ; [14.82758621  5.17241379],0
d3,1,0.23275,1.423977,[44 53] ; [12  8],[46.42735043 50.57264957] ; [ 9.57264957 10.42735043],0
r2,1,0.238451,1.389725,[73 20] ; [18  2],[74.89380531 18.10619469] ; [16.10619469  3.89380531],0
p1,1,0.256943,1.285151,[ 7 90] ; [ 3 17],[ 8.29059829 88.70940171] ; [ 1.70940171 18.29059829],0
p3,1,0.304939,1.052468,[23 73] ; [ 7 13],[24.82758621 71.17241379] ; [ 5.17241379 14.82758621],0
d2,1,0.34233,0.901686,[37 59] ; [10 10],[38.89655172 57.10344828] ; [ 8.10344828 11.89655172],0
n2,1,0.363325,0.826367,[23 16] ; [4 1],[23.93181818 15.06818182] ; [3.06818182 1.93181818],0
b3,1,0.373143,0.79317,[22 35] ; [3 9],[20.65217391 36.34782609] ; [4.34782609 7.65217391],0
b2,1,0.373143,0.79317,[22 35] ; [3 9],[20.65217391 36.34782609] ; [4.34782609 7.65217391],0
d5,1,0.442501,0.589789,[54 43] ; [13  7],[55.54700855 41.45299145] ; [11.45299145  8.54700855],0
n1,1,0.472921,0.515142,[17 22] ; [1 3],[16.3255814 22.6744186] ; [1.6744186 2.3255814],0
n3,1,0.479829,0.499252,[21 16] ; [2 3],[20.26190476 16.73809524] ; [2.73809524 2.26190476],0
d1,1,0.509188,0.435735,[36 61] ; [ 9 11],[37.30769231 59.69230769] ; [ 7.69230769 12.30769231],0
v3,1,0.517478,0.418916,[23 71] ; [ 6 13],[24.12389381 69.87610619] ; [ 4.87610619 14.12389381],0
a1,1,0.543335,0.369394,[10 87] ; [ 3 17],[10.77777778 86.22222222] ; [ 2.22222222 17.77777778],0
s1,1,0.60464,0.268054,[ 8 87] ; [ 1 19],[ 7.43478261 87.56521739] ; [ 1.56521739 18.43478261],0
u1,1,0.670577,0.180928,[ 7 90] ; [ 2 18],[ 7.46153846 89.53846154] ; [ 1.53846154 18.46153846],0
a7,1,0.717804,0.130607,[57 39] ; [11  9],[56.27586207 39.72413793] ; [11.72413793  8.27586207],0
a2,1,0.766095,0.088498,[12 85] ; [ 2 18],[11.60683761 85.39316239] ; [ 2.39316239 17.60683761],0
a8,1,0.788683,0.071836,[ 8 85] ; [ 2 17],[ 8.30357143 84.69642857] ; [ 1.69642857 17.30357143],0
n5,1,0.87642,0.024183,[60 35] ; [13  7],[60.30434783 34.69565217] ; [12.69565217  7.30434783],0
a3,1,0.879942,0.022814,[54 41] ; [11  9],[53.69565217 41.30434783] ; [11.30434783  8.69565217],0
b5,1,0.888909,0.019512,[55 42] ; [11  9],[54.71794872 42.28205128] ; [11.28205128  8.71794872],0
a6,1,0.909491,0.012923,[52 45] ; [11  9],[52.23076923 44.76923077] ; [10.76923077  9.23076923],0
b4,1,0.909491,0.012923,[52 45] ; [11  9],[52.23076923 44.76923077] ; [10.76923077  9.23076923],0
p7,1,0.93119,0.007456,[27 66] ; [ 6 14],[27.15929204 65.84070796] ; [ 5.84070796 14.15929204],0
n4,1,0.958692,0.002683,[57 39] ; [12  8],[57.10344828 38.89655172] ; [11.89655172  8.10344828],0
p8,1,1.0,0.0,[24 72] ; [ 5 15],[24. 72.] ; [ 5. 15.],0
