Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.006361,7.445118,[94 27] ; [19 16],[87.6474359 33.3525641] ; [25.3525641  9.6474359],0
p1,1,0.5618,0.336597,[  7 113] ; [ 3 32],[  7.74193548 112.25806452] ; [ 2.25806452 32.74193548],0
p4,1,0.56563,0.33005,[42 79] ; [14 21],[43.43589744 77.56410256] ; [12.56410256 22.43589744],0
p3,1,0.573905,0.316192,[40 81] ; [13 21],[41.37419355 79.62580645] ; [11.62580645 22.37419355],0
r4,1,0.59756,0.278692,[95 26] ; [26  9],[93.8525641 27.1474359] ; [27.1474359  7.8525641],0
p10,1,0.605653,0.266554,[66 54] ; [17 17],[64.67532468 55.32467532] ; [18.32467532 15.67532468],0
n1,1,0.626117,0.237363,[ 8 31] ; [ 4 11],[ 8.66666667 30.33333333] ; [ 3.33333333 11.66666667],0
a5,1,0.626761,0.236479,[67 54] ; [21 14],[68.25641026 52.74358974] ; [19.74358974 15.25641026],0
p12,1,0.629979,0.232089,[  2 119] ; [ 1 33],[  2.34193548 118.65806452] ; [ 0.65806452 33.34193548],0
b1,1,0.65718,0.196967,[50 71] ; [13 22],[48.86538462 72.13461538] ; [14.13461538 20.86538462],0
p8,1,0.669095,0.182663,[47 74] ; [15 20],[48.08974359 72.91025641] ; [13.91025641 21.08974359],0
d2,1,0.695029,0.153695,[44 77] ; [14 21],[44.98717949 76.01282051] ; [13.01282051 21.98717949],0
d4,1,0.69654,0.152097,[97 24] ; [27  8],[96.17948718 24.82051282] ; [27.82051282  7.17948718],0
b4,1,0.721094,0.127447,[72 49] ; [22 13],[72.91025641 48.08974359] ; [21.08974359 13.91025641],0
a3,1,0.730614,0.118548,[78 43] ; [23 11],[78.84516129 42.15483871] ; [22.15483871 11.84516129],0
n4,1,0.734987,0.114582,[48 73] ; [15 20],[48.86538462 72.13461538] ; [14.13461538 20.86538462],0
p9,1,0.745413,0.105426,[75 44] ; [21 14],[74.18181818 44.81818182] ; [21.81818182 13.18181818],0
d3,1,0.819507,0.052066,[82 39] ; [23 12],[81.44230769 39.55769231] ; [23.55769231 11.44230769],0
p11,1,0.819507,0.052066,[82 39] ; [23 12],[81.44230769 39.55769231] ; [23.55769231 11.44230769],0
v4,1,0.823377,0.04982,[105  16] ; [29  5],[104.60645161  16.39354839] ; [29.39354839  4.60645161],0
r1,1,0.854748,0.033512,[88 33] ; [26  9],[88.42307692 32.57692308] ; [25.57692308  9.42307692],0
p5,1,0.85834,0.031858,[  6 115] ; [ 2 33],[  6.20512821 114.79487179] ; [ 1.79487179 33.20512821],0
a6,1,0.871142,0.026311,[71 50] ; [20 15],[70.58333333 50.41666667] ; [20.41666667 14.58333333],0
v3,1,0.891585,0.018577,[30 85] ; [ 9 24],[30.30405405 84.69594595] ; [ 8.69594595 24.30405405],0
s8,1,0.91257,0.012056,[23 97] ; [ 7 28],[23.22580645 96.77419355] ; [ 6.77419355 28.22580645],0
