Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9e-06,19.726892,[128  95] ; [44 89],[107.74157303 115.25842697] ; [64.25842697 68.74157303],1
p10,1,0.074622,3.1783,[205  25] ; [114  24],[199.375  30.625] ; [119.625  18.375],0
u4,1,0.097636,2.743747,[ 11 222] ; [  2 136],[  8.16442049 224.83557951] ; [  4.83557951 133.16442049],0
a4,1,0.098108,2.736038,[122 111] ; [60 78],[114.30188679 118.69811321] ; [67.69811321 70.30188679],0
b2,1,0.11388,2.499535,[78 91] ; [30 54],[72.14229249 96.85770751] ; [35.85770751 48.14229249],0
b3,1,0.11388,2.499535,[78 91] ; [30 54],[72.14229249 96.85770751] ; [35.85770751 48.14229249],0
r1,1,0.124563,2.358988,[204  27] ; [114  24],[199.07317073  31.92682927] ; [118.92682927  19.07317073],0
v4,1,0.133662,2.249454,[230   2] ; [134   4],[228.23783784   3.76216216] ; [135.76216216   2.23783784],0
a1,1,0.19128,1.707734,[ 16 217] ; [  5 133],[ 13.18867925 219.81132075] ; [  7.81132075 130.18867925],0
p2,1,0.196558,1.667765,[200  32] ; [112  26],[195.63243243  36.36756757] ; [116.36756757  21.63243243],0
p11,1,0.229064,1.446661,[191  42] ; [106  32],[186.52560647  46.47439353] ; [110.47439353  27.52560647],0
d3,1,0.231843,1.429516,[169  64] ; [92 46],[163.91644205  69.08355795] ; [97.08355795 40.91644205],0
p1,1,0.255626,1.292291,[ 27 204] ; [ 11 127],[ 23.78861789 207.21138211] ; [ 14.21138211 123.78861789],0
d5,1,0.264759,1.243701,[203  29] ; [115  23],[199.39459459  32.60540541] ; [118.60540541  19.39459459],0
s4,1,0.265982,1.237353,[ 43 189] ; [ 32 105],[ 47.15447154 184.84552846] ; [ 27.84552846 109.15447154],0
b4,1,0.303812,1.057388,[141  92] ; [76 62],[136.28301887  96.71698113] ; [80.71698113 57.28301887],0
p12,1,0.309937,1.030943,[ 28 202] ; [ 12 125],[ 25.06811989 204.93188011] ; [ 14.93188011 122.06811989],0
s7,1,0.338486,0.916158,[177  46] ; [99 33],[173.37464789  49.62535211] ; [102.62535211  29.37464789],0
r4,1,0.496374,0.462679,[226   7] ; [132   6],[224.83557951   8.16442049] ; [133.16442049   4.83557951],0
s1,1,0.499454,0.456097,[  7 222] ; [  6 130],[  8.15616438 220.84383562] ; [  4.84383562 131.15616438],0
s3,1,0.52782,0.398586,[172  56] ; [100  38],[169.44262295  58.55737705] ; [102.55737705  35.44262295],0
a6,1,0.56712,0.327525,[153  79] ; [95 43],[155.5027027  76.4972973] ; [92.4972973 45.5027027],0
b1,1,0.590907,0.28893,[ 93 140] ; [59 79],[ 95.46091644 137.53908356] ; [56.53908356 81.46091644],0
n6,1,0.61862,0.247811,[204  26] ; [120  18],[202.5  27.5] ; [121.5  16.5],0
a7,1,0.633536,0.227296,[161  71] ; [99 39],[163.02702703  68.97297297] ; [96.97297297 41.02702703],0
d1,1,0.689549,0.159574,[160  73] ; [92 46],[158.26415094  74.73584906] ; [93.73584906 44.26415094],0
s6,1,0.716058,0.132301,[193  35] ; [114  23],[191.76986301  36.23013699] ; [115.23013699  21.76986301],0
u1,1,0.853118,0.034277,[ 56 177] ; [ 32 106],[ 55.26684636 177.73315364] ; [ 32.73315364 105.26684636],0
u3,1,0.893518,0.017917,[28 12] ; [24 11],[27.73333333 12.26666667] ; [24.26666667 10.73333333],0
u2,1,0.907035,0.013637,[24 15] ; [22 13],[24.24324324 14.75675676] ; [21.75675676 13.24324324],0
d2,1,0.916193,0.011073,[133 100] ; [78 60],[132.5148248 100.4851752] ; [78.4851752 59.5148248],0
a2,1,0.940217,0.005624,[ 65 168] ; [ 38 100],[ 64.68733154 168.31266846] ; [38.31266846 99.68733154],0
n3,1,0.99022,0.00015,[26 12] ; [28 13],[25.97468354 12.02531646] ; [28.02531646 12.97468354],0
