Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,22.020155,[47 74] ; [ 22 133],[30.25 90.75] ; [ 38.75 116.25],1
a5,1,0.654689,0.20004,[89 33] ; [110  46],[87.33093525 34.66906475] ; [111.66906475  44.33093525],0
p1,1,0.658728,0.195072,[  7 115] ; [ 11 145],[  7.89928058 114.10071942] ; [ 10.10071942 145.89928058],0
s4,1,0.659801,0.193765,[25 96] ; [ 35 118],[26.49635036 94.50364964] ; [ 33.50364964 119.49635036],0
s1,1,0.693655,0.155157,[  5 114] ; [  8 145],[  5.6875 113.3125] ; [  7.3125 145.6875],0
r2,1,0.697781,0.150791,[112   7] ; [145  11],[111.21090909   7.78909091] ; [145.78909091  10.21090909],0
p11,1,0.719658,0.128821,[82 40] ; [108  48],[83.38129496 38.61870504] ; [106.61870504  49.38129496],0
d4,1,0.722843,0.125785,[99 22] ; [125  31],[97.84837545 23.15162455] ; [126.15162455  29.84837545],0
n2,1,0.739095,0.110924,[24  9] ; [41 13],[24.65517241  8.34482759] ; [40.34482759 13.65517241],0
n3,1,0.739095,0.110924,[24  9] ; [41 13],[24.65517241  8.34482759] ; [40.34482759 13.65517241],0
d1,1,0.766237,0.088388,[69 53] ; [91 65],[70.21582734 51.78417266] ; [89.78417266 66.21582734],0
b2,1,0.799565,0.064471,[29 56] ; [32 57],[29.79885057 55.20114943] ; [31.20114943 57.79885057],0
b3,1,0.799565,0.064471,[29 56] ; [32 57],[29.79885057 55.20114943] ; [31.20114943 57.79885057],0
a6,1,0.81998,0.051789,[83 38] ; [105  51],[82.12274368 38.87725632] ; [105.87725632  50.12274368],0
p5,1,0.830562,0.045788,[  7 114] ; [  8 146],[  6.6 114.4] ; [  8.4 145.6],0
a1,1,0.865915,0.02851,[  6 116] ; [  7 149],[  5.70503597 116.29496403] ; [  7.29496403 148.70503597],0
