Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005392,7.743098,[ 7 25] ; [13  9],[11.85185185 20.14814815] ; [ 8.14814815 13.85185185],0
s2,1,0.695299,0.153409,[10 22] ; [ 8 14],[10.66666667 21.33333333] ; [ 7.33333333 14.66666667],0
s3,1,0.72435,0.124362,[19 13] ; [12 10],[18.37037037 13.62962963] ; [12.62962963  9.37037037],0
p11,1,0.742557,0.107892,[16 16] ; [12 10],[16.59259259 15.40740741] ; [11.40740741 10.59259259],0
p3,1,0.753143,0.098908,[10 22] ; [ 6 16],[ 9.48148148 22.51851852] ; [ 6.51851852 15.48148148],0
u1,1,0.785947,0.073754,[ 1 31] ; [ 1 21],[ 1.18518519 30.81481481] ; [ 0.81481481 21.18518519],0
d1,1,0.788171,0.072193,[ 2 30] ; [ 1 21],[ 1.77777778 30.22222222] ; [ 1.22222222 20.77777778],0
s6,1,0.800657,0.063754,[12 20] ; [ 9 13],[12.44444444 19.55555556] ; [ 8.55555556 13.44444444],0
b1,1,0.821339,0.050996,[17 15] ; [11 11],[16.59259259 15.40740741] ; [11.40740741 10.59259259],0
v2,1,0.860904,0.030703,[ 6 23] ; [ 5 17],[ 6.25490196 22.74509804] ; [ 4.74509804 17.25490196],0
u3,1,0.882577,0.021816,[8 9] ; [5 5],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
n4,1,0.918075,0.01058,[15 17] ; [10 12],[14.81481481 17.18518519] ; [10.18518519 11.81481481],0
b4,1,0.918075,0.01058,[15 17] ; [10 12],[14.81481481 17.18518519] ; [10.18518519 11.81481481],0
p1,1,0.97177,0.001252,[ 3 29] ; [ 2 20],[ 2.96296296 29.03703704] ; [ 2.03703704 19.96296296],0
